@name,enabled,type,nameUi,order,cost,weight,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,minMainTurrets,minMainBarrels,speedLimiter,#comment,#comment2,#cost_base,#cost_base_mod
bb_6_richelieu,,hull,Super Battleship I,,-1,-1,1.55,1050,richelieu_hull_a,1.195,,,france,"type(bb), ai_min_caliber_main(14), BB_Modern_Richelieu_Big, Only_Quads, French_Style_Quads; French_Style_Quads_Big, quad_guns_need, bb, g4","hsize(4250), hull_form(95), stability(82), floatability(77), endurance(75), spot(0), turn(39), vis(8050), beam(0), draught(0), armor(100)",,,,0.17,1,3,70000,85000,,-10.5,10.5,-20.5,17.5,0.73,0.625,2,8,28,,32.5,-1,
bb_7_spain,,hull,Super Battleship I,,-1,-1,1.55,1150,kgeorge_hull_a,1.19,,,"spain, denmark, norway, sweden","type(bb), ai_min_caliber_main(14), BB_Modern_Spain_Super, Mixed_Quads, Big_SuperStructure, bb, g4","hsize(3000), hull_form(99), stability(76), floatability(94), endurance(68), spot(0), turn(50), vis(8300), beam(0), draught(0), armor(100)",,,,0.157,3,4,75500,87500,,-12,12,-22.5,18.5,0.75,0.65,3,6,28,,31.9,-1,
bb_6_iowa,,hull,Super Battleship,,-1,-1,1.55,1150,iowa_hull_a,1.04,,,"usa, argentina","type(bb), ai_min_caliber_main(14), BB_Modern_Iowa, BB_Modern_Iowa_Big, bb, g4, No_Barb","hsize(3600), hull_form(97), stability(80), floatability(85), endurance(76), spot(0), turn(35), vis(8100), beam(0), draught(0), armor(100)",,,,0.17,3,5,88000,109000,,-12,12,-22.5,18.5,0.75,0.65,3,6,27,,32.5,-1,
bb_6,,hull,Super Battleship,,-1,-1,1.55,1150,yamato_hull_a,1.25,,,japan,"type(bb), ai_min_caliber_main(14), BB_Modern, BB_Modern_Wide, Yamato_Style, Typical_Modern_BB, Big_SuperStructure, bb, g4","hsize(5200), hull_form(85), stability(88), floatability(80), endurance(74.5), spot(0), turn(29), vis(8250), beam(0), draught(0), armor(100)",,,,0.17,2,4,97000,125000,,-12,12,-22.5,18.5,0.75,0.65,3,6,27,,30.5,-1,
bb_7_austria,,hull,Super Battleship,,-1,-1,1.65,1150,kgeorge_hull_a,1.175,,,"austria, denmark, norway, sweden, netherlands, belgium","type(bb), ai_min_caliber_main(14), BB_Austria_Super, Mixed_Quads, Middle_Big, bb, g4, Typical_Modern2_BB, Typical_Modern_BB","hsize(4100), hull_form(98), stability(91), floatability(94), endurance(75), spot(0), turn(40), vis(9000), beam(0), draught(0), armor(100)",,,,0.15,4,6,92500,101500,,-10,14,-22.5,23.5,0.75,0.65,3,6,28,,32,-1,
bb_7_kgeorge,,hull,Super Battleship,,-1,-1,1.55,1150,kgeorge_hull_a,1.25,,,"britain, brazil","type(bb), ai_min_caliber_main(14), BB_KGeorge_Super, Mixed_Quads, Middle_Big, bb, g4, Big_SuperStructure, Typical_Modern_BB, quad_guns_need","hsize(3900), hull_form(101), stability(88), floatability(94), endurance(66), spot(0), turn(22), vis(8500), beam(0), draught(0), armor(100)",,,,0.16,2,3,80500,92500,,-12,12,-22.5,18.5,0.75,0.65,3,6,28,,31.5,-1,
bb_7_littorio,,hull,Super Battleship,,-1,-1,1.6,920,littorio_hull_a,1.2,,,"italy, chile","type(bb), ai_min_caliber_main(14), BB_Littorio_Super, Side_Barbettes, Big_SuperStructure, Mixed_Quads, var(stern_a), bb, g4","hsize(3800), hull_form(98), stability(85), floatability(82), endurance(80), spot(0), turn(50), vis(8800), beam(0), draught(0), armor(100)",,,,0.2,3,5,76500,92500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,28,,32.5,-1,
bb_7_china,,hull,Super Battleship,,-1,-1,1.55,1150,richelieu_hull_b,1.275,,,"china, korea","type(bb), ai_min_caliber_main(14), BB_Modern_China_Super, Typical_Modern_BB, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(3000), hull_form(90), stability(85), floatability(85), endurance(66), spot(0), turn(30), vis(8250), beam(0), draught(0), armor(100)",,,,0.156,2,3,82500,95000,,-12,12,-22.5,18.5,0.75,0.65,3,6,28,,31.5,-1,
bb_6_byzantine,,hull,Command Battleship II,,-1,-1,1.8,1050,littorio_hull_a,1.1,,,"china, greece","type(bb), ai_min_caliber_main(14), BB_Modern_China, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(2400), hull_form(95), stability(80), floatability(99), endurance(80), spot(0), turn(50), vis(10200), beam(0), draught(0), armor(100)",,,,0.125,3,5,70500,85500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,35.3,-1,
bb_8_china,,hull,Command Battleship I,,-1,-1,1.9,950,kgeorge_hull_compact,1.3,,,"china, greece","type(bb), ai_min_caliber_main(14), BB_Modern_China_Command, Command_Forward, No_Barb, bb, g4","hsize(3000), hull_form(85), stability(95), floatability(105), fire_ex(20), endurance(80), spot(0), turn(45), vis(7250), beam(0), draught(0), armor(100)",,,,0.16,4,5,69000,78500,,-12,12,-22.5,18.5,0.75,0.65,4,5,30,,28,-1,
bb_6_portugal,,hull,Modern Battleship III,,-1,-1,1.45,1100,kgeorge_hull_b,1.2,,,portugal,"type(bb), ai_min_caliber_main(14), BB_Modern_France, Typical_Modern2_BB, French_Fast_BB, bc, g4","hsize(2950), hull_form(104), stability(75), floatability(65), endurance(60), spot(0), turn(60), vis(7800), beam(0), draught(0), armor(100)",,,,0.2,2,3,64500,81500,,-5,22,-5,22,,,3,6,32,,32.5,-1,
bb_6_soyuz,,hull,Modern Battleship III,,-1,-1,1.6,1000,ussr_hull_a,1,,,"russia, korea","type(bb), ai_min_caliber_main(14), BB_Soyuz, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(6700), hull_form(90), stability(76), floatability(78), endurance(78), spot(0), turn(33), vis(8750), beam(0), draught(0), armor(100)",,,,0.175,3,5,63000,83000,,-10.5,10.5,-20.5,17.5,0.73,0.625,3,6,32,,30,-1,
bb_5_iowa,,hull,Modern Battleship III,,-1,-1,1.55,1000,iowa_hull_a,0.96,,,"usa, argentina","type(bb), ai_min_caliber_main(14), BB_Modern_Iowa, No_Barb, bb, g4","hsize(2000), hull_form(95), stability(80), floatability(85), endurance(64), spot(0), turn(35), vis(7950), beam(0), draught(0), armor(100)",,,,0.17,2,4,56000,86000,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,32,,33.5,-1,
bb_6_littorio,,hull,Modern Battleship III,,-1,-1,1.6,920,littorio_hull_a,1,,,"italy, denmark, norway, sweden, brazil","type(bb), ai_min_caliber_main(14), BB_Littorio, Side_Barbettes, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(2800), hull_form(100), stability(80), floatability(80), endurance(74), spot(0), turn(55), vis(8100), beam(0), draught(0), armor(100)",,,,0.2,3,5,45000,72500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,32,,32,-1,
bb_6_italy,,hull,Modern Battleship II,,-1,-1,1.6,920,spee_hull_a,1.48,,,italy,"type(bb), ai_min_caliber_main(14), BB_Modern_Italy2, Middle_SuperStructure, Mixed_Quads, Big_SuperStructure, barbette_need, var(stern_a), bb, g4","hsize(2200), hull_form(92), stability(76), floatability(89), endurance(80), spot(0), turn(50), vis(8300), beam(0), draught(0), armor(100)",,,,0.2,2,3,60500,70500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,31,,31.5,-1,
bb_6_spain,,hull,Modern Battleship II,,-1,-1,1.6,920,spee_hull_a,1.523,,,"spain, korea","type(bb), ai_min_caliber_main(14), BB_Modern_Spain, Mixed_Quads, var(stern_a), bb, g4","hsize(2000), hull_form(91), stability(76), floatability(89), endurance(70), spot(0), turn(55), vis(8000), beam(0), draught(0), armor(100)",,,,0.2,1,2,61500,71500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,31,,31.5,-1,
bb_6_kgeorge,,hull,Modern Battleship II,,-1,-1,1.55,1000,kgeorge_hull_a,1.11,,,"britain, greece, chile","type(bb), ai_min_caliber_main(14), BB_KGeorge_Big, Mixed_Quads, Middle_Big, bb, g4, Big_SuperStructure, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(103), stability(83), floatability(89), endurance(76), spot(0), turn(17), vis(8200), beam(0), draught(0), armor(100)",,,,0.17,2,4,57500,75500,,-10.5,10.5,-20.5,17.5,0.73,0.625,4,8,31,,31.5,-1,
bb_6_russia,,hull,Modern Battleship II,,-1,-1,1.6,1000,spee_hull_a,1.56,,,"russia, brazil","type(bb), ai_min_caliber_main(14), BB_Modern_Thick, Mixed_Quads, bb, g4, var(back_gun)","hsize(6700), hull_form(89), stability(76), floatability(74), endurance(80), spot(0), turn(24), vis(8500), beam(0), draught(0), armor(100)",,,,0.19,2,4,65000,79000,,-10.5,10.5,-20.5,17.5,0.73,0.625,3,6,31,,29.5,-1,
bb_5,,hull,Modern Battleship II,,-1,-1,1.55,1000,yamato_hull_b,1,,,japan,"type(bb), ai_min_caliber_main(14), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4","hsize(3800), hull_form(82.5), stability(87.5), floatability(83), endurance(78), spot(0), turn(38), vis(8350), beam(0), draught(0), armor(100)",,,,0.17,4,6,66000,96000,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,31,,27.5,-1,
bb_5_iowa_small,,hull,Modern Battleship II,,-1,-1,1.55,1000,iowa_hull_a,0.97,,,"usa, argentina","type(bb), ai_min_caliber_main(14), BB_Modern_Iowa_small, No_Barb, bb, g4","hsize(1500), hull_form(90), stability(85), floatability(80), endurance(64), spot(0), turn(25), vis(7750), beam(0), draught(0), armor(100)",,,,0.156,2,3,47500,57500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,31,,31.5,-1,
bb_5_bismarck,,hull,Modern Battleship II,,-1,-1,1.6,1000,bismarck_hull_a,1.033,,,"germany, denmark, norway, sweden, netherlands, belgium, ottoman","type(bb), ai_min_caliber_main(14), BB_Modern_Germany, No_Barb, bb, g4","hsize(3600), hull_form(97), stability(85), floatability(78), endurance(80), spot(0), turn(40), vis(7850), beam(0), draught(0), armor(100)",,,,0.17,2,4,52500,82500,,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,31,,31.5,-1,
bb_5_richelieu,,hull,Modern Battleship II,,-1,-1,1.55,950,richelieu_hull_a,1,,,"france, portugal","type(bb), ai_min_caliber_main(14), BB_Modern_Richelieu, Only_Quads, French_Style_Quads, quad_guns_need, bb, g4","hsize(4250), hull_form(95), stability(82), floatability(77), endurance(75), spot(0), turn(39), vis(8050), beam(0), draught(0), armor(100)",,,,0.16,2,4,45000,65000,,-9.5,10.5,-20.5,18.5,0.73,0.625,2,8,31,,31.5,-1,
bb_5_kgeorge,,hull,Modern Battleship I,,-1,-1,1.55,950,kgeorge_hull_a,1,,,"britain, greece, chile","type(bb), ai_min_caliber_main(14), BB_KGeorge, Big_SuperStructure, Mixed_Quads, bb, g4, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(97), stability(79), floatability(89), endurance(61), spot(0), turn(22), vis(8000), beam(0), draught(0), armor(100)",,,,0.15,2,4,45000,60500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_5_bismarck_small,,hull,Modern Battleship I,,-1,-1,1.6,800,bismarck_hull_a,0.93,,,"germany, denmark, norway, sweden, netherlands, belgium, ottoman","type(bb), ai_min_caliber_main(14), BB_Modern_Germany_small, Middle_SuperStructure, No_Barb, bb, g4","hsize(3200), hull_form(103), stability(85), floatability(74), endurance(66), spot(0), turn(49), vis(7450), beam(0), draught(0), armor(100)",,,,0.17,3,4,42500,54500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_5_old,,hull,Modern Battleship I,,-1,-1,1.55,1000,yamato_hull_a,1,,,japan,"type(bb), ai_min_caliber_main(14), BB_Modern, Yamato_Style, Typical_Modern_BB, bb, g4","hsize(3300), hull_form(80), stability(85), floatability(80), endurance(74.5), spot(0), turn(33), vis(8250), beam(0), draught(0), armor(100)",,,,0.17,2,4,60000,90000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,27,-1,
bb_usa_north_carolina_large,,hull,Modern Battleship I,,-1,-1,1.55,950,kgeorge_hull_a,1.18,,,"usa, korea, argentina","type(bb), ai_min_caliber_main(14), BB_NorthCarolina, Big_SuperStructure, Mixed_Quads, bb, g4, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(90), stability(82), floatability(78), endurance(61), spot(0), turn(28), vis(7800), beam(0), draught(0), armor(100)",,,,0.13,1,2,44500,52500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31,-1,
bb_5_italy,,hull,Modern Battleship I,,-1,-1,1.55,920,invincible_hull,1.335,,,"italy, brazil","type(bb), ai_min_caliber_main(14), BB_Modern_Italy, Middle_SuperStructure, Mixed_Quads, Big_SuperStructure, little_funnel_room, bb, g4","hsize(2200), hull_form(103), stability(76), floatability(89), endurance(65), spot(0), turn(55), vis(8100), beam(0), draught(0), armor(100)",,,,0.2,2,3,55000,65000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_5_france,,hull,Modern Battleship I,,-1,-1,1.55,920,yamato_hull_a,0.82,,,"france, portugal","type(bb), ai_min_caliber_main(14), BB_Modern_France_Small, bb, g4, var(Smaller_Barbettes), Nelson, Small_Deck, Narrow_Deck, Middle_Towers_Chance","hsize(2200), hull_form(103), stability(80), floatability(80), endurance(61), spot(0), turn(55), vis(8000), beam(0), draught(0), armor(100)",,,,0.19,4,5,50000,60000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,2,6,30,,31.5,-1,
bb_5_russia,,hull,Modern Battleship I,,-1,-1,1.45,875,bismarck_hull_a,0.927,,,"russia, spain","type(bb), ai_min_caliber_main(14), BB_Modern_Russia, bb, g3, g4","hsize(1200), hull_form(91), stability(76), floatability(74), endurance(61), spot(0), turn(30), vis(7950), beam(0), draught(0), armor(100)",,,,0.17,3,5,45000,69000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_6_china,,hull,Modern Battleship ,,-1,-1,1.55,1000,richelieu_hull_b,1.034,,,china,"type(bb), ai_min_caliber_main(14), BB_Modern_China, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(2500), hull_form(95), stability(80), floatability(85), endurance(61), spot(0), turn(35), vis(7850), beam(0), draught(0), armor(100)",,,,0.156,3,5,50500,60500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_6_austria,,hull,Modern Battleship,,-1,-1,1.6,1000,bismarck_hull_a,1.1,,,austria,"type(bb), ai_min_caliber_main(14), BB_Modern_Austria2, Mixed_Quads, Middle_Big, bb, g4","hsize(4300), hull_form(92), stability(80), floatability(78), endurance(80), spot(0), turn(30), vis(7950), beam(0), draught(0), armor(100)",,,,0.17,2,4,51000,81000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,30,,31.5,-1,
bb_5_bismarck_extrasmall,,hull,Small Modern Battleship,,-1,-1,1.6,650,bismarck_hull_a,0.9,,,"germany, denmark, norway, sweden, netherlands, belgium","type(bb), ai_min_caliber_main(14), BB_Modern_Germany_xs, Middle_SuperStructure, No_Barb, bb, g4","hsize(3200), hull_form(107), stability(85), floatability(70), endurance(65), spot(0), turn(50), vis(7250), beam(0), draught(0), armor(100)",,,,0.17,3,4,27000,35500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,33,,,,
bb_5_assault_austria,,hull,Small Assault Battleship,,-1,-1,1.45,560,nelson_hull_b_var2,0.895,,,"austria, brazil","type(bb), ai_min_caliber_main(14), BB_Cesare, bb, battlecruiser_forward, Small_Deck, Narrow_Deck, RussianCenterline, RussianCenterline_Old, power_side_guns, g2, g3","hsize(2050), hull_form(103), stability(62), floatability(67), endurance(81), spot(0), turn(80), vis(7000), beam(0), draught(0), armor(100)",,,,0.2105,5,7,36000,45500,18,-5,7.5,-5,15,,,3,12,30,,29,-1,
bb_5_assault,,hull,Assault Battleship,,-1,-1,1.45,560,nelson_hull_b_var2,0.87,,,"spain, china, netherlands, belgium","type(bb), ai_min_caliber_main(14), BB_Assault_Gen, bb, battlecruiser_forward, RussianCenterline, RussianCenterline_Old, Russian_Central_Turrets, power_side_guns, No_Barb, g2, g3","hsize(2050), hull_form(105), stability(60), floatability(65), endurance(79), spot(0), turn(85), vis(7000), beam(0), draught(0), armor(100)",,,,0.2105,7,9,45000,59500,18,-5,7.5,-5,15,,,5,12,30,,29,-1,
bb_4_britain,,hull,N3 class,,-1,-1,1.45,900,nelson_hull_b_var2,1.12,,,"britain, chile","type(bb), ai_min_caliber_main(14), BB_British_N3, bb, g4, Small_Deck, Narrow_Deck, Nelson, Middle_Towers_Chance, var(nelson)","hsize(2000), hull_form(88), stability(85), floatability(80), endurance(59), spot(0), turn(42), vis(7900), beam(0), draught(0), armor(100)",,,,0.155,2,3,38000,61000,18,,,,,,,3,6,27,,27,-1,
bb_4_britain_nelson,,hull,Compact N3 class,,-1,-1,1.45,560,nelson_hull_a,1.02,,,"britain, korea","type(bb), ai_min_caliber_main(14), BB_British_Nelson, bb, g4, Small_Deck, Narrow_Deck, Nelson","hsize(1050), hull_form(93), stability(80), floatability(85), endurance(60), spot(0), turn(50), vis(7500), beam(0), draught(0), armor(100)",,,,0.185,1,3,32000,39500,18,,,-2,25,,,3,6,27,,27,-1,
bb_5_japan,,hull,Experimental Battleship ,,-1,-1,1.55,1000,richelieu_hull_a,0.958,,,japan,"type(bb), ai_min_caliber_main(14), BB_Izumo, Small_Deck, Narrow_Deck, bb, g4, French_Style_Quads","hsize(3800), hull_form(82), stability(80), floatability(77), endurance(79), spot(0), turn(25), vis(8050), beam(0), draught(0), armor(100)",,,,0.199,4,6,47000,72000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,28,,28,-1,
bb_6_china_exp,,hull,Experimental Battleship ,,-1,-1,1.55,1000,richelieu_hull_a,0.89,,,china,"type(bb), ai_min_caliber_main(14), BB_Modern_China, Small_Deck, Narrow_Deck, bb, g4, French_Style_Quads","hsize(1800), hull_form(99), stability(77), floatability(87), endurance(61), spot(0), turn(55), vis(7650), beam(0), draught(0), armor(100)",,,,0.179,5,7,42500,55000,18,-9.5,10.5,-20.5,18.5,0.73,0.625,2,6,28,,28,-1,
bb_5_exp_france,,hull,Experimental Battleship,,-1,-1,1.55,950,moga_hull_b,1.5,,,"france, portugal","type(bb), ai_min_caliber_main(14), BB_Modern_Richelieu, Middle_SuperStructure, Only_Quads, French_Style_Quads, quad_guns_need, bb, g4","hsize(4750), hull_form(99), stability(78), floatability(74), endurance(67), spot(0), turn(45), vis(8250), beam(0), draught(0), armor(100)",,,,0.16,3,5,45500,67500,18,-9.5,10.5,-20.5,18.5,0.73,0.625,3,6,28,,28,-1,
bb_7_china_exp,,hull,Large Torpedo Warship,,-1,-1,2.1,750,moga_hull_d_var,1.1,,,"china, argentina","type(bb), ai_min_caliber_main(14), Large_Exper_Warship, Torpedo_Sides, Command_Forward, No_Barb, bb, g4","hsize(1600), hull_form(90), stability(70), floatability(81), endurance(50), spot(0), turn(55), vis(6750), beam(0), draught(0), armor(100)",,,,0.23,2,4,31000,43000,18,-12.5,2.5,,,,,2,6,29,,29.5,-1,
bb_5_austrian_pocket,,hull,Advanced Small Battleship,,-1,-1,1.6,600,brooklyn_hull_c_wide,1.04,,,"austria, netherlands, belgium","type(bb), ai_min_caliber_main(14), Warship_Austrian_Pocket, CA_Pocket, Middle_SuperStructure, bb, g3, g4","hsize(1100), hull_form(75), stability(75), floatability(71), endurance(90), spot(0), turn(45), vis(7000), beam(0), draught(0), armor(100)",,,,0.25,4,6,32000,39000,20,,,,,,,2,6,24,,23,-1,
bb_5_generic_small,,hull,Advanced Small Battleship,,-1,-1,1.45,550,de_Ruyter_hull_a_wide,1.366,,,"spain, china, greece, argentina","type(bb), ai_min_caliber_main(14), CA_Heavy_Small_Generic, Extra_Tower_Modern_Small, Middle_SuperStructure, bb, g3, g4","hsize(1300), hull_form(78), stability(80), floatability(75), endurance(67), spot(0), turn(55), vis(7400), beam(0), draught(0), armor(100)",,,,0.19,4,6,23500,32000,20,,,,,,,3,6,24,,22,-1,
bb_5_mod_france,,hull,Advanced Modernized Dreadnought,,-1,-1,1.55,600,invincible_hull_c,1.1,,,"france, portugal","type(bb), ai_min_caliber_main(14), BB_France_Mod, bb, g3, Russian_Central_Turrets, French_Fast_BB, French_Style_Quads, quad_guns_need, var(center_mounts)","hsize(950), hull_form(93), stability(89), floatability(89), endurance(55), spot(0), turn(36), vis(7400), beam(0), draught(0), armor(100)",,,,0.21,2,4,30000,54000,20,,,,,,,3,8,25,,24.5,-1,
bb_4_spainF,,hull,Concept Battleship,,-1,-1,1.3,750,dreadnought_hull_flat_b,1.25,,,spain,"type(bb), ai_min_caliber_main(14), BB_Super, BB_British_Advanced, bb, g3, g4, typical_modern2, Typical_Modern_BB, Narrow_Deck, barbette_need, Middle_SuperStructure_British, var(center_mounts)","hsize(700), hull_form(90), stability(80), floatability(80), endurance(55), spot(0), turn(55), vis(8000), beam(0), draught(0), armor(100)",,,,0.18,3,4,47000,55000,18,,,,,,,3,6,27,,25,-1,
bb_4_chinaF,,hull,Concept Battleship,,-1,-1,1.3,740,dante_hull_b,1.31,,,china,"type(bb), ai_min_caliber_main(14), BB_Flat, BB_British_Advanced, bb, g3, g4, RussianCenterline","hsize(2050), hull_form(74), stability(70), floatability(80), endurance(85), spot(0), turn(54), vis(8250), beam(0), draught(0), armor(100)",,,,0.16,3,6,43500,55000,18,,,,,,,6,6,27,,20,-1,
bb_4_portugalF,,hull,Concept Battleship,,-1,-1,1.3,720,kgeorge_hull_b,0.97,,,portugal,"type(bb), ai_min_caliber_main(14), BB_French_Advanced, B_Inflex_exp, bb, g2, g3, g4, barbette_need, nelson","hsize(3000), hull_form(100), stability(70), floatability(66), endurance(63), spot(0), turn(63), vis(8100), beam(0), draught(0), armor(100)",,,,0.2,1,3,40000,54000,18,-5,22,-5,22,,,3,6,27,,30,-1,
bb_4_dutchF,,hull,Concept Battleship,,-1,-1,1.3,750,arizona_hull_a,1.1,,,"netherlands, belgium","type(bb), ai_min_caliber_main(14), BB_USA_Arizona_Big, bb, g3, barbette_need","hsize(850), hull_form(80), stability(82), floatability(80), endurance(60), spot(0), turn(55), vis(7300), beam(0), draught(0), armor(100)",,,,0.185,4,8,44000,57000,18,,,,,,,4,8,27,,24,-1,
bb_4_russiaF2,,hull,Fast Dreadnought,,-1,-1,1.3,740,warrior_hull_narrow_long_mod,1.56,,,russia,"type(bb), ai_min_caliber_main(14), BB_Russia_Rebuilt, bb, g3, g4, var(nose_line)","hsize(2100), hull_form(77), stability(81), floatability(80), endurance(75), spot(0), turn(45), vis(8150), beam(0), draught(0), armor(100)",,,,0.3,1,2,45000,56000,16,,,,,,,28,3,27,,30,-1,
