name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
engine_boiler_3,engine_boiler,,$technology_name_engine_boiler_3,1916,1,36,"fuel(25), boiler(10), engine_c(-350), stat(fcap;15), fuel_c(-100), stat(smoke;15), engine_vibrations(15), fuel_eff(-15), oil_consumption(100), maintenance_tech(7.5)",fuel_oil_2,need_oil,$technology_desc_engine_boiler_3,,,
engine_boiler_4,engine_boiler,,$technology_name_engine_boiler_4,1931,1,36,"fuel(30), engine_c(-650), stat(fcap;25), fuel_c(-220), stat(smoke;10), engine_vibrations(20), fuel_eff(20), oil_consumption(100), maintenance_tech(10)",fuel_oil_3,need_oil,$technology_desc_engine_boiler_4,,,
engine_boiler_5,engine_boiler,,$technology_name_engine_boiler_5,1941,1,36,"fuel(40), engine_c(-950), stat(fcap;40), fuel_c(-250), stat(smoke;5), engine_vibrations(30), fuel_eff(30), oil_consumption(100), maintenance_tech(12.5)",fuel_oil_4,need_oil,$technology_desc_engine_boiler_5,,,
engine_boiler_6,engine_boiler,,$technology_name_engine_boiler_6,1890,,36,"start, stat(fcap;-50), engine_c(25), fuel(-10), fuel_c(25), fuel_eff(-10), cost(funnel;40)",boiler_1,,$technology_desc_engine_boiler_6,,,
engine_boiler_7,engine_boiler,,$technology_name_engine_boiler_7,1890,1,36,"start, boiler(-4), hull(-0.5), cost(funnel;-20), stat(fcap;10), stat(smoke;20), engine_vibrations(-12.5), engine_c(-50), maintenance_tech(-7.5)",boiler_2,,$technology_desc_engine_boiler_7,,,
engine_boiler_8,engine_boiler,,$technology_name_engine_boiler_8,1905,1,36,"weight(funnel;-7), engine_c(-175), cost(funnel;-100), stat(fcap;50), stat(smoke;50), engine_vibrations(-30), maintenance_tech(-12.5)",boiler_3,,$technology_desc_engine_boiler_8,,,
engine_boiler_9_1,engine_boiler,,$technology_name_engine_boiler_9_1,1911,1,36,"boiler(5), engine_c(-75), weight(funnel;-5), fuel_eff(5), stat(smoke;-5), stat(fcap;-15), engine_vibrations(15), maintenance_tech(-15)",boiler_4_1,,$technology_desc_engine_boiler_9_1,,,
engine_boiler_9,engine_boiler,,$technology_name_engine_boiler_9,1920,1,36,"boiler(2.5), hull(-0.25), weight(funnel;-2), cost(funnel;-55), engine_c(-100), stat(fcap;25), stat(smoke;-15), engine_vibrations(5), maintenance_tech(5)",boiler_4,,$technology_desc_engine_boiler_9,,,
engine_boiler_9_2,engine_boiler,,$technology_name_engine_boiler_9_2,1935,1,36,"boiler(3.0), engine_c(-50), fuel_eff(15), stat(fcap;40), stat(smoke;-5), engine_vibrations(10), maintenance_tech(-5)",boiler_4_2,,$technology_desc_engine_boiler_9_2,,,
engine_boiler_9_3,engine_boiler,,$technology_name_engine_boiler_9_3,1949,1,36,"boiler(4.0), engine_c(-100), fuel_eff(25), stat(fcap;10), engine_vibrations(15), engine_d(-15), maintenance_tech(-10)",boiler_4_3,,$technology_desc_engine_boiler_9_3,,,
engine_boiler_10,engine_boiler,,$technology_name_engine_boiler_10,1897,1,36,stat(fcap;10),,,$technology_desc_engine_boiler_10,,,
engine_boiler_11,engine_boiler,,$technology_name_engine_boiler_11,1906,1,36,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_12,engine_boiler,,$technology_name_engine_boiler_12,1916,1,36,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_13,engine_boiler,,$technology_name_engine_boiler_13,1926,1,36,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_14,engine_boiler,,$technology_name_engine_boiler_14,1938,1,36,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_15,engine_boiler,,$technology_name_engine_boiler_15,1948,1,36,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_16,engine_boiler,,$technology_name_engine_boiler_16,1891,,36,boiler(2.5),,,$technology_desc_engine_boiler_16,,,
engine_boiler_17,engine_boiler,,$technology_name_engine_boiler_17,1896,1,36,"boiler(2.5), fuel(2.5), fuel_eff(3)",,,$technology_desc_engine_boiler_17,,,
engine_boiler_18,engine_boiler,,$technology_name_engine_boiler_18,1905,1,36,"boiler(2.5), fuel(2.5), fuel_eff(2)",,,$technology_desc_engine_boiler_18,,,
engine_boiler_19,engine_boiler,,$technology_name_engine_boiler_19,1906,1,36,"boiler(2.5), fuel(2.5)",,,$technology_desc_engine_boiler_19,,,
engine_boiler_20,engine_boiler,,$technology_name_engine_boiler_20,1922,1,36,"boiler(2.5), fuel(2.5)",,,$technology_desc_engine_boiler_20,,,
engine_boiler_21,engine_boiler,,$technology_name_engine_boiler_21,1931,1,36,boiler(5),,,$technology_desc_engine_boiler_21,,,
engine_boiler_22,engine_boiler,,$technology_name_engine_boiler_22,1938,1,36,"boiler(3), fuel(5)",,,$technology_desc_engine_boiler_22,,,
engine_boiler_23,engine_boiler,,$technology_name_engine_boiler_23,1891,1,36,unlockpart(smallearlyfunnels_level_2),,,$technology_desc_engine_boiler_23,,,
engine_boiler_24,engine_boiler,,$technology_name_engine_boiler_24,1894,1,36,unlockpart(smallearlyfunnels_level_3),,,$technology_desc_engine_boiler_24,,,
engine_boiler_25,engine_boiler,,$technology_name_engine_boiler_25,1892,1,36,unlockpart(mediumearlyfunnels_level_2),,,$technology_desc_engine_boiler_25,,,
engine_boiler_26,engine_boiler,,$technology_name_engine_boiler_26,1896,1,36,unlockpart(mediumearlyfunnels_level_3),,,$technology_desc_engine_boiler_26,,,
engine_boiler_27,engine_boiler,,$technology_name_engine_boiler_27,1893,1,36,unlockpart(bigearlyfunnels_level_2),,,$technology_desc_engine_boiler_27,,,
engine_boiler_28,engine_boiler,,$technology_name_engine_boiler_28,1901,1,36,unlockpart(bigearlyfunnels_level_3),,,$technology_desc_engine_boiler_28,,,
engine_boiler_29,engine_boiler,,$technology_name_engine_boiler_29,1921,1,36,unlockpart(biglatefunnels_level_2),,,$technology_desc_engine_boiler_28,,,
engine_boiler_30,engine_boiler,,$technology_name_engine_boiler_30,1931,1,36,unlockpart(biglatefunnels_level_3),,,$technology_desc_engine_boiler_28,,,
engine_boiler_31,engine_boiler,,$technology_name_engine_boiler_31,1939,1,35,unlockpart(biglatefunnels_level_4),,,$technology_desc_engine_boiler_28,,,
engine_boiler_32,engine_boiler,,$technology_name_engine_boiler_32,1908,1,35,unlockpart(earlyDDfunnels_level_2),,,$technology_desc_engine_boiler_32,,,
engine_boiler_33,engine_boiler,,$technology_name_engine_boiler_33,1910,1,35,unlockpart(earlyDDfunnels_level_3),,,$technology_desc_engine_boiler_33,,,
engine_boiler_34,engine_boiler,,$technology_name_engine_boiler_34,1919,1,35,unlockpart(lateDDfunnels_level_2),,,$technology_desc_engine_boiler_33,,,
engine_boiler_35,engine_boiler,,$technology_name_engine_boiler_35,1927,1,35,unlockpart(lateDDfunnels_level_3),,,$technology_desc_engine_boiler_33,,,
engine_boiler_36,engine_boiler,,$technology_name_engine_boiler_36,1937,1,35,unlockpart(lateDDfunnels_level_4),,,$technology_desc_engine_boiler_33,,,
engine_boiler_37,engine_boiler,,$technology_name_engine_boiler_37,1908,1,35,unlockpart(earlydreadnoughtfunnels_level_2),,,$technology_desc_engine_boiler_34,,,
engine_boiler_38,engine_boiler,,$technology_name_engine_boiler_38,1911,1,35,unlockpart(earlydreadnoughtfunnels_level_3),,,$technology_desc_engine_boiler_34,,,
engine_boiler_39,engine_boiler,,$technology_name_engine_boiler_39,1915,1,35,unlockpart(earlydreadnoughtfunnels_level_4),,,$technology_desc_engine_boiler_34,,,
engine_boiler_40,engine_boiler,,$technology_name_engine_boiler_40,1924,1,35,unlockpart(late_BB_funnels_level_2),,,$technology_desc_engine_boiler_34,,,
engine_boiler_41,engine_boiler,,$technology_name_engine_boiler_41,1931,1,35,unlockpart(late_BB_funnels_level_3),,,$technology_desc_engine_boiler_34,,,
engine_boiler_42,engine_boiler,,$technology_name_engine_boiler_42,1941,1,35,unlockpart(late_BB_funnels_level_4),,,$technology_desc_engine_boiler_34,,,
engine_boiler_end,engine_boiler,,$technology_name_engine_boiler_end,1962,1,120,"end, boiler(0.5), fuel(1), stat(smoke;-1), fuel_eff(0.5), stat(fcap;0.5)",,,$technology_desc_engine_boiler_end,"A pump is used to circulate water inside the boiler increasing its heat performance. *Boilers weight -3%, Fuel consumption -5%* ",,
# $techType_name_engine_special,engine_special,,,,,,,,,,,,
engine_special_1,engine_special,,$technology_name_engine_special_1,1890,,68,"start, default_component",steering_gear_0,,$technology_desc_engine_special_1,,,
engine_special_2,engine_special,,$technology_name_engine_special_2,1900,1,68,"turning(6.5), turning_change(7.5), stat(turn;-2.5), hull(-1.25), engine_c(-12.5), cost(hull;-1.5)",steering_gear_1,,$technology_desc_engine_special_2,,,
engine_special_3,engine_special,,$technology_name_engine_special_3,1911,1,68,"turning(10.5), turning_change(13.5), stat(turn;-5), engine_c(-35),  hull(-0.5), module_repair(-5), pump(-5), gun_rotation(-5), module_repair_engine(-5), flaws(-2.5), cost(hull;-2)",steering_gear_2,,$technology_desc_engine_special_3,,,
engine_special_4,engine_special,,$technology_name_engine_special_4,1914,1,68,"turning(12.5), turning_change(16), stat(turn;-7.5), engine_c(-75),  hull(-4), flaws(-5), cost(hull;-2.5)",steering_gear_3,,$technology_desc_engine_special_4,,,
engine_special_5,engine_special,,$technology_name_engine_special_5,1925,1,68,"turning(15.5), turning_change(22.5), stat(turn;-10), engine_c(-125),  hull(-1.35), module_repair(-7.5), pump(-7.5), gun_rotation(-7.5), module_repair_engine(-7.5), flash(-5.5), flaws(-7.5), cost(hull;-3.5)",steering_gear_4,,$technology_desc_engine_special_5,,,
engine_special_6,engine_special,,$technology_name_engine_special_6,1934,1,68,"turning(11.5), turning_change(18.5), stat(turn;-8.5), engine_c(-170),  hull(-5), flaws(-10), cost(hull;-4.5)",steering_gear_5,,$technology_desc_engine_special_6,,,
engine_special_7,engine_special,,$technology_name_engine_special_7,1891,,68,engine(4),,,$technology_desc_engine_special_7,,,
engine_special_8,engine_special,,$technology_name_engine_special_8,1942,1,68,"accel(5), engine_r(5)",,,$technology_desc_engine_special_8,,,
engine_special_9,engine_special,,$technology_name_engine_special_9,1947,1,68,"accel(5), engine_r(5)",,,$technology_desc_engine_special_9,,,
engine_special_10,engine_special,,$technology_name_engine_special_10,1908,1,68,"engine(-5), fuel(-2), engine_c(-50), module_repair(15), engine_r(10), pump(15), gun_rotation(2), turning(5), turning_change(5), module_repair_engine(10), engine_vibrations(-5), fuel_eff(-2.5), cost(hull;-2.5)",aux_engine_1,,$technology_desc_engine_special_10,,,
engine_special_11,engine_special,,$technology_name_engine_special_11,1917,1,68,"engine(-10), fuel(-4), engine_c(-50), module_repair(25), engine_r(17.5), pump(20), gun_rotation(4), turning(7.5), turning_change(10), module_repair_engine(20), engine_vibrations(-10), fuel_eff(-3.5), cost(hull;-5)",aux_engine_2,,$technology_desc_engine_special_11,,,
engine_special_12,engine_special,,$technology_name_engine_special_12,1927,1,68,"engine(-25), hull(-1.25), cost(hull;-10), engine_c(-100), module_repair(40), engine_r(30), pump(30), accel(15), turning(15), turning_change(25), gun_rotation(7.5), module_repair_engine(50), flaws(-5), fuel_eff(5), cost(hull;-7.5)",aux_engine_3,,$technology_desc_engine_special_12,,,
engine_special_13,engine_special,,$technology_name_engine_special_13,1940,1,68,"engine(-20), hull(-1.75), cost(hull;-15), engine_c(-120), module_repair(42.5), engine_r(33), pump(30), accel(20), turning(17.5), turning_change(27.5), gun_rotation(8), module_repair_engine(52.5), flaws(-7.5), fuel_eff(10), cost(hull;-10)",aux_engine_4,,$technology_desc_engine_special_13,,,
engine_special_14,engine_special,,$technology_name_engine_special_14,1954,1,68,"engine(-30), hull(-2.5), cost(hull;-20), engine_c(-170), module_repair(55), engine_r(55), pump(34.5), accel(22.5), turning(19.5), turning_change(32.5), gun_rotation(10), module_repair_engine(60), flaws(-10), fuel_eff(2.5), cost(hull;-12.5)",aux_engine_5,,$technology_desc_engine_special_14,,,
engine_special_15,engine_special,,$technology_name_engine_special_15,1913,1,68,"engine(-3), hull(-1), cost(hull;-4), engine_c(-15), accel(5), turning(10), engine_r(10), module_repair_engine(5)",drive_shaft_1,,$technology_desc_engine_special_15,,,
engine_special_16,engine_special,,$technology_name_engine_special_16,1921,1,68,"engine(-6), hull(-2), cost(hull;-6), engine_c(-30), accel(10), turning(15), engine_r(15), module_repair_engine(10)",drive_shaft_2,,$technology_desc_engine_special_15,,,
engine_special_17,engine_special,,$technology_name_engine_special_17,1931,1,68,"engine(-10), hull(-2.5), cost(hull;-9),  engine_c(-40), accel(15), turning(20), engine_r(20), module_repair_engine(15), flaws(-4)",drive_shaft_3,,$technology_desc_engine_special_15,,,
engine_special_18,engine_special,,$technology_name_engine_special_18,1945,1,68,"engine(-15), hull(-3.5), cost(hull;-13), engine_c(-50), accel(20), turning(25), engine_r(30), module_repair_engine(20), flaws(-8)",drive_shaft_4,,$technology_desc_engine_special_15,,,
engine_special_19,engine_special,,$technology_name_engine_special_19,1955,1,68,"engine(-20), hull(-4.5), cost(hull;-18.5), engine_c(-60), accel(25), turning(30), engine_r(40), module_repair_engine(30), flaws(-12)",drive_shaft_5,,$technology_desc_engine_special_17,,,
engine_special_20,engine_special,,$component_name_short_boiler_4,1890,0,68,"start, engine(0.75), accel(2.5), turning(-15), turning_change(20), stat(turn;12.5), rudder_max(15)",rudder_0,,$technology_desc_engine_special_20,,,
engine_special_21,engine_special,,$component_name_short_rudder_1,1890,0,68,"start, default_component",rudder_1,,$technology_desc_engine_special_21,,,
engine_special_22,engine_special,,$component_name_short_rudder_2,1890,0,68,"start, engine(-0.75), accel(-2.5), turning(15), turning_change(-20), stat(turn;-12.5), rudder_max(-15)",rudder_2,,$technology_desc_engine_special_22,,,
engine_special_end,engine_special,,$technology_name_engine_special_end,1961,,126,"end, accel(0.2), turning(1), turning_change(1), stat(turn;-0.5)",,,$technology_desc_engine_special_end,,,
# $techType_name_hull_strength,hull_strength,,,,,,,,,,,,
hull_strength_1,hull_strength,,$technology_name_hull_strength_1,1890,,69,"start, unlock(b_1_russia;b_1_italian_3mast;b_1_italian_Large_3mast;b_1_austria;b_1;b1_massena_var1;b1_massena_var2;b1_massena_var3;b1_brennus;b1_germany;b1_germanyexport;b1_russiaold;tb_lowbow;tb_highbow;tb_standard;b1_maine;b1_maine_varsides;b1_maine_varsmall;b1_maine_varsides;b1_maine_varsmall;b_1_usa_var;b1_3mast_spain;b1_inflex;bb_exp_iron1;bb_exp_iron2;bb_exp_iron3;ca_maine_varcoastal2;ca_maine_varcoastal;ca_maine_threemast;ca_1_3mast_usa;ca_1_3mast_russia;ca_1_joseph_3mast;ca_1_naniwa_3mast;ca_inflex_china;ca_1_small;ca_1_friedrich;ca_1_italian_small_3mast;ca_1_small_austria2;ca_1_rambow_france;cl_1_rambow_boat;cl_1_rambow_early;cl_1_straightbow_early;cl_maine_threemast;cl1_inflex_china;cl_1_rambow_3mast_ver3;cl_1_rambow_3mast_ver2;cl_1_rambow_3mast;cl_1_rambow_3mast_early;cl_1_3mast_usa;cl_1_austria_small;cl_1_3mast_armored;cl_1_austria_belted;cl_1_austrian;cl_1_rambow;cl_1_straightbow)",,,$technology_desc_hull_strength_1,"The ironclad era is superseded by a new class of warships. The latest developments bring new standards for Battleships, Armored Cruisers, Light Cruisers and Torpedo Boats.",,
hull_strength_2,hull_strength,,$technology_name_hull_strength_2,1891,,69,"hull(2.5), stat(hull_form;2.5), stat(endurance;2.5), unlock(b_1_usa;b1_tsesarevich_russia;b1_inflex_2)",,,$technology_desc_hull_strength_2,"Materials with better strength-to-weight ratio can produce bigger hulls. *Hull weight -2.5%, Hull Form +2.5%, Endurance +2.5%*",,
hull_strength_3,hull_strength,,$technology_name_hull_strength_3,1894,,69,"hull(2.5), stat(hull_form;2.5), stat(endurance;2.5), unlock(b2_germany;b1_bouvet;b_1_usa_var_exp1; b_2_austria)",,,$technology_desc_hull_strength_3,"Materials with better strength-to-weight ratio can produce bigger hulls. *Hull weight -2.5%, Hull Form +2.5%, Endurance +2.5%*",,
hull_strength_4,hull_strength,,$technology_name_hull_strength_4,1896,,69,"hull(2.5), stat(hull_form;2.5), stat(stability;2.5), stat(endurance;2.5), engine_vibrations(2.5), unlock(b_2;b_2_usa;b2_friedrich;b2_germanyexport;b1_bouvet2;b_3_austria; b3_britain;b_2_borodino;b_2_borodino_largedeck;b_2_china_exp;b1_tsesarevich_france;b1_bouvet_semidreadnought;b_3_russia;b_2_italy;b_1_usa_var_exp2;b_1_largegeneric), obsolete(bb_exp_iron1;bb_exp_iron2;bb_exp_iron3)",,,$technology_desc_hull_strength_4,"New ship design methods allow the construction of longer and stronger hulls. *Hull weight -2.5%, Hull Form +2.5%, Stability +2.5%, Endurance +2.5%*",,
hull_strength_5,hull_strength,,$technology_name_hull_strength_5,1899,,69,"hull(2.5), stat(hull_form;2.5), stat(stability;2.5), stat(endurance;2.5), engine_vibrations(2.5), unlock(b2_danton;b1_maine_semidread2;bb_1_italy_semi;b_1_usa_var_exp3;b_2_usa_semi;b_2_usa_semi2), obsolete(b1_maine;b1_3mast_spain;b1_inflex;b1_inflex_2)",,,$technology_desc_hull_strength_4,"New ship design methods allow the construction of longer and stronger hulls. *Hull weight -2.5%, Hull Form +2.5%, Stability +2.5%, Endurance +2.5%*",,
