@name,random,aiTextName,aiTechMod,aiPlayerCounter,aiTrainingMod,aiShipyardMod,aiTrMod,aiOffense,aiDefense,seaControlProbability,invadeProbability,protectProbability,aiShipbuilding,aiRefit,aiAction,aiNavalnvasion,aiParams,#ModifierShipyard,#ModifierRefit,#SUM,#modifiers for AI building,#modifiers for AI shipbuilding,#modifiers for AI refit
spain_ai,,"Pascual Cervera, Segismundo Bermejo, Patricio Montojo, Juan Bautista Aznar, Luis Carrero Blanco, Luis Carrero Blanco",0.44,2,0.88,0.132,0.572,3,1.7,0.3,0.3,0.5,1.496,1.76,0.5,0.55,"buildRatio(bc;0.5), buildRatio(bb;1), buildRatio(ca;2), buildRatio(cl;3), buildRatio(dd;2.5)",2.992,0.88,2.024,,,
china_ai,,"Ding Ruchang, Cheng Biguang, Liu Guanxiong, Chan Chak, Chen Shaokuan, Chen Shaokuan",0.44,3,0.814,0.11,0.572,0.5,0.4,0.4,0.3,0.5,2.053333333,1.1,0.5,0.5,"buildRatio(bc;0.3), buildRatio(bb;1.2), buildRatio(ca;1.5), buildRatio(cl;2), buildRatio(dd;2), buildRatio(tb;2)",4.106666667,0.55,1.936,,,
canada_ai,,"Frederick Richards, John Fisher, John Fisher, John Jellicoe, David Beatty, Ernle Chatfield",0.814,0.5,0.88,0.198,0.572,1.65,1.275,0.9,0.7,0.6,2.2,0.88,1.3,2,"buildRatio(bc;1.8), buildRatio(bb;2.45), buildRatio(ca;1.6), buildRatio(cl;1.6), buildRatio(dd;1.4), buildRatio(tb;1.4),TechMod(engine_engine;20), TechMod(engine_boiler;20), TechMod(gun_main;70), TechMod(hull_cruiser;30), TechMod(hull_strength;20), TechMod(gun_mech;20)",4.4,0.44,2.464,,,
france2_ai,,"Theophile Aube, Jean de Lamornaix, Charles Touchard, Henri Salaun, Francois Darlan, Francois Darlan",0.66,0.2,0.88,0.132,0.572,2.44,2,0.8,0.99,0.5,1.906666667,1.1,0.7,1.3,"buildRatio(bc;1.2), buildRatio(bb;2), buildRatio(ca;2.75), buildRatio(cl;3.8), buildRatio(dd;1.7), buildRatio(tb;3), TechMod(engine_engine;20), TechMod(engine_boiler;40), TechMod(engine_special;17), TechMod(hull_cruiser;30), TechMod(hull_destroyer;40), TechMod(tactics_tactics;15), TechMod(tactics_comm;15), TechMod(tactics_asw;17), TechMod(gun_mech;40)",3.813333333,0.55,2.244,,,
italy2_ai,,"Edoardo Masdea, Marcello Amero D'Aste, Marcello Amero D'Aste, Marcello Amero D'Aste, Domenico Cavagnari, Inigo Campioni",0.66,0.1,0.99,0.132,0.572,0.9,0.8,0.75,0.6,0.6,1.73333333,1.1,1,1,"buildRatio(bc;1), buildRatio(bb;1.5), buildRatio(ca;2), buildRatio(cl;3), buildRatio(dd;4), buildRatio(tb;3)",2.46666667,0.55,2.354,,,
ottoman_ai,,"Seydi Ali Reis, Ahmed Muhiddin Piri, Hasan Rami Pasha, Murat Reis the Elder",0.66,0.5,0.99,0.121,0.572,3,1.5,0.75,0.3,0.99,1.466666667,0.726,1.6,1.5,"buildRatio(bc;2), buildRatio(bb;3), buildRatio(ca;2), buildRatio(cl;3), TechMod(gun_layout;20), TechMod(gun_main;30), TechMod(armor_quality;30), TechMod(armor_forging;30), TechMod(surv_hull;20)",2.3,0.506,1.0672,,,
counter_player_ai,TRUE,-1,0.66,3,0.88,0.22,0.572,1.75,1.25,0.55,,,2.053333333,1.1,,,,4.106666667,0.55,2.332,,,
treasury_ai,TRUE,-1,0.66,1.25,0.99,0.088,0.572,3.5,3,0.25,,,2.053333333,1.1,,,,4.106666667,0.55,2.31,,,
tech_ai,TRUE,-1,0.88,1.15,0.88,0.154,0.572,1.2,1,0.52,,,1.701333333,1.1,,,buildRatio(ss;1.25),3.402666667,0.55,2.486,,,
ecole_ai,TRUE,-1,0.66,1,0.99,0.132,0.572,3,1,0.9,,,2.346666667,1.1,,,"buildRatio(ca;1.6), buildRatio(cl;2), buildRatio(dd;1.3), buildRatio(tb;3), TechMod(engine_engine;8), TechMod(engine_boiler;16), TechMod(engine_special;8), TechMod(hull_cruiser;12), TechMod(hull_destroyer;16), TechMod(tactics_tactics;15), TechMod(tactics_comm;15), TechMod(tactics_asw;17.5)",4.693333333,0.55,2.354,,,
industrial_ai,TRUE,-1,0.88,1,0.99,0.33,0.572,1.77,1.6,0.6,,,2.64,1.1,,,"TechMod(hull_strength;30), TechMod(projectile_shell;30), TechMod(projectile_explosive;30), TechMod(torpedo_size;30), TechMod(torpedo_prop;30), TechMod(surv_internal;30), TechMod(aim_control;40)",5.28,0.55,2.772,,,
torpedostriker_ai,TRUE,-1,0.77,10,0.99,0.0726,0.572,4,0.4,0.76,,,2.053333333,1.1,,,"buildRatio(dd;10), buildRatio(cl;2), buildRatio(tb;10), TechMod(torpedo_size;30), TechMod(torpedo_tubes;30), TechMod(torpedo_prop;30)",4.106666667,0.55,2.4046,,,
heavyships_ai,TRUE,-1,0.66,1,1.1,0.22,0.572,2,2,0.58,,,2.053333333,1.1,,,"TechMod(hull_strength;20), TechMod(armor_quality;30), TechMod(armor_forging;30), TechMod(aim_control;20), TechMod(aim_rangefinder;20), TechMod(surv_internal;30) ",4.106666667,0.55,2.552,,,
balanced_ai,TRUE,-1,0.66,1.25,1.1,0.198,0.572,1.3,1.3,0.49,,,2.053333333,1.1,,1,,4.106666667,0.55,2.53,,,
balanced_cruiser_ai,TRUE,-1,0.66,,1.1,0.22,0.572,1.8,1.2,0.56,,,2.053333333,1.1,,,"buildRatio(ca;2), buildRatio(cl;2)",4.106666667,0.55,2.552,,,
balanced_destroyer_ai,TRUE,-1,0.66,,1.1,0.22,0.572,1.2,0.8,0.66,,,2.053333333,1.1,,,"buildRatio(dd;2), buildRatio(tb;2)",4.106666667,0.55,2.552,,,
battleship_ai,TRUE,-1,0.66,1.45,1.1,0.66,0.572,2.5,1.8,0.55,,,2.053333333,1.1,,1,buildRatio(bb;8),4.106666667,0.55,2.992,,,
battlecruiser_ai,TRUE,-1,0.66,1.25,1.1,0.44,0.572,1.75,0.65,0.65,,,2.053333333,1.1,,1,buildRatio(bb;6),4.106666667,0.55,2.772,,,
