@name,enabled,type,nameUi,order,cost,weight,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,minMainTurrets,minMainBarrels,speedLimiter,#comment,#comment2,#cost_base,#cost_base_mod
gun_13_x2_alt_side,,gun,Side Gun,,-1,-1,,95,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(7.7),330,13,2,,,,,,,,,,,,,,,,,,-1,
gun_13_x3_alt_side,,gun,Side Gun,,-1,-1,,110,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(8),330,13,3,,,,,,,,,,,,,,,,,,-1,
gun_14_x2_alt_side,,gun,Side Gun,,-1,-1,,100,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(9.2),356,14,2,,,,,,,,,,,,,,,,,,-1,
gun_14_x3_alt_side,,gun,Side Gun,,-1,-1,,115,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(9.5),356,14,3,,,,,,,,,,,,,,,,,,-1,
gun_15_x2_alt_side,,gun,Side Gun,,-1,-1,,105,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(11.5),381,15,2,,,,,,,,,,,,,,,,,,-1,
gun_15_x3_alt_side,,gun,Side Gun,,-1,-1,,120,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(12),381,15,3,,,,,,,,,,,,,,,,,,-1,
gun_16_x2_alt_side,,gun,Side Gun,,-1,-1,,110,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(14.5),406,16,2,,,,,,,,,,,,,,,,,,-1,
gun_16_x3_alt_side,,gun,Side Gun,,-1,-1,,130,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(15),406,16,3,,,,,,,,,,,,,,,,,,-1,
gun_17_x2_alt_side,,gun,Side Gun,,-1,-1,,115,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(16.5),432,17,2,,,,,,,,,,,,,,,,,,-1,
gun_17_x3_alt_side,,gun,Side Gun,,-1,-1,,140,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(17),432,17,3,,,,,,,,,,,,,,,,,,-1,
gun_18_x2_alt_side,,gun,Side Gun,,-1,-1,,125,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(18.5),457,18,2,,,,,,,,,,,,,,,,,,-1,
gun_18_x3_alt_side,,gun,Side Gun,,-1,-1,,150,(custom),,Side Guns,"free, side, barbette",,"side, main_side",size(19),457,18,3,,,,,,,,,,,,,,,,,,-1,
##,,alt gun low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt,,gun,Gun,,-1,-1,,3,(custom),,,"free, center, side, barbette",,"dd_side, single_tertiary",size(0.1),51,2,1,,,,,,,,,,,,,,,,,,-1,
gun_2_x2_alt,,gun,Gun,,-1,-1,,5,(custom),,,"free, center, side, barbette",,"dd_side, dual_tertiary",size(0.12),51,2,2,,,,,,,,,,,,,,,,,,-1,
gun_2_x3_alt,,gun,Gun,,-1,-1,,7,(custom),,,"free, center, side, barbette",,dd_side,size(0.14),51,2,3,,,,,,,,,,,,,,,,,,-1,
gun_3_x1_alt,,gun,Gun,,-1,-1,,4,(custom),,,"free, center, side, barbette",,single_tertiary,size(0.2),76,3,1,,,,,,,,,,,,,,,,,,-1,
gun_3_x2_alt,,gun,Gun,,-1,-1,,6,(custom),,,"free, center, side, barbette",,dual_tertiary,size(0.22),76,3,2,,,,,,,,,,,,,,,,,,-1,
gun_3_x3_alt,,gun,Gun,,-1,-1,,8,(custom),,,"free, center, side, barbette",,,size(0.24),76,3,3,,,,,,,,,,,,,,,,,,-1,
gun_4_x1_alt,,gun,Gun,,-1,-1,,5,(custom),,,"free, center, side, barbette",,"dd_modern, single_sec, single_tertiary",size(0.4),102,4,1,,,,,,,,,,,,,,,,,,-1,
gun_4_x2_alt,,gun,Gun,,-1,-1,,7,(custom),,,"free, center, side, barbette",,"dd_modern,dual_tertiary",size(0.44),102,4,2,,,,,,,,,,,,,,,,,,-1,
gun_4_x3_alt,,gun,Gun,,-1,-1,,9,(custom),,,"free, center, side, barbette",,dd_modern,size(0.46),102,4,3,,,,,,,,,,,,,,,,,,-1,
gun_5_x1_alt,,gun,Gun,,-1,-1,,6,(custom),,,"free, center, side, barbette",,"main_ca_side, dd_modern, cl_small, single_sec",size(0.9),127,5,1,,,,,,,,,,,,,,,,,,-1,
gun_5_x2_alt,,gun,Gun,,-1,-1,,8,(custom),,,"free, center, side, barbette",,"main_ca_side, dd_modern, cl_small",size(0.92),127,5,2,,,,,,,,,,,,,,,,,,-1,
gun_5_x3_alt,,gun,Gun,,-1,-1,,10,(custom),,,"free, center, side, barbette",,"main_ca_side, dd_modern, cl_small",size(0.94),127,5,3,,,,,,,,,,,,,,,,,,-1,
gun_6_x2_alt,,gun,Gun,,-1,-1,,9,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, cl_small",size(1.35),152,6,2,,,,,,,,,,,,,,,,,,-1,
gun_6_x3_alt,,gun,Gun,,-1,-1,,11,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, cl_small",size(1.4),152,6,3,,,,,,,,,,,,,,,,,,-1,
gun_7_x2_alt,,gun,Gun,,-1,-1,,20,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, medium_gun",size(1.65),178,7,2,,,,,,,,,,,,,,,,,,-1,
gun_7_x3_alt,,gun,Gun,,-1,-1,,25,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, medium_gun",size(1.7),178,7,3,,,,,,,,,,,,,,,,,,-1,
gun_8_x2_alt,,gun,Gun,,-1,-1,,25,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, medium_gun, main_agamemnon_single",size(1.95),203,8,2,,,,,,,,,,,,,,,,,,-1,
gun_8_x3_alt,,gun,Gun,,-1,-1,,30,(custom),,,"free, center, side, barbette",,"main_ca, main_ca_side, medium_gun, main_agamemnon_single",size(2),203,8,3,,,,,,,,,,,,,,,,,,-1,
##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
