#HalfBakedOne Ship Names List       Version 1.00        Feb 22 2026         DIP EXTENDED,,,,,,,,,,
#Huge shoutout to Discord user MDHansen for their help debugging this file!,,,,,,,,,,
#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
217,,Huszar,austria,dd,,,,,,
218,,Pandur,austria,dd,,,,,,
219,,Reka,austria,dd,,,,,,
220,,Scharfschütze,austria,dd,,,,,,
221,,Streiter,austria,dd,,,,,,
222,,Turul,austria,dd,,,,,,
223,,Ulan,austria,dd,,,,,,
224,,Uskoke,austria,dd,,,,,,
225,,Velebit,austria,dd,,,,,,
226,,Warasdiner,austria,dd,,,,,,
227,,Wildfang,austria,dd,,,,,,
228,,Balaton,austria,dd,,,,,,
229,,Csepel,austria,dd,,,,,,
230,,Lika,austria,dd,,,,,,
231,,Orjen,austria,dd,,,,,,
232,,Tátra,austria,dd,,,,,,
233,,Triglav,austria,dd,,,,,,
234,,Dukla,austria,dd,,,,,,
235,,Uzsok,austria,dd,,,,,,
236,,Python,austria,tb,,,,,,
237,,Kigyo,austria,tb,,,,,,
238,,Boa,austria,tb,,,,,,
239,,Cobra,austria,tb,,,,,,
240,,Kaiman,austria,tb,,,,,,
241,,Anaconda,austria,tb,,,,,,
242,,Alligator,austria,tb,,,,,,
243,,Krokodil,austria,tb,,,,,,
244,,Wal,austria,tb,,,,,,
245,,Seehund,austria,tb,,,,,,
246,,Delphin,austria,tb,,,,,,
247,,Narwal,austria,tb,,,,,,
248,,Hai,austria,tb,,,,,,
249,,Möwe,austria,tb,,,,,,
250,,Schwalbe,austria,tb,,,,,,
251,,Pinguin,austria,tb,,,,,,
252,,Drache,austria,tb,,,,,,
253,,Greif,austria,tb,,,,,,
254,,Triton,austria,tb,,,,,,
255,,Hydra,austria,tb,,,,,,
256,,Skorpion,austria,tb,,,,,,
257,,Phönix,austria,tb,,,,,,
258,,Krake,austria,tb,,,,,,
259,,Polyp,austria,tb,,,,,,
260,,Echse,austria,tb,,,,,,
261,,Molch,austria,tb,,,,,,
262,,Kormoran,austria,tb,,,,,,
263,,Alk,austria,tb,,,,,,
##,,,###,,,,,,,
265,,Royal Sovereign,britain,bb,,,,,,
266,,Empress of India,britain,bb,,,,,,
267,,Repulse,britain,bb,,,,,,
268,,Ramillies,britain,bb,,,,,,
269,,Resolution,britain,bb,,,,,,
270,,Revenge,britain,bb,,,,,,
271,,Redoubtable,britain,bb,,,,,,
272,,Royal Oak,britain,bb,,,,,,
273,,Hood,britain,bb,,,,,,
274,,Centurion,britain,bb,,,,,,
275,,Barfleur,britain,bb,,,,,,
276,,Renown,britain,bb,,,,,,
277,,Magnificent,britain,bb,,,,,,
278,,Majestic,britain,bb,,,,,,
279,,Prince George,britain,bb,,,,,,
280,,Victorious,britain,bb,,,,,,
281,,Jupiter,britain,bb,,,,,,
282,,Mars,britain,bb,,,,,,
283,,Hannibal,britain,bb,,,,,,
284,,Caesar,britain,bb,,,,,,
285,,Illustrious,britain,bb,,,,,,
286,,Canopus,britain,bb,,,,,,
287,,Goliath,britain,bb,,,,,,
288,,Albion,britain,bb,,,,,,
289,,Ocean,britain,bb,,,,,,
290,,Glory,britain,bb,,,,,,
291,,Vengeance,britain,bb,,,,,,
292,,Formidable,britain,bb,,,,,,
293,,Irresistible,britain,bb,,,,,,
294,,Implacable,britain,bb,,,,,,
295,,London,britain,bb,,,,,,
296,,Bulwark,britain,bb,,,,,,
297,,Venerable,britain,bb,,,,,,
298,,Queen,britain,bb,,,,,,
299,,Prince of Wales,britain,bb,,,,,,
300,,Russell,britain,bb,,,,,,
301,,Albemarle,britain,bb,,,,,,
302,,Montagu,britain,bb,,,,,,
303,,Duncan,britain,bb,,,,,,
304,,Cornwallis,britain,bb,,,,,,
305,,Exmouth,britain,bb,,,,,,
306,,King Edward VII,britain,bb,,,,,,
307,,Commonwealth,britain,bb,,,,,,
308,,Dominion,britain,bb,,,,,,
309,,Hindustan,britain,bb,,,,,,
310,,New Zealand,britain,bb,,,,,,
311,,Zealandia,britain,bb,,,,,,
312,,Britannia,britain,bb,,,,,,
313,,Africa,britain,bb,,,,,,
314,,Hibernia,britain,bb,,,,,,
315,,Swiftsure,britain,bb,,,,,,
316,,Triumph,britain,bb,,,,,,
317,,Lord Nelson,britain,bb,,,,,,
318,,Agamemnon,britain,bb,,,,,,
319,,Dreadnought,britain,bb,,,,,,
320,,Bellerophon,britain,bb,,,,,,
321,,Superb,britain,bb,,,,,,
322,,Temeraire,britain,bb,,,,,,
323,,St. Vincent,britain,bb,,,,,,
324,,Collingwood,britain,bb,,,,,,
325,,Vanguard,britain,bb,,,,,,
326,,Neptune,britain,bb,,,,,,
327,,Colossus,britain,bb,,,,,,
328,,Hercules,britain,bb,,,,,,
329,,Orion,britain,bb,,,,,,
330,,Monarch,britain,bb,,,,,,
331,,Conqueror,britain,bb,,,,,,
332,,Thunderer,britain,bb,,,,,,
333,,King George V,britain,bb,,,,,,
334,,Audacious,britain,bb,,,,,,
335,,Ajax,britain,bb,,,,,,
336,,Iron Duke,britain,bb,,,,,,
337,,Marlborough,britain,bb,,,,,,
338,,Benbow,britain,bb,,,,,,
339,,Emperor of India,britain,bb,,,,,,
340,,Agincourt,britain,bb,,,,,,
341,,Erin,britain,bb,,,,,,
342,,Canada,britain,bb,,,,,,
343,,Eagle,britain,bb,,,,,,
344,,Queen Elizabeth,britain,bb,,,,,,
345,,Warspite,britain,bb,,,,,,
346,,Barham,britain,bb,,,,,,
347,,Valiant,britain,bb,,,,,,
348,,Malaya,britain,bb,,,,,,
349,,Nelson,britain,bb,,,,,,
350,,Rodney,britain,bb,,,,,,
351,,Duke of York,britain,bb,,,,,,
352,,Anson,britain,bb,,,,,,
353,,Howe,britain,bb,,,,,,
354,,Lion,britain,bb,,,,,,
361,,Invincible,britain,bb,,,,,,
355,,Munro,britain,bb,,,,,,
358,,Rocket,britain,bc,,,,,,
359,,Slayed Duke,britain,bb,,,,,,
356,,MD Hansen,britain,bb,,,,,,
357,,Sepharin,britain,bb,,,,,,
360,,Hajas,britain,bb,,,,,,
362,,Yumasai,britain,bb,,,,,,
363,,Pronto,britain,bb,,,,,,
364,,Inflexible,britain,bc,,,,,,
365,,Indomitable,britain,bc,,,,,,
366,,Indefatigable,britain,bc,,,,,,
367,,New Zealand,britain,bc,,,,,,
368,,Lion,britain,bc,,,,,,
369,,Princess Royal,britain,bc,,,,,,
370,,Queen Mary,britain,bc,,,,,,
371,,Tiger,britain,bc,,,,,,
372,,Renown,britain,bc,,,,,,
373,,Repulse,britain,bc,,,,,,
374,,Courageous,britain,bc,,,,,,
375,,Glorious,britain,bc,,,,,,
376,,Furious,britain,bc,,,,,,
377,,Incomparable,britain,bc,,,,,,
378,,Hood,britain,bc,,,,,,
379,,Anson,britain,bc,,,,,,
380,,Howe,britain,bc,,,,,,
381,,Rodney,britain,bc,,,,,,
382,,Warrior,britain,bc,,,,,,
383,,Black Prince,britain,bc,,,,,,
384,,Defence,britain,bc,,,,,,
385,,Resistance,britain,bc,,,,,,
386,,Hector,britain,bc,,,,,,
387,,Valiant,britain,bc,,,,,,
388,,Achilles,britain,bc,,,,,,
389,,Minotaur,britain,bc,,,,,,
390,,Agincourt,britain,bc,,,,,,
391,,Northumberland,britain,bc,,,,,,
392,,Prince Consort,britain,bc,,,,,,
393,,Caledonia,britain,bc,,,,,,
394,,Ocean,britain,bc,,,,,,
395,,Royal Oak,britain,bc,,,,,,
396,,Royal Alfred,britain,bc,,,,,,
397,,Enterprise,britain,bc,,,,,,
398,,Favorite,britain,bc,,,,,,
399,,Zealous,britain,bc,,,,,,
400,,Lord Clyde,britain,bc,,,,,,
401,,Lord Warden,britain,bc,,,,,,
402,,Pallas,britain,bc,,,,,,
403,,Bellerophon,britain,bc,,,,,,
404,,Penelope,britain,bc,,,,,,
405,,Hercules,britain,bc,,,,,,
406,,Monarch,britain,bc,,,,,,
407,,Audacious,britain,bc,,,,,,
408,,Devastation,britain,bc,,,,,,
409,,Thunderer,britain,bc,,,,,,
410,,Superb,britain,bc,,,,,,
411,,Trafalgar,britain,bc,,,,,,
412,,Colossus,britain,bc,,,,,,
413,,Shannon,britain,ca,,,,,,
414,,Nelson,britain,ca,,,,,,
415,,Imperieuse,britain,ca,,,,,,
416,,Warspite,britain,ca,,,,,,
417,,Orlando,britain,ca,,,,,,
418,,Australia,britain,ca,,,,,,
419,,Undaunted,britain,ca,,,,,,
420,,Narcissus,britain,ca,,,,,,
421,,Galatea,britain,ca,,,,,,
422,,Immortalite,britain,ca,,,,,,
423,,Aurora,britain,ca,,,,,,
424,,Blake,britain,ca,,,,,,
425,,Blenheim,britain,ca,,,,,,
426,,Edgar,britain,ca,,,,,,
427,,Hawke,britain,ca,,,,,,
428,,Endymion,britain,ca,,,,,,
429,,Royal Arthur,britain,ca,,,,,,
430,,Gibraltar,britain,ca,,,,,,
431,,Grafton,britain,ca,,,,,,
432,,St George,britain,ca,,,,,,
433,,Theseus,britain,ca,,,,,,
434,,Crescent,britain,ca,,,,,,
435,,Powerful,britain,ca,,,,,,
436,,Terrible,britain,ca,,,,,,
437,,Diadem,britain,ca,,,,,,
438,,Niobe,britain,ca,,,,,,
439,,Europa,britain,ca,,,,,,
440,,Andromeda,britain,ca,,,,,,
441,,Amphitrite,britain,ca,,,,,,
442,,Argonaut,britain,ca,,,,,,
443,,Ariadne,britain,ca,,,,,,
444,,Spartiate,britain,ca,,,,,,
445,,Cressy,britain,ca,,,,,,
446,,Sutlej,britain,ca,,,,,,
447,,Aboukir,britain,ca,,,,,,
448,,Hogue,britain,ca,,,,,,
449,,Bacchante,britain,ca,,,,,,
450,,Euryalus,britain,ca,,,,,,
451,,Drake,britain,ca,,,,,,
452,,Good Hope,britain,ca,,,,,,
453,,King Alfred,britain,ca,,,,,,
454,,Leviathan,britain,ca,,,,,,
455,,Monmouth,britain,ca,,,,,,
456,,Bedford,britain,ca,,,,,,
457,,Essex,britain,ca,,,,,,
458,,Kent,britain,ca,,,,,,
459,,Berwick,britain,ca,,,,,,
460,,Cornwall,britain,ca,,,,,,
461,,Cumberland,britain,ca,,,,,,
462,,Donegal,britain,ca,,,,,,
463,,Lancaster,britain,ca,,,,,,
464,,Suffolk,britain,ca,,,,,,
465,,Devonshire,britain,ca,,,,,,
466,,Hampshire,britain,ca,,,,,,
467,,Carnarvon,britain,ca,,,,,,
468,,Antrim,britain,ca,,,,,,
469,,Roxburgh,britain,ca,,,,,,
470,,Argyll,britain,ca,,,,,,
471,,Duke of Edinburgh,britain,ca,,,,,,
472,,Black Prince,britain,ca,,,,,,
473,,Warrior,britain,ca,,,,,,
474,,Cochrane,britain,ca,,,,,,
475,,Achilles,britain,ca,,,,,,
476,,Natal,britain,ca,,,,,,
477,,Minotaur,britain,ca,,,,,,
478,,Iris,britain,cl,,,,,,
479,,Mercury,britain,cl,,,,,,
480,,Comus,britain,cl,,,,,,
481,,Curacoa,britain,cl,,,,,,
482,,Champion,britain,cl,,,,,,
483,,Cleopatra,britain,cl,,,,,,
484,,Carysfort,britain,cl,,,,,,
485,,Conquest,britain,cl,,,,,,
486,,Constance,britain,cl,,,,,,
487,,Canada,britain,cl,,,,,,
488,,Cordelia,britain,cl,,,,,,
489,,Leander,britain,cl,,,,,,
490,,Arethusa,britain,cl,,,,,,
491,,Phaeton,britain,cl,,,,,,
492,,Amphion,britain,cl,,,,,,
493,,Calypso,britain,cl,,,,,,
494,,Calliope,britain,cl,,,,,,
495,,Surprise,britain,cl,,,,,,
496,,Alacrity,britain,cl,,,,,,
497,,Mersey,britain,cl,,,,,,
498,,Severn,britain,cl,,,,,,
499,,Thames,britain,cl,,,,,,
500,,Forth,britain,cl,,,,,,
501,,Scout,britain,cl,,,,,,
502,,Fearless,britain,cl,,,,,,
503,,Archer,britain,cl,,,,,,
504,,Mohawk,britain,cl,,,,,,
505,,Brisk,britain,cl,,,,,,
506,,Porpoise,britain,cl,,,,,,
507,,Cossack,britain,cl,,,,,,
508,,Tartar,britain,cl,,,,,,
509,,Serpent,britain,cl,,,,,,
