#id,enabled / disabled,type of part,short name for ui (keep it short),weight as probabilty to be used,name for human,description for ui,paramenets,
@name,enabled,type,nameShort,weight,nameUi,desc,param,#comment
multi_bottom_0,,multi_bottom,$component_name_short_multi_bottom_0,5,$technology_name_surv_hull_1,$technology_desc_surv_hull_1,,
multi_bottom_0_1,,multi_bottom,$component_name_short_multi_bottom_0_1,1,$technology_name_surv_hull_1_1,$technology_desc_surv_hull_1_1,,
multi_bottom_1,,multi_bottom,$component_name_short_multi_bottom_1,2,$technology_name_surv_hull_2,$technology_desc_surv_hull_2,,
multi_bottom_3,,multi_bottom,$component_name_short_multi_bottom_3,5,$technology_name_surv_hull_3_1,$technology_desc_surv_hull_3_1,,
multi_bottom_4,,multi_bottom,$component_name_short_multi_bottom_4,2,$technology_name_surv_hull_3_2,$technology_desc_surv_hull_3_2,,
multi_bottom_2,,multi_bottom,$component_name_short_multi_bottom_2,11,$technology_name_surv_hull_3,$technology_desc_surv_hull_3,,
multi_bottom_5,,multi_bottom,$component_name_short_multi_bottom_5,5,$technology_name_surv_hull_3_3,$technology_desc_surv_hull_3_3,,
multi_bottom_6,,multi_bottom,$component_name_short_multi_bottom_6,11,$technology_name_surv_hull_3_4,$technology_desc_surv_hull_3_4,,
##,,,,,,,,
buklheads_0,,bulkheads,$Ui_CrewQuarters_Standard,5,$technology_name_surv_internal_2,$technology_desc_surv_internal_2,,
buklheads_0_1,,bulkheads,$component_name_short_buklheads_0_1,1,$technology_name_surv_internal_2_1,$technology_desc_surv_internal_2_1,,
buklheads_1,,bulkheads,$component_name_short_buklheads_1,2,$technology_name_surv_internal_3,$technology_desc_surv_internal_3,,
buklheads_2,,bulkheads,$component_name_short_buklheads_2,12,$technology_name_surv_internal_4,$technology_desc_surv_internal_4,,
buklheads_2_1,,bulkheads,$component_name_short_buklheads_2_1,22,$technology_name_surv_internal_4_1,$technology_desc_surv_internal_4_1,,
buklheads_2_2,,bulkheads,$component_name_short_buklheads_2_2,25,$technology_name_surv_internal_4_2,$technology_desc_surv_internal_4_2,,
##,,,,,,,,
Anti_Flooding_1,,antiflooding,$component_name_short_Anti_Flooding_1,1,$technology_name_surv_internal_8,$technology_desc_surv_internal_8,,
Anti_Flooding_1_1,,antiflooding,$component_name_short_Anti_Flooding_1_1,1,$technology_name_surv_internal_8_1,$technology_desc_surv_internal_8_1,,
Anti_Flooding_2,,antiflooding,$component_name_short_Anti_Flooding_2,2,$technology_name_surv_internal_9,$technology_desc_surv_internal_9,,
Anti_Flooding_3,,antiflooding,$component_name_short_Anti_Flooding_3,4,$technology_name_surv_internal_10,$technology_desc_surv_internal_10,,
Anti_Flooding_3_1,,antiflooding,$component_name_short_Anti_Flooding_3_1,4,$technology_name_surv_internal_10_1,$technology_desc_surv_internal_10_1,,
##,,,,,,,,
Citadel_0,,citadel,$component_name_short_Citadel_0,1,$technology_name_surv_internal_5,$technology_desc_surv_internal_5,,
Citadel_1,,citadel,$component_name_short_Citadel_1,2,$technology_name_surv_internal_6,$technology_desc_surv_internal_6,,
Citadel_2,,citadel,$component_name_short_Citadel_2,16,$technology_name_surv_internal_7,$technology_desc_surv_internal_7,,
Citadel_3,,citadel,$component_name_short_Citadel_3,32,$technology_name_armor_forging_6,$technology_desc_armor_forging_6,,
Citadel_4,,citadel,$component_name_short_Citadel_4,64,$technology_name_armor_forging_8,$technology_desc_armor_forging_8,,
##,,,,,,,,
turret_traverse_0,,turret_traverse,$component_name_short_steering_gear_1,1,$technology_name_gun_mech_2,$technology_desc_gun_mech_2,,
turret_traverse_1,,turret_traverse,$component_name_short_turret_traverse_1,2,$technology_name_gun_mech_5,$technology_desc_gun_mech_5,,
turret_traverse_1_1,,turret_traverse,$component_name_short_turret_traverse_1_1,2,$technology_name_gun_mech_2_1,$technology_desc_gun_mech_2_1,,
turret_traverse_2,,turret_traverse,$component_name_short_turret_traverse_2,3,$technology_name_gun_mech_6,$technology_desc_gun_mech_6,,
turret_traverse_3,,turret_traverse,$component_name_short_steering_gear_3,5,$technology_name_gun_mech_7,$technology_desc_gun_mech_7,,
turret_traverse_1_2,,turret_traverse,$component_name_short_turret_traverse_1_2,3,$technology_name_gun_mech_2_2,$technology_desc_gun_mech_2_2,,
turret_traverse_4,,turret_traverse,$component_name_short_turret_traverse_4,22,$technology_name_gun_mech_8,$technology_desc_gun_mech_8,,
turret_traverse_1_3,,turret_traverse,$component_name_short_turret_traverse_1_3,5,$technology_name_gun_mech_2_3,$technology_desc_gun_mech_2_3,,
turret_traverse_1_4,,turret_traverse,$component_name_short_turret_traverse_1_4,22,$technology_name_gun_mech_2_4,$technology_desc_gun_mech_2_4,,
turret_traverse_5,,turret_traverse,$component_name_short_turret_traverse_0_1,22,$technology_name_gun_mech_9,$technology_desc_gun_mech_9,,
##,,,,,,,,
gun_reload_0,,gun_reload,$Ui_CrewQuarters_Standard,8,$technology_name_gun_mech_10,$technology_desc_gun_mech_10,,
gun_reload_1,,gun_reload,$component_name_short_gun_reload_1,8,$technology_name_gun_mech_11,$technology_desc_gun_mech_11,,
gun_reload_1_1,,gun_reload,$component_name_short_gun_reload_1_1,1,$technology_name_gun_mech_11_1,$technology_desc_gun_mech_11_1,,
gun_reload_2,,gun_reload,$component_name_short_gun_reload_2,1,$technology_name_gun_mech_14,$technology_desc_gun_mech_14,,
gun_reload_2_1,,gun_reload,$component_name_short_gun_reload_2_1,3,$technology_name_gun_mech_14_1,$technology_desc_gun_mech_14_1,,
gun_reload_3,,gun_reload,$component_name_short_gun_reload_3,3,$technology_name_gun_mech_15,$technology_desc_gun_mech_15,,
gun_reload_3_1,,gun_reload,$component_name_short_gun_reload_3_1,14,$technology_name_gun_mech_15_1,$technology_desc_gun_mech_15_1,,
gun_reload_4,,gun_reload,$component_name_short_gun_reload_4,14,$technology_name_gun_mech_16,$technology_desc_gun_mech_16,,
gun_reload_4_1,,gun_reload,$component_name_short_gun_reload_4_1,41,$technology_name_gun_mech_16_1,$technology_desc_gun_mech_16_1,,
gun_reload_4_2,,gun_reload,$component_name_short_gun_reload_4_2,41,$technology_name_gun_mech_16_2,$technology_desc_gun_mech_16_2,,
gun_reload_4_3,,gun_reload,$component_name_short_gun_reload_4_3,41,$technology_name_gun_mech_16_3,$technology_desc_gun_mech_16_3,,
##,,,,,,,,
shell_ratio_main_4,,shell_ratio_main,$component_name_short_shell_ratio_4,1,$technology_name_projectile_shell_1,$technology_desc_projectile_shell_1,,
shell_ratio_main_3,,shell_ratio_main,$component_name_short_shell_ratio_3,2,$technology_name_projectile_shell_2,$technology_desc_projectile_shell_2,,
shell_ratio_main_0,,shell_ratio_main,$component_name_short_shell_ratio_0,9,$technology_name_projectile_shell_3,$technology_desc_projectile_shell_3,,
shell_ratio_main_1,,shell_ratio_main,$component_name_short_shell_ratio_1,7,$technology_name_projectile_shell_4,$technology_desc_projectile_shell_4,,
shell_ratio_main_2,,shell_ratio_main,$component_name_short_shell_ratio_2,5,$technology_name_projectile_shell_5,$technology_desc_projectile_shell_5,,
##,,,,,,,,
shell_ratio_sec_4,,shell_ratio_sec,$component_name_short_shell_ratio_4,4,$technology_name_projectile_shell_6,$technology_desc_projectile_shell_6,,
shell_ratio_sec_3,,shell_ratio_sec,$component_name_short_shell_ratio_3,7,$technology_name_projectile_shell_7,$technology_desc_projectile_shell_7,,
shell_ratio_sec_0,,shell_ratio_sec,$component_name_short_shell_ratio_0,7,$technology_name_projectile_shell_8,$technology_desc_projectile_shell_8,,
shell_ratio_sec_1,,shell_ratio_sec,$component_name_short_shell_ratio_1,2,$technology_name_projectile_shell_9,$technology_desc_projectile_shell_9,,
shell_ratio_sec_2,,shell_ratio_sec,$component_name_short_shell_ratio_2,1,$technology_name_projectile_shell_10,$technology_desc_projectile_shell_10,,
##,,,,,,,,
shell_S.light,,shell,$component_name_short_shell_S.light,1,$technology_name_projectile_shell_11_1,$technology_desc_projectile_shell_11_1,,
shell_light,,shell,$Ui_World_PopWindows_light,1,$technology_name_projectile_shell_11,$technology_desc_projectile_shell_11,,
shell_normal,,shell,$Ui_CrewQuarters_Standard,3,$technology_name_projectile_shell_12,$technology_desc_projectile_shell_12,,
shell_heavy,,shell,$Ui_World_PopWindows_heavy,2,$technology_name_projectile_shell_13,$technology_desc_projectile_shell_13,,
shell_S.heavy,,shell,$component_name_short_shell_S.heavy,2,$technology_name_projectile_shell_14,$technology_desc_projectile_shell_14,,
##,,,,,,,,
ammo_shell_less_safe,,ammo_shell,$component_name_short_ammo_shell_less_safe,3,$technology_name_projectile_explosive_49,$technology_desc_projectile_explosive_49,,
ammo_shell_less,,ammo_shell,$component_name_short_ammo_shell_less,1,$technology_name_projectile_explosive_1,$technology_desc_projectile_explosive_1,,
ammo_shell_wetstorage,,ammo_shell,$component_name_short_ammo_shell_wetstorage,4,$technology_name_projectile_explosive_51,$technology_desc_projectile_explosive_51,,
ammo_shell_normal_safe,,ammo_shell,$component_name_short_ammo_shell_normal_safe,3,$technology_name_projectile_explosive_50,$technology_desc_projectile_explosive_50,,
ammo_shell_normal,,ammo_shell,$Ui_CrewQuarters_Standard,2,$technology_name_projectile_explosive_2,$technology_desc_projectile_explosive_2,,
ammo_shell_more_safe,,ammo_shell,$component_name_short_ammo_shell_more_safe,4,$technology_name_projectile_explosive_52,$technology_desc_projectile_explosive_52,,
ammo_shell_more,,ammo_shell,$component_name_short_ammo_shell_more,1,$technology_name_projectile_explosive_3,$technology_desc_projectile_explosive_3,,
##,,,,,,,,
he_5,,shell_he,$component_name_short_he_5,20,$technology_name_projectile_shell_20,$technology_desc_projectile_shell_20,,
he_1_1,,shell_he,$component_name_short_he_1_1,30,$technology_name_projectile_shell_22_1,$technology_desc_projectile_shell_22_1,,
he_4,,shell_he,$component_name_short_he_4,40,$technology_name_projectile_shell_21,$technology_desc_projectile_shell_21,,
he_1,,shell_he,$component_name_short_he_1,30,$technology_name_projectile_shell_22,$technology_desc_projectile_shell_22,,
he_0,,shell_he,$component_name_short_he_0,70,$technology_name_projectile_shell_23,$technology_desc_projectile_shell_23,,
he_2,,shell_he,$component_name_short_he_2,60,$technology_name_projectile_shell_24,$technology_desc_projectile_shell_24,,
he_3_1,,shell_he,$component_name_short_he_0_1,70,$technology_name_projectile_shell_23_1,$technology_desc_projectile_shell_23_1,,
he_3,,shell_he,$component_name_short_he_3,50,$technology_name_projectile_shell_25,$technology_desc_projectile_shell_25,,
##,,,,,,,,
ap_3,,shell_ap,$component_name_short_ap_3,30,$technology_name_projectile_shell_26,$technology_desc_projectile_shell_26,,
ap_3_1,,shell_ap,$component_name_short_ap_3_1,30,$technology_name_projectile_shell_26_1,$technology_desc_projectile_shell_26_1,,
ap_4,,shell_ap,$component_name_short_ap_4,40,$technology_name_projectile_shell_27,$technology_desc_projectile_shell_27,,
ap_0,,shell_ap,$Ui_CrewQuarters_Standard,50,$technology_name_projectile_shell_28,$technology_desc_projectile_shell_28,,
ap_0_1,,shell_ap,$component_name_short_ap_0_1,50,$technology_name_projectile_shell_28_1,$technology_desc_projectile_shell_28_1,,
ap_1,,shell_ap,$component_name_short_ap_1,60,$technology_name_projectile_shell_29,$technology_desc_projectile_shell_29,,
ap_2,,shell_ap,$component_name_short_ap_2,80,$technology_name_projectile_shell_30,$technology_desc_projectile_shell_30,,
ap_5,,shell_ap,$component_name_short_ap_5,100,$technology_name_projectile_shell_31,$technology_desc_projectile_shell_31,,
##,,,,,,,,
ammo_torp_less,,ammo_torp,$component_name_short_ammo_shell_less,1,$technology_name_projectile_explosive_4,$technology_desc_projectile_explosive_4,,
ammo_torp_normal_safe,,ammo_torp,$component_name_short_torp_shell_normal_safe,4,$technology_name_projectile_explosive_53,$technology_desc_projectile_explosive_53,,
ammo_torp_normal,,ammo_torp,$Ui_CrewQuarters_Standard,2,$technology_name_projectile_explosive_5,$technology_desc_projectile_explosive_5,,
ammo_torp_more,,ammo_torp,$component_name_short_ammo_shell_more,1,$technology_name_projectile_explosive_6,$technology_desc_projectile_explosive_6,,
ammo_torp_more_safe,,ammo_torp,$component_name_short_torp_shell_more_safe,4,$technology_name_projectile_explosive_55,$technology_desc_projectile_explosive_55,,
ammo_torp_more_super,,ammo_torp,$component_name_short_torp_shell_more_super,4,$technology_name_projectile_explosive_54,$technology_desc_projectile_explosive_54,,
##,,,,,,,,
explosive_0,,explosives,$component_name_short_explosive_0,1,$component_name_short_explosive_0,$technology_desc_projectile_explosive_7,,
explosive_0_1,,explosives,$component_name_short_explosive_0_1,1,$technology_name_projectile_explosive_7_1,$technology_desc_projectile_explosive_7_1,,
explosive_1,,explosives,$component_name_short_explosive_1,2,$component_name_short_explosive_1,$technology_desc_projectile_explosive_8,,
explosive_2,,explosives,$component_name_short_explosive_2,2,$component_name_short_explosive_2,$technology_desc_projectile_explosive_9,,
explosive_3,,explosives,$component_name_short_explosive_3,11,$technology_name_projectile_explosive_10,$technology_desc_projectile_explosive_10,,
explosive_4,,explosives,$component_name_short_explosive_4,15,$component_name_short_explosive_4,$technology_desc_projectile_explosive_11,,
explosive_5,,explosives,$component_name_short_explosive_5,22,$component_name_short_explosive_5,$technology_desc_projectile_explosive_12,,
explosive_6,,explosives,$component_name_short_explosive_6,120,$technology_name_projectile_explosive_13,$technology_desc_projectile_explosive_13,,
explosive_7,,explosives,$component_name_short_explosive_7,160,$component_name_short_explosive_7,$technology_desc_projectile_explosive_14,,
explosive_8,,explosives,$component_name_short_explosive_8,180,$technology_name_projectile_explosive_15,$technology_desc_projectile_explosive_15,,
explosive_9,,explosives,$component_name_short_explosive_9,240,$technology_name_projectile_explosive_16,$technology_desc_projectile_explosive_16,,
explosive_9_1,,explosives,$component_name_short_explosive_9_1,1300,$technology_name_projectile_explosive_16_1,$technology_desc_projectile_explosive_16_1,,
##,,,,,,,,
propellant_0,,propellant,$component_name_short_propellant_0,1,$component_name_short_propellant_0,$technology_desc_projectile_explosive_17,,
propellant_0_1,,propellant,$component_name_short_propellant_0_1,1,$technology_name_projectile_explosive_17_1,$technology_desc_projectile_explosive_17_1,,
propellant_1,,propellant,$component_name_short_propellant_1,2,$component_name_short_propellant_1,$technology_desc_projectile_explosive_18,,
propellant_2,,propellant,$component_name_short_propellant_2,2,$component_name_short_propellant_2,$technology_desc_projectile_explosive_19,,
propellant_3,,propellant,$component_name_short_propellant_3,4,$technology_name_projectile_explosive_20,$technology_desc_projectile_explosive_20,,
propellant_5,,propellant,$component_name_short_propellant_5,5,$technology_name_projectile_explosive_22,$technology_desc_projectile_explosive_22,,
propellant_4,,propellant,$component_name_short_propellant_4,11,$technology_name_projectile_explosive_21,$technology_desc_projectile_explosive_21,,
propellant_7,,propellant,$component_name_short_propellant_7,60,$technology_name_projectile_explosive_24,$technology_desc_projectile_explosive_24,,
propellant_6,,propellant,$component_name_short_propellant_6,22,$technology_name_projectile_explosive_23,$technology_desc_projectile_explosive_23,,
propellant_6_1,,propellant,$component_name_short_propellant_6_1,45,$technology_name_projectile_explosive_23_1,$technology_desc_projectile_explosive_23_1,,
