#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
#,,"formula for hit chance info:
* K - chance to hit at max range, very important, set values like from 0.005 to 0.03
* x - range ratio, 0 is point blank, 1 is max firing distance
* new formula: chance = K^(x^b)*C
* from: http://navweaps.com/index_inro/INRO_Hood_p4.htm
* old formula: chance = K + (1-K) * ( 1 - x^a )
* a=0.3, b=1 - affecting constant
* K=0.005 - very poor, K=0.05 - very good
* C=1 - constant multiplier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,685.125,719.145,755.055,792.855,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,650,690,715,730,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,640,680,705,720,
#,,graph:,,https://www.desmos.com/calculator/effnz2qzri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.85,15.75,16.65,17.55,12.15,13.365,14.175,14.985,15.795,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,12.15,13.05,13.95,14.85,10.125,10.935,11.745,12.555,13.365,,,
#,,accuracy calculation (percent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.06,8.69,9.32,9.95,6.12,7.254,7.821,8.388,8.955,,,
#,,0,,5,10,15,20,25,30,35,40,45,50,55,60,65,,70,75,,80,85,90,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,4.41,5.04,5.67,6.3,3.402,3.969,4.536,5.103,5.67,,,
#,1,140,,22.45,11.29,6.73,4.38,3.01,2.15,1.58,1.19,0.91,0.71,0.56,0.44,0.36,,0.29,0.24,,0.19,0.16,0.13,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.15,3.78,4.41,5.04,3.08,3.465,4.158,4.851,5.544,,,
#,2,133.75,,20.94,10.43,6.18,4,2.74,1.95,1.42,1.07,0.81,0.63,0.5,0.39,0.32,,0.26,0.21,,0.17,0.14,0.12,0.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.15,3.78,4.41,5.04,3.08,3.465,4.158,4.851,5.544,,,
#,3,128.75,,19.67,9.72,5.72,3.68,2.5,1.77,1.29,0.96,0.73,0.57,0.44,0.35,0.28,,0.23,0.18,,0.15,0.12,0.1,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.52,2.835,3.15,3.465,2.64,2.772,3.1185,3.465,3.8115,,,
#,4,121.25,,18.09,8.85,5.17,3.31,2.24,1.58,1.15,0.85,0.65,0.5,0.39,0.31,0.24,,0.2,0.16,,0.13,0.11,0.09,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,2.079,2.457,2.709,2.961,2.0585,2.39085,2.82555,3.11535,3.40515,,,
#,5,113.75,,16.57,8.03,4.66,2.97,2,1.4,1.01,0.75,0.57,0.43,0.34,0.27,0.21,,0.17,0.14,,0.11,0.09,0.07,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.89,2.205,2.52,2.772,1.84,2.1735,2.53575,2.898,3.1878,,,
#,6,108.75,,15.46,7.43,4.28,2.71,1.82,1.27,0.91,0.67,0.51,0.39,0.3,0.23,0.19,,0.15,0.12,,0.1,0.08,0.06,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275,1.485,1.845,2.07,2.295,1.46625,1.70775,2.12175,2.3805,2.63925,,,
#,7,102.5,,15.08,7.21,4.13,2.59,1.72,1.19,0.85,0.63,0.47,0.35,0.27,0.21,0.17,,0.13,0.1,,0.08,0.07,0.05,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063125,1.4175,1.771875,1.935,2.025,1.22259375,1.630125,2.03765625,2.22525,2.32875,,,
#,8,100,,14.37,6.81,3.87,2.42,1.6,1.1,0.79,0.57,0.43,0.32,0.25,0.19,0.15,,0.12,0.09,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83916,1.251,1.53,1.71,1.89,0.965034,1.43865,1.7595,1.9665,2.1735,,,
#,9,97.5,,14.42,6.8,3.84,2.38,1.56,1.07,0.76,0.55,0.4,0.3,0.23,0.18,0.14,,0.11,0.08,,0.07,0.05,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693,0.9702,1.2474,1.44,1.62,0.79695,1.11573,1.43451,1.656,1.863,,,
#,10,98.962,,13.46,6.31,3.56,2.21,1.46,1,0.71,0.52,0.39,0.29,0.22,0.17,0.13,,0.11,0.08,,0.07,0.05,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61803,0.89271,1.16739,1.35,1.53,0.7107345,1.0266165,1.3424985,1.5525,1.7595,,,
#,11,100.446,,12.55,5.85,3.31,2.06,1.36,0.94,0.67,0.49,0.37,0.28,0.21,0.17,0.13,,0.1,0.08,,0.07,0.05,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598752,0.857304,1.08864,1.26,1.4175,0.6885648,0.9858996,1.251936,1.449,1.630125,,,
#,12,101.953,,11.69,5.43,3.07,1.92,1.28,0.89,0.64,0.47,0.35,0.27,0.21,0.16,0.13,,0.1,0.08,,0.07,0.05,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571536,0.843696,0.95256,1.08,1.27575,0.6572664,0.9702504,1.095444,1.242,1.4671125,,,
#,13,103.482,,10.91,5.05,2.87,1.8,1.2,0.84,0.6,0.45,0.34,0.26,0.2,0.16,0.13,,0.1,0.08,,0.07,0.05,0.04,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54432,0.81648,0.88452,0.99,1.134,0.625968,0.938952,1.017198,1.1385,1.3041,,,
#,14,105.035,,10.17,4.71,2.68,1.69,1.13,0.79,0.58,0.43,0.33,0.25,0.2,0.16,0.12,,0.1,0.08,,0.07,0.05,0.04,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.530712,0.789264,0.843696,0.9,0.99225,0.6103188,0.9076536,0.9702504,1.035,1.1410875,,,
#,15,106.61,,9.48,4.39,2.5,1.58,1.07,0.75,0.55,0.41,0.31,0.24,0.19,0.15,0.12,,0.1,0.08,,0.07,0.05,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,16,108.209,,8.84,4.09,2.34,1.49,1.01,0.72,0.53,0.4,0.3,0.24,0.19,0.15,0.12,,0.1,0.08,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,17,109.833,,8.22,3.8,2.18,1.4,0.95,0.68,0.5,0.38,0.29,0.23,0.18,0.15,0.12,,0.1,0.08,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,18,111.48,,7.64,3.54,2.04,1.31,0.9,0.64,0.48,0.36,0.28,0.22,0.18,0.14,0.12,,0.1,0.08,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,19,113.152,,7.1,3.29,1.91,1.23,0.85,0.61,0.46,0.35,0.27,0.21,0.17,0.14,0.11,,0.09,0.08,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20,114.85,,6.59,3.06,1.78,1.16,0.8,0.58,0.44,0.33,0.26,0.21,0.17,0.14,0.11,,0.09,0.08,,0.07,0.06,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,21,116.572,,6.13,2.85,1.67,1.09,0.76,0.55,0.42,0.32,0.25,0.2,0.16,0.13,0.11,,0.09,0.08,,0.07,0.06,0.05,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,28.1995,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,0,,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,6000,7000,8000,,9000,10000,,11000,12000,13000,14000,15000,17000,20000,23000,26000,29000,32000,35000,38000,41000,44000,47000,50000,53000,,,,,,,,,,,,,,,,,,,,,,22.5,25.8975,,,
#,1,100,,7.418,2.461,1.074,0.539,0.295,0.172,0.105,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20,23.02,,,
#,2,100,,8.242,2.894,1.319,0.686,0.388,0.232,0.145,0.094,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20,23.02,,,
#,3,100,,9.604,3.623,1.742,0.948,0.557,0.346,0.224,0.149,0.102,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,17.5,20.1425,,,
#,4,100,,10.474,4.175,2.093,1.178,0.714,0.455,0.302,0.206,0.145,0.103,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,16,18.416,,,
#,5,100,,11.044,4.6,2.383,1.379,0.855,0.558,0.377,0.262,0.187,0.136,0.075,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,14,16.114,,,
#,6,100,,11.616,5.015,2.668,1.579,0.999,0.663,0.455,0.322,0.233,0.171,0.097,0.058,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,13,14.963,,,
#,7,100,,12.583,5.61,3.048,1.832,1.174,0.787,0.546,0.389,0.283,0.21,0.12,0.072,0.045,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.85,4.43135,,,
#,8,100,,13.133,6.01,3.33,2.035,1.323,0.898,0.63,0.454,0.334,0.25,0.146,0.089,0.056,,0.037,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.6,4.1436,,,
