#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
gun_5_x1,,127,gun_5_x1,,,brandenburg_gun_76_x1,0.998,1.08,0.85,45,jap_tb_gun_76_x1,1.835,2.02,0.85,50,dd_s_gun_d_102_x1,1.1995,1.335,0.85,55,dd_s_gun_d_102_x1,1.1995,1.335,0.85,55,dd_s_gun_b_102_x1,1.1995,1.335,0.85,55,,,,,,,,,,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,maine_gun_152_x2,1.146,1.34,0.95,45,maine_gun_230_x2,0.868,0.994,0.95,50,spee_gun_150_x2,1.004,1.13,0.95,55,pola_gun_100_x2,1.004,1.13,0.95,55,atl_gun_125_x2,1.004,1.13,0.95,55,,,,,,,,,,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,maine_gun_152_x3,1.146,1.34,0.75,45,maine_gun_230_x3,0.868,0.994,0.75,50,spee_gun_150_x3,1.004,1.13,0.75,55,pola_gun_100_x3,1.004,1.13,0.75,55,atl_gun_125_x3,1.004,1.13,0.75,55,,,,,,,,,,,,,,,,,,,
gun_5_x4,,127,gun_5_x4,,,pola_gun_100_x4,1.004,1.13,0.68,45,pola_gun_100_x4,1.004,1.13,0.68,50,pola_gun_100_x4,1.004,1.13,0.68,55,pola_gun_100_x4,1.004,1.13,0.68,55,atl_gun_125_x4,1.004,1.13,0.68,55,,,,,,,,,,,,,,,,,,,
gun_6_x1,,152,gun_6_x1,,,dd_s_gun_d_102_x1,1.345,1.4805,0.75,45,dd_s_gun_c_102_x1,1.345,1.4805,0.75,45,dd_s_gun_c_102_x1,1.345,1.4805,0.75,50,dd_s_gun_b_102_x1,1.345,1.4805,0.75,50,dd_s_gun_b_102_x1,1.345,1.4805,0.75,50,,,,,,,,,,,,,,,,,,,
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,0.955,1.0895,0.86,45,agamemnon_gun_b_228_x2,1.14,1.266,0.86,45,dreadnought_gun_178_x2,1.14,1.266,0.86,50,dido_gun_cal133_x2,1.14,1.266,0.86,50,yamato_gun_155_x2,0.7772,0.8808,0.9,50,,,,,,,,,,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,0.955,1.0895,0.66,45,agamemnon_gun_b_228_x3,1.14,1.266,0.66,45,dreadnought_gun_178_x3,1.14,1.266,0.66,50,dido_gun_cal133_x3,1.14,1.266,0.66,50,yamato_gun_155_x3,0.7772,0.8808,0.705,50,,,,,,,,,,,,,,,,,,,
gun_6_x4,,152,gun_6_x4,,,agamemnon_gun_b_228_x4,1.14,1.266,0.6,45,agamemnon_gun_b_228_x4,1.14,1.266,0.6,45,dreadnought_gun_178_x4,1.14,1.266,0.6,50,dido_gun_cal133_x4,1.14,1.266,0.6,50,yamato_gun_155_x4,0.7772,0.8808,0.64,50,,,,,,,,,,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,dd_s_gun_d_102_x1,1.4905,1.626,0.8,45,dd_s_gun_c_102_x1,1.4905,1.626,0.8,45,dd_s_gun_c_102_x1,1.4905,1.626,0.8,50,dd_s_gun_b_102_x1,1.4905,1.626,0.8,50,dd_s_gun_b_102_x1,1.4905,1.626,0.8,50,,,,,,,,,,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.1095,1.244,0.9,45,agamemnon_gun_b_228_x2,1.276,1.402,0.9,45,dreadnought_gun_178_x2,1.276,1.402,0.9,50,mont_gun_152_x2,1.057,1.167,0.9,50,british_adv_cruiser_152_gun_x2,0.819,0.918,0.9,50,,,,,,,,,,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.1095,1.244,0.705,45,agamemnon_gun_b_228_x3,1.276,1.402,0.705,45,dreadnought_gun_178_x3,1.276,1.402,0.705,50,mont_gun_152_x3,1.057,1.167,0.705,50,british_adv_cruiser_152_gun_x3,0.819,0.918,0.705,50,,,,,,,,,,,,,,,,,,,
gun_7_x4,,178,gun_7_x4,,,agamemnon_gun_b_228_x4,1.276,1.402,0.64,45,agamemnon_gun_b_228_x4,1.276,1.402,0.64,45,dreadnought_gun_178_x4,1.276,1.402,0.64,50,mont_gun_152_x4,1.057,1.167,0.64,50,british_adv_cruiser_152_gun_x4,0.819,0.918,0.64,50,,,,,,,,,,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,friedrich_gun_228_x1,0.8194,0.8976,1.17,45,agamemnon_gun_228_x1,1.0184,1.1311,1.17,45,nelson_gun_152_x1,1.1544,1.2626,1.17,50,mont_gun_152_x1,1.184,1.294,1.17,50,british_adv_cruiser_152_gun_x1,0.928,1.027,1.17,50,,,,,,,,,,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,friedrich_gun_228_x2,0.8194,0.8976,0.88,45,agamemnon_gun_228_x2,1.0184,1.1311,0.88,45,nelson_gun_152_x2,1.1544,1.2626,0.88,50,mont_gun_152_x2,1.184,1.294,0.88,50,british_adv_cruiser_152_gun_x2,0.928,1.027,0.88,50,,,,,,,,,,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,friedrich_gun_228_x3,0.8194,0.8976,0.69,45,agamemnon_gun_228_x3,1.0184,1.1311,0.69,45,nelson_gun_152_x3,1.1544,1.2626,0.69,50,mont_gun_152_x3,1.184,1.294,0.69,50,british_adv_cruiser_152_gun_x3,0.928,1.027,0.69,50,,,,,,,,,,,,,,,,,,,
gun_8_x4,,203,gun_8_x4,,,agamemnon_gun_228_x4,1.0184,1.1311,0.63,45,agamemnon_gun_228_x4,1.0184,1.1311,0.63,45,nelson_gun_152_x4,1.1544,1.2626,0.63,50,mont_gun_152_x4,1.184,1.294,0.63,50,british_adv_cruiser_152_gun_x4,0.928,1.027,0.63,50,,,,,,,,,,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,friedrich_gun_228_x1,0.9076,0.9858,1.1,40,agamemnon_gun_228_x1,1.1411,1.2538,1.1,45,nelson_gun_152_x1,1.2726,1.3808,1.1,45,mont_gun_152_x1,1.311,1.421,1.1,50,british_adv_cruiser_152_gun_x1,1.037,1.136,1.1,50,,,,,,,,,,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,friedrich_gun_228_x2,0.9076,0.9858,0.82,40,agamemnon_gun_228_x2,1.1411,1.2538,0.82,45,nelson_gun_152_x2,1.2726,1.3808,0.82,45,mont_gun_152_x2,1.311,1.421,0.82,50,british_adv_cruiser_152_gun_x2,1.037,1.136,0.82,50,,,,,,,,,,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,friedrich_gun_228_x3,0.9076,0.9858,0.64,40,agamemnon_gun_228_x3,1.1411,1.2538,0.64,45,nelson_gun_152_x3,1.2726,1.3808,0.64,45,mont_gun_152_x3,1.311,1.421,0.64,50,british_adv_cruiser_152_gun_x3,1.037,1.136,0.64,50,,,,,,,,,,,,,,,,,,,
gun_9_x4,,229,gun_9_x4,,,agamemnon_gun_228_x4,1.1411,1.2538,0.58,40,agamemnon_gun_228_x4,1.1411,1.2538,0.58,45,nelson_gun_152_x4,1.2726,1.3808,0.58,45,mont_gun_152_x4,1.311,1.421,0.58,50,british_adv_cruiser_152_gun_x4,1.037,1.136,0.58,50,,,,,,,,,,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.979,1.06,1.2,40,dreadnought_gun_b_305_x1,0.954,1.035,1.2,45,nelson_gun_406_x1,0.6908,0.754,1.2,45,kgeorge_gun_380_x1,0.675,0.7275,1.2,50,richelieu_gun_380_x1,0.675,0.7275,1.2,50,,,,,,,,,,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.979,1.06,0.9,40,dreadnought_gun_b_305_x2,0.954,1.035,0.9,45,nelson_gun_406_x2,0.6908,0.754,0.9,45,kgeorge_gun_380_x2,0.675,0.7275,0.9,50,richelieu_gun_380_x2,0.675,0.7275,0.9,50,,,,,,,,,,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.979,1.06,0.68,40,dreadnought_gun_b_305_x3,0.954,1.035,0.68,45,nelson_gun_406_x3,0.6908,0.754,0.68,45,kgeorge_gun_380_x3,0.675,0.7275,0.68,50,richelieu_gun_380_x3,0.675,0.7275,0.68,50,,,,,,,,,,,,,,,,,,,
gun_10_x4,,254,gun_10_x4,,,dreadnought_gun_b_305_x4,0.954,1.035,0.63,40,dreadnought_gun_b_305_x4,0.954,1.035,0.63,45,nelson_gun_406_x4,0.6908,0.754,0.63,45,kgeorge_gun_380_x4,0.675,0.7275,0.63,50,richelieu_gun_380_x4,0.675,0.7275,0.63,50,,,,,,,,,,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,1.07,1.151,1.07,40,dreadnought_gun_b_305_x1,1.045,1.126,1.07,45,nelson_gun_406_x1,0.759,0.8222,1.07,45,kgeorge_gun_380_x1,0.7375,0.79,1.07,50,richelieu_gun_380_x1,0.7375,0.79,1.07,50,,,,,,,,,,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,1.07,1.151,0.82,40,dreadnought_gun_b_305_x2,1.045,1.126,0.82,45,nelson_gun_406_x2,0.759,0.8222,0.82,45,kgeorge_gun_380_x2,0.7375,0.79,0.82,50,richelieu_gun_380_x2,0.7375,0.79,0.82,50,,,,,,,,,,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,1.07,1.151,0.66,40,dreadnought_gun_b_305_x3,1.045,1.126,0.66,45,nelson_gun_406_x3,0.759,0.8222,0.66,45,kgeorge_gun_380_x3,0.7375,0.79,0.66,50,richelieu_gun_380_x3,0.7375,0.79,0.66,50,,,,,,,,,,,,,,,,,,,
gun_11_x4,,279,gun_11_x4,,,dreadnought_gun_b_305_x4,1.045,1.126,0.61,40,dreadnought_gun_b_305_x4,1.045,1.126,0.61,45,nelson_gun_406_x4,0.759,0.8222,0.61,45,kgeorge_gun_380_x4,0.7375,0.79,0.61,50,richelieu_gun_380_x4,0.7375,0.79,0.61,50,,,,,,,,,,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,friedrich_gun_305_x1,1.1298,1.2061,1.07,40,dreadnought_gun_b_305_x1,1.136,1.217,1.07,45,nelson_gun_406_x1,0.8272,0.8904,1.07,45,kgeorge_gun_380_x1,0.8,0.8525,1.07,45,richelieu_gun_380_x1,0.8,0.8525,1.07,50,,,,,,,,,,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,friedrich_gun_305_x2,1.1298,1.2061,0.82,40,dreadnought_gun_b_305_x2,1.136,1.217,0.82,45,nelson_gun_406_x2,0.8272,0.8904,0.82,45,kgeorge_gun_380_x2,0.8,0.8525,0.82,45,richelieu_gun_380_x2,0.8,0.8525,0.82,50,,,,,,,,,,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,friedrich_gun_305_x3,1.1298,1.2061,0.66,40,dreadnought_gun_b_305_x3,1.136,1.217,0.66,45,nelson_gun_406_x3,0.8272,0.8904,0.66,45,kgeorge_gun_380_x3,0.8,0.8525,0.66,45,richelieu_gun_380_x3,0.8,0.8525,0.66,50,,,,,,,,,,,,,,,,,,,
gun_12_x4,,305,gun_12_x4,,,dreadnought_gun_b_305_x4,1.136,1.217,0.61,40,dreadnought_gun_b_305_x4,1.136,1.217,0.61,45,nelson_gun_406_x4,0.8272,0.8904,0.61,45,kgeorge_gun_380_x4,0.8,0.8525,0.61,45,richelieu_gun_380_x4,0.8,0.8525,0.61,50,,,,,,,,,,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,friedrich_gun_305_x1,1.2161,1.2924,1.13,40,dreadnought_gun_b_305_x1,1.227,1.308,1.13,45,nelson_gun_406_x1,0.8954,0.9586,1.13,45,kgeorge_gun_380_x1,0.8625,0.915,1.13,45,richelieu_gun_380_x1,0.8625,0.915,1.13,50,,,,,,,,,,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,friedrich_gun_305_x2,1.2161,1.2924,0.88,40,dreadnought_gun_b_305_x2,1.227,1.308,0.88,45,nelson_gun_406_x2,0.8954,0.9586,0.88,45,kgeorge_gun_380_x2,0.8625,0.915,0.88,45,richelieu_gun_380_x2,0.8625,0.915,0.88,50,,,,,,,,,,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,friedrich_gun_305_x3,1.2161,1.2924,0.705,40,dreadnought_gun_b_305_x3,1.227,1.308,0.705,45,nelson_gun_406_x3,0.8954,0.9586,0.705,45,kgeorge_gun_380_x3,0.8625,0.915,0.705,45,richelieu_gun_380_x3,0.8625,0.915,0.705,50,,,,,,,,,,,,,,,,,,,
gun_13_x4,,330,gun_13_x4,,,dreadnought_gun_b_305_x4,1.227,1.308,0.65,40,dreadnought_gun_b_305_x4,1.227,1.308,0.65,45,nelson_gun_406_x4,0.8954,0.9586,0.65,45,kgeorge_gun_380_x4,0.8625,0.915,0.65,45,richelieu_gun_380_x4,0.8625,0.915,0.65,50,,,,,,,,,,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,friedrich_gun_305_x1,1.3024,1.3787,1.13,40,dreadnought_gun_b_305_x1,1.318,1.399,1.13,45,nelson_gun_406_x1,0.9636,1.0268,1.13,45,kgeorge_gun_380_x1,0.925,0.9775,1.13,45,richelieu_gun_380_x1,0.925,0.9775,1.13,50,,,,,,,,,,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,friedrich_gun_305_x2,1.3024,1.3787,0.88,40,dreadnought_gun_b_305_x2,1.318,1.399,0.88,45,nelson_gun_406_x2,0.9636,1.0268,0.88,45,kgeorge_gun_380_x2,0.925,0.9775,0.88,45,richelieu_gun_380_x2,0.925,0.9775,0.88,50,,,,,,,,,,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,friedrich_gun_305_x3,1.3024,1.3787,0.705,40,dreadnought_gun_b_305_x3,1.318,1.399,0.705,45,nelson_gun_406_x3,0.9636,1.0268,0.705,45,kgeorge_gun_380_x3,0.925,0.9775,0.705,45,richelieu_gun_380_x3,0.925,0.9775,0.705,50,,,,,,,,,,,,,,,,,,,
gun_14_x4,,356,gun_14_x4,,,dreadnought_gun_b_305_x4,1.318,1.399,0.66,40,dreadnought_gun_b_305_x4,1.318,1.399,0.66,45,nelson_gun_406_x4,0.9636,1.0268,0.66,45,kgeorge_gun_380_x4,0.925,0.9775,0.66,45,richelieu_gun_380_x4,0.925,0.9775,0.66,50,,,,,,,,,,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,friedrich_gun_305_x1,1.3887,1.465,1.14,40,dreadnought_gun_b_305_x1,1.409,1.49,1.14,45,nelson_gun_406_x1,1.0318,1.095,1.14,45,richelieu_gun_380_x1,0.9875,1.04,1.14,45,richelieu_gun_380_x1,0.9875,1.04,1.14,50,,,,,,,,,,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,friedrich_gun_305_x2,1.3887,1.465,0.9,40,dreadnought_gun_b_305_x2,1.409,1.49,0.9,45,nelson_gun_406_x2,1.0318,1.095,0.9,45,richelieu_gun_380_x2,0.9875,1.04,0.9,45,richelieu_gun_380_x2,0.9875,1.04,0.9,50,,,,,,,,,,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,friedrich_gun_305_x3,1.3887,1.465,0.72,40,dreadnought_gun_b_305_x3,1.409,1.49,0.72,45,nelson_gun_406_x3,1.0318,1.095,0.72,45,richelieu_gun_380_x3,0.9875,1.04,0.72,45,richelieu_gun_380_x3,0.9875,1.04,0.72,50,,,,,,,,,,,,,,,,,,,
gun_15_x4,,381,gun_15_x4,,,dreadnought_gun_b_305_x4,1.409,1.49,0.675,40,dreadnought_gun_b_305_x4,1.409,1.49,0.675,45,nelson_gun_406_x4,1.0318,1.095,0.675,45,richelieu_gun_380_x4,0.9875,1.04,0.675,45,richelieu_gun_380_x4,0.9875,1.04,0.675,50,,,,,,,,,,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,friedrich_gun_305_x1,1.475,1.5513,1.15,40,dreadnought_gun_b_305_x1,1.5,1.581,1.15,45,nelson_gun_406_x1,1.1,1.1632,1.15,45,richelieu_gun_380_x1,1.05,1.1025,1.15,45,richelieu_gun_380_x1,1.05,1.1025,1.15,50,,,,,,,,,,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,friedrich_gun_305_x2,1.475,1.5513,0.93,40,dreadnought_gun_b_305_x2,1.5,1.581,0.93,45,nelson_gun_406_x2,1.1,1.1632,0.93,45,richelieu_gun_380_x2,1.05,1.1025,0.93,45,richelieu_gun_380_x2,1.05,1.1025,0.93,50,,,,,,,,,,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,friedrich_gun_305_x3,1.475,1.5513,0.75,40,dreadnought_gun_b_305_x3,1.5,1.581,0.75,45,nelson_gun_406_x3,1.1,1.1632,0.75,45,richelieu_gun_380_x3,1.05,1.1025,0.75,45,richelieu_gun_380_x3,1.05,1.1025,0.75,50,,,,,,,,,,,,,,,,,,,
gun_16_x4,,406,gun_16_x4,,,dreadnought_gun_b_305_x4,1.5,1.581,0.68,40,dreadnought_gun_b_305_x4,1.5,1.581,0.68,45,nelson_gun_406_x4,1.1,1.1632,0.68,45,richelieu_gun_380_x4,1.05,1.1025,0.68,45,richelieu_gun_380_x4,1.05,1.1025,0.68,50,,,,,,,,,,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,nelson_gun_406_x1,1.1682,1.2314,1.2,40,kgeorge_gun_380_x1,1.1125,1.165,1.2,45,richelieu_gun_380_x1,1.1125,1.165,1.2,45,richelieu_gun_380_x1,1.1125,1.165,1.2,45,richelieu_gun_380_x1,1.1125,1.165,1.2,50,,,,,,,,,,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,nelson_gun_406_x2,1.1682,1.2314,0.95,40,kgeorge_gun_380_x2,1.1125,1.165,0.95,45,richelieu_gun_380_x2,1.1125,1.165,0.95,45,richelieu_gun_380_x2,1.1125,1.165,0.95,45,richelieu_gun_380_x2,1.1125,1.165,0.95,50,,,,,,,,,,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,nelson_gun_406_x3,1.1682,1.2314,0.775,40,kgeorge_gun_380_x3,1.1125,1.165,0.775,45,richelieu_gun_380_x3,1.1125,1.165,0.775,45,richelieu_gun_380_x3,1.1125,1.165,0.775,45,richelieu_gun_380_x3,1.1125,1.165,0.775,50,,,,,,,,,,,,,,,,,,,
gun_17_x4,,432,gun_17_x4,,,nelson_gun_406_x4,1.1682,1.2314,0.71,40,kgeorge_gun_380_x4,1.1125,1.165,0.71,45,richelieu_gun_380_x4,1.1125,1.165,0.71,45,richelieu_gun_380_x4,1.1125,1.165,0.71,45,richelieu_gun_380_x4,1.1125,1.165,0.71,50,,,,,,,,,,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,nelson_gun_406_x1,1.2364,1.2996,1.23,40,kgeorge_gun_380_x1,1.175,1.2275,1.23,45,richelieu_gun_380_x1,1.175,1.2275,1.23,45,richelieu_gun_380_x1,1.175,1.2275,1.23,45,richelieu_gun_380_x1,1.175,1.2275,1.23,50,,,,,,,,,,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,nelson_gun_406_x2,1.2364,1.2996,0.985,40,kgeorge_gun_380_x2,1.175,1.2275,0.985,45,richelieu_gun_380_x2,1.175,1.2275,0.985,45,richelieu_gun_380_x2,1.175,1.2275,0.985,45,richelieu_gun_380_x2,1.175,1.2275,0.985,50,,,,,,,,,,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,nelson_gun_406_x3,1.2364,1.2996,0.81,40,kgeorge_gun_380_x3,1.175,1.2275,0.81,45,richelieu_gun_380_x3,1.175,1.2275,0.81,45,richelieu_gun_380_x3,1.175,1.2275,0.81,45,richelieu_gun_380_x3,1.175,1.2275,0.81,50,,,,,,,,,,,,,,,,,,,
gun_18_x4,,457,gun_18_x4,,,nelson_gun_406_x4,1.2364,1.2996,0.735,40,kgeorge_gun_380_x4,1.175,1.2275,0.735,45,richelieu_gun_380_x4,1.175,1.2275,0.735,45,richelieu_gun_380_x4,1.175,1.2275,0.735,45,richelieu_gun_380_x4,1.175,1.2275,0.735,50,,,,,,,,,,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,nelson_gun_406_x1,1.3046,1.3678,1.16,40,kgeorge_gun_380_x1,1.2375,1.29,1.16,45,richelieu_gun_380_x1,1.2375,1.29,1.16,45,richelieu_gun_380_x1,1.2375,1.29,1.16,45,richelieu_gun_380_x1,1.2375,1.29,1.16,50,,,,,,,,,,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,nelson_gun_406_x2,1.3046,1.3678,0.95,40,kgeorge_gun_380_x2,1.2375,1.29,0.95,45,richelieu_gun_380_x2,1.2375,1.29,0.95,45,richelieu_gun_380_x2,1.2375,1.29,0.95,45,richelieu_gun_380_x2,1.2375,1.29,0.95,50,,,,,,,,,,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,nelson_gun_406_x3,1.3046,1.3678,0.78,40,kgeorge_gun_380_x3,1.2375,1.29,0.78,45,richelieu_gun_380_x3,1.2375,1.29,0.78,45,richelieu_gun_380_x3,1.2375,1.29,0.78,45,richelieu_gun_380_x3,1.2375,1.29,0.78,50,,,,,,,,,,,,,,,,,,,
gun_19_x4,,483,gun_19_x4,,,nelson_gun_406_x4,1.3046,1.3678,0.725,40,kgeorge_gun_380_x4,1.2375,1.29,0.725,45,richelieu_gun_380_x4,1.2375,1.29,0.725,45,richelieu_gun_380_x4,1.2375,1.29,0.725,45,richelieu_gun_380_x4,1.2375,1.29,0.725,50,,,,,,,,,,,,,,,,,,,
gun_20_x1,,508,gun_20_x1,,,nelson_gun_406_x1,1.3728,1.436,1.05,40,kgeorge_gun_380_x1,1.3,1.3525,1.05,45,richelieu_gun_380_x1,1.3,1.3525,1.05,45,richelieu_gun_380_x1,1.3,1.3525,1.05,45,richelieu_gun_380_x1,1.3,1.3525,1.05,50,,,,,,,,,,,,,,,,,,,
