name,Nation,AdmiralName,AdmiralSurname
russia_169,russia,Mikhail,Viktorov
russia_170,russia,Pyotr,Smirnov
russia_171,russia,Mikhail,Frinovsky
russia_172,russia,Nikolai,Kuznetsov
russia_173,russia,Boris,Stepanovich
##USA,,,
usa_175,usa,Cameron,Winslow
usa_176,usa,Ernest,King
usa_177,usa,Thomas,Howard
usa_178,usa,Walter,Cowles
usa_179,usa,Albert,Winterhalter
usa_180,usa,Henry,Mayo
usa_181,usa,William,Caperton
usa_182,usa,William,Benson
usa_183,usa,Austin,Knight
usa_184,usa,William,Sims
usa_185,usa,Hugh,Rodman
usa_186,usa,Albert,Gleaves
usa_187,usa,Robert,Coontz
usa_188,usa,Joseph,Strauss
usa_189,usa,Hilary,Jones
usa_190,usa,Edward,Eberle
usa_191,usa,Edwin,Anderson
usa_192,usa,Samuel,Robison
usa_193,usa,Thomas,Washington
usa_194,usa,Charles,Hughes
usa_195,usa,Clarence,Williams
usa_196,usa,Richard,Jackson
usa_197,usa,Henry,Wiley
usa_198,usa,Mark,Bristol
usa_199,usa,Louis, de Steiguer
usa_200,usa,William ,Pratt
usa_201,usa,Louis,Nulton
usa_202,usa,Charles,McVay
usa_203,usa,Frank,Schofield
usa_204,usa,Jehu,Chase
usa_205,usa,Montgomery,Taylor
usa_206,usa,Richard,Leigh
usa_207,usa,Luke,McNamee
usa_208,usa,William,Standley
usa_209,usa,David,Sellers
usa_210,usa,Joseph,Reeves
usa_211,usa,Frank,Upham
usa_212,usa,Frank,Brumby
usa_213,usa,Harris,Laning
usa_214,usa,Orin,Murfin
usa_215,usa,Arthur,Hepburn
usa_216,usa,Harry,Yarnell
usa_217,usa,Claude,Bloch
usa_218,usa,Edward,Kalbfus
usa_219,usa,James,Richardson
usa_220,usa,Ernest,King
usa_221,usa,Royal,Ingersoll
usa_222,usa,William,Halsey
##SPAIN,,,
spain_224,spain,Segismundo,Bermejo
spain_225,spain,Manuel,de la Cámara
spain_226,spain,Fernando,Martínez
spain_227,spain,Luis,González
spain_228,spain,Zoilo,Sánchez
spain_229,spain,Miguel,Fernández
spain_230,spain,Eduardo,Sabau
spain_231,spain,Antonio,Azarola
spain_232,spain,Camilo,Carreras
spain_233,spain,Fernando,Barreto
spain_234,spain,Joaquín,de Eguía
spain_235,spain,José,Barreiro
spain_236,spain,Diego,Jordán
spain_237,spain,Fernando,Navarro
spain_238,spain,Luis,Núñez
spain_239,spain,José,Rodríguez
spain_240,spain,Manuel,Rodríguez
spain_241,spain,Pedro,Mendizábal
spain_242,spain,José María,Ferragut
spain_243,spain,Juan,Sánchez
spain_244,spain,Luis,Pinzón
spain_245,spain,Carlos,Romero
spain_246,spain,Antonio,Rendón
spain_247,spain,Mariano,Mateu
spain_248,spain,Francisco ,Cróquer
spain_249,spain,Joaquín,Barreda
spain_250,spain,Segismundo,Bermejo
##CHINA,,,
china_252,china,Deng,Shichang
china_253,china,Liu,Buchan
china_254,china,Du,Xigui
china_255,china,Ji,Xingwen
china_256,china,Sa,Zhenbing
china_257,china,Wang,Jinghong
china_258,china,Lin,Baoyi
china_259,china,Chen,Lin
##NETHERLANDS,,,
netherlands_261,netherlands,De Vries,Bakker
netherlands_262,netherlands,Van der Berg,Visser
netherlands_263,netherlands,Van Dijk,Smits
netherlands_264,netherlands,De Boer,Koning
netherlands_265,netherlands,Mulder,Schouten
netherlands_266,netherlands,De Groot,Smit
netherlands_267,netherlands,Kuiper,Dekker
netherlands_268,netherlands,Janssen,Meijer
##GREECE,,,
greece_270,greece,Georgiou,Evangelos
greece_271,greece,Vasileiou,Athanasios
greece_272,greece,Ioannidis,Petros
greece_273,greece,Papagiannis,Andreas
greece_274,greece,Kyriazis,Demetrios
greece_275,greece,Stefanos,Konstantinos
greece_276,greece,Christakis,Kostas
greece_277,greece,Papadopoulos,Nikolaos
##OTTOMAN,,,
ottoman_279,ottoman,Arslan,Yildiz
ottoman_280,ottoman,Ozdemir,Polat
ottoman_281,ottoman,Sahin,Keskin
ottoman_282,ottoman,Erdogan,Korkmaz
ottoman_283,ottoman,Kilic,Dogan
ottoman_284,ottoman,Yilmaz,Demir
ottoman_285,ottoman,Kaya,Celik
ottoman_286,ottoman,Aydin,Karaca
##PORTUGAL,,,
portugal_288,portugal,Cardoso,Neves
portugal_289,portugal,Barros,Ferreira
portugal_290,portugal,Costa,Rodrigues
portugal_291,portugal,Reis,Almeida
portugal_292,portugal,Santos,Silva
portugal_293,portugal,Pereira,Oliveira
portugal_294,portugal,Martins,Carvalho
portugal_296,portugal,Rocha,Alves
##CHILE,,,
chile_298,chile,Fuentes,Rivera
chile_299,chile,Soto,Flores
chile_300,chile,Perez,Gonzalez
chile_301,chile,Lopez,Hernandez
chile_302,chile,Diaz,Torres
chile_303,chile,Castillo,Reyes
chile_304,chile,Rojas,Medina
chile_305,chile,Morales,Vargas
##ARGENTINA,,,
argentina_307,argentina,Gonzalez,Romero
argentina_308,argentina,Rodriguez,Diaz
argentina_309,argentina,Martinez,Alvarez
argentina_310,argentina,Gomez,Herrera
argentina_311,argentina,Fernandez,Castro
argentina_312,argentina,Perez,Mendez
argentina_313,argentina,Ruiz,Ramos
argentina_314,argentina,Acosta,Sosa
##BRAZIL,,,
brazil_316,brazil,Souza,Lima
brazil_317,brazil,Oliveira,Santos
brazil_318,brazil,Almeida,Ferreira
brazil_319,brazil,Ribeiro,Gomes
brazil_320,brazil,Barbosa,Rocha
brazil_321,brazil,Castro,Pereira
brazil_322,brazil,Moreira,Martins
brazil_323,brazil,Cardoso,Silva
##KOREA,,,
korea_325,korea,Kim,Seungjin
korea_326,korea,Park,Hyunwoo
korea_327,korea,Lee,Donghae
korea_328,korea,Choi,Minjae
korea_329,korea,Song,Jisoo
korea_330,korea,Jung,Taeyang
korea_331,korea,Hwang,Sunwoo
korea_332,korea,Yoon,Jaehyuk
korea_333,korea,Shin,Byungho
korea_334,korea,Baek,Insoo
##DENMARK,,,
denmark_336,denmark,Nielsen,Anders
denmark_337,denmark,Jensen,Morten
denmark_338,denmark,Hansen,Lars
denmark_339,denmark,Pedersen,Erik
denmark_340,denmark,Christensen,Jesper
denmark_341,denmark,Rasmussen,Jonas
denmark_342,denmark,Kristensen,Soren
denmark_343,denmark,Madsen,Thomas
##SWEDEN,,,
sweden_345,sweden,Andersson,Erik
sweden_346,sweden,Johansson,Karl
sweden_347,sweden,Larsson,Nils
sweden_348,sweden,Svensson,Olof
sweden_349,sweden,Petersson,Henrik
sweden_350,sweden,Gustafsson,Mikael
sweden_351,sweden,Lindberg,Andreas
sweden_352,sweden,Bergstrom,Stefan
