name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
#,,,,,,,,,,,,,
hull_cruiser_37,hull_cruiser,,$technology_name_hull_cruiser_37,1922,,23,"tonnage(ca;16500), unlock(ca_5_german_treaty;ca_5_gen_treaty1;ca_5_france_exp;ca_4_pensacola;ca_5_japan_scout;ca_6_german_exp;ca_4_pensacola_new), obsolete(ca_3_russia;ca_4_rambow_france;ca_3_friedrich)",,,$technology_desc_hull_cruiser_37,,,
hull_cruiser_39,hull_cruiser,,$technology_name_hull_cruiser_39,1928,,23,"tonnage(ca;18000), unlock(ca_5_german_pocket_big;ca_5_china_exp), obsolete(ca_5_generic1_C_class;ca_5_generic2_C_class;ca_5_japan_exp_early;ca_5_russian_exp;ca_5_german_treaty_2;ca_5_japan_exp;ca_6_british_largecruiser)",,,$technology_desc_hull_cruiser_39,,,
hull_cruiser_42,hull_cruiser,,$technology_name_hull_cruiser_42,1935,,23,"tonnage(ca;21000), unlock(ca_5_generic_britain;ca_5_russia;ca_6_france;ca_5_german_hipper;ca_5_generic_2;ca_5_usa;ca_6_japan;ca_4_ersatz), obsolete(ca_5_german_treaty;ca_5_gen_treaty1;ca_5_france_exp;ca_4_pensacola;ca_2_ersatz;ca_6_usn_dn;ca_4_pensacola_new)",,,$technology_desc_hull_cruiser_42,,,
#,,,,,,,,,,,,,
hull_cruiser_47,hull_cruiser,,$technology_name_hull_cruiser_47,1913,,23,unlock(bc_3;bc_3_austria;bc_3_britain;bc_3_izmail;bc_3_german;bc_4_britain_nelson;bc_3_britain_tiger),,,$technology_desc_hull_cruiser_46,"Enables Battlecruiser (BC Class), a ship of at least 20,000 tons Displacement and 24 Knots speed.",,
hull_cruiser_48,hull_cruiser,,$technology_name_hull_cruiser_48,1916,,23,"unlock(bc_5_france;bc_4_izmail;bc_3_kongo;bc_3_german_derf;bc_3_britain_adv;bc_large_light_cruiser;bc_5_japan_scout;bc_4_britain_r), obsolete(bc_1_Japan;bc_1_german;bc_1_vondertann;bc_1_britain;bc_1_britain_var;bc_1;ca_4_ibuki)",,,$technology_desc_hull_cruiser_46,"Enables Battlecruiser (BC Class), a ship of at least 20,000 tons Displacement and 24 Knots speed.",,
hull_cruiser_50,hull_cruiser,,$technology_name_hull_cruiser_50,1923,,23,"unlock(bc_5_britain;bc_5_china;bc_5_german_derf;bc_4_japan;bc_5_aushun;bc_5_usn;bc_5_italy;bc_4_generic), obsolete(bc_3;bc_3_austria;bc_3_britain;bc_3_izmail;bc_3_german;bc_4_britain_nelson;bc_3_britain_tiger)",,,$technology_desc_hull_cruiser_46,"Enables Battlecruiser (BC Class), a ship of at least 20,000 tons Displacement and 24 Knots speed.",,
hull_cruiser_52,hull_cruiser,,$technology_name_hull_cruiser_52,1935,,23,"unlock(bc_exp_china;bc_5_russia;bc_5_japan;bc_5_germany;bc_5_usa;bc_5_russia2;bc_4_britain_g3;hull_bc_compact_france;hull_bc_compact_italy;hull_bc_compact_austria;hull_bc_compact_usa;hull_bc_compact_japan;hull_bc_compact_ussr), obsolete(bc_4_britain_adv;bc_4_britain_r;bc_4_britain;bc_4_kongo;bc_4_german_derf;bc_4_japan)",,,$technology_desc_hull_cruiser_46,"Enables Battlecruiser (BC Class), a ship of at least 20,000 tons Displacement and 24 Knots speed.",,
hull_cruiser_52_2,hull_cruiser,,$technology_name_hull_cruiser_52_2,1938,,23,"unlock(bc_7_britain;bb_usa_north_carolina;bc_6_generic;bc_6_germany;bc_6_japan;bc_6_italy;bc_5_assault_russia), obsolete(bc_5_britain;bc_5_china;bc_5_german_derf;bc_4_japan;bc_5_aushun;bc_5_usn;bc_4_generic_small;bc_4_italy)",,,$technology_desc_hull_cruiser_46,,,
#,,,,,,,,,,,,,
