#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
gun_6_x1_alt,,152,gun_6_x1_alt,,,brandenburg_gun_102_x1,1.345,1.4805,0.75,45,dd_s_gun_d_102_x1,1.345,1.4805,0.75,45,dd_s_gun_d_102_x1,1.345,1.4805,0.75,50,hood_gun_140_x1,1.14,1.266,0.75,50,akizuki_gun_b_127_x1,0.955,1.0895,0.75,,,,,,,,,,,
gun_6_x2_alt,,152,gun_6_x2_alt,,,maine_gun_152_x2,1.36,1.554,0.86,45,dreadnought_gun_178_x2,1.14,1.266,0.86,,nelson_gun_b_152_x2,0.918,1.0262,0.86,50,bismarck_gun_150_x2,0.955,1.0895,0.86,50,richelieu_gun_152_x2,0.66,0.76,0.86,,,,,,,,,,,
gun_6_x3_alt,,152,gun_6_x3_alt,,,maine_gun_152_x3,1.36,1.554,0.66,45,dreadnought_gun_178_x3,1.14,1.266,0.66,,nelson_gun_152b_x3,0.918,1.0262,0.66,50,bismarck_gun_150_x3,0.955,1.0895,0.66,50,richelieu_gun_152_x3,0.66,0.76,0.66,,,,,,,,,,,
gun_7_x2_alt,,178,gun_7_x2_alt,,,ny_gun_210_x2,1.1095,1.244,0.9,45,dreadnought_gun_178_x2,1.276,1.402,0.9,,nelson_gun_b_152_x2,1.0362,1.1444,0.9,50,mont_gun_152b_x2,1.057,1.167,0.9,50,litt_gun_152a_x2,0.838,0.946,0.9,,,,,,,,,,,
gun_7_x3_alt,,178,gun_7_x3_alt,,,ny_gun_210_x3,1.1095,1.244,0.705,45,dreadnought_gun_178_x3,1.276,1.402,0.705,,nelson_gun_152b_x3,1.0362,1.1444,0.705,50,mont_gun_152b_x3,1.057,1.167,0.705,50,litt_gun_152a_x3,0.838,0.946,0.705,,,,,,,,,,,
gun_8_x2_alt,,203,gun_8_x2_alt,,,ny_gun_210_x2,1.264,1.3985,0.88,45,agamemnon_gun_b_228_x2,1.412,1.538,0.88,,nelson_gun_b_152_x2,1.1544,1.2626,0.88,50,mont_gun_152b_x2,1.184,1.294,0.88,50,litt_gun_152a_x2,0.956,1.064,0.88,,,,,,,,,,,
gun_8_x3_alt,,203,gun_8_x3_alt,,,ny_gun_210_x3,1.264,1.3985,0.69,45,agamemnon_gun_b_228_x3,1.412,1.538,0.69,,nelson_gun_152b_x3,1.1544,1.2626,0.69,50,mont_gun_152b_x3,1.184,1.294,0.69,50,litt_gun_152a_x3,0.956,1.064,0.69,,,,,,,,,,,
gun_9_x2_alt,,229,gun_9_x2_alt,,,ny_gun_210_x2,1.4185,1.553,0.82,,agamemnon_gun_b_228_x2,1.548,1.674,0.82,,nelson_gun_b_152_x2,1.2726,1.3808,0.82,,mont_gun_152b_x2,1.311,1.421,0.82,50,bismarck_gun_380_x2,0.6125,0.665,0.82,,,,,,,,,,,
gun_9_x3_alt,,229,gun_9_x3_alt,,,ny_gun_210_x3,1.4185,1.553,0.64,,agamemnon_gun_b_228_x3,1.548,1.674,0.64,,nelson_gun_152b_x3,1.2726,1.3808,0.64,,mont_gun_152b_x3,1.311,1.421,0.64,50,bismarck_gun_380_x3,0.6125,0.665,0.64,,,,,,,,,,,
gun_10_x2_alt,,254,gun_10_x2_alt,,,maine_gun_254_x2_a,1.07,1.165,0.9,,vdt_gun_280_x2,0.9404,1.0195,0.9,,spee_gun_280_x2_a,0.8362,0.9035,0.9,,trento_gun_203_x2,1.238,1.355,0.9,50,bismarck_gun_380_x2,0.675,0.7275,0.9,,,,,,,,,,,
gun_10_x3_alt,,254,gun_10_x3_alt,,,maine_gun_254_x3_a,1.07,1.165,0.68,,vdt_gun_280_x3,0.9404,1.0195,0.68,,spee_gun_280_x3_a,0.8362,0.9035,0.68,,trento_gun_203_x3,1.238,1.355,0.68,50,bismarck_gun_380_x3,0.675,0.7275,0.68,,,,,,,,,,,
gun_11_x2_alt,,279,gun_11_x2_alt,,,maine_gun_254_x2_a,1.175,1.27,0.82,,vdt_gun_280_x2,1.0295,1.1086,0.82,,spee_gun_280_x2_a,0.9135,0.9808,0.82,,trento_gun_203_x2,1.365,1.482,0.82,50,bismarck_gun_380_x2,0.7375,0.79,0.82,,,,,,,,,,,
gun_11_x3_alt,,279,gun_11_x3_alt,,,maine_gun_254_x3_a,1.175,1.27,0.66,,vdt_gun_280_x3,1.0295,1.1086,0.66,,spee_gun_280_x3_a,0.9135,0.9808,0.66,,trento_gun_203_x3,1.365,1.482,0.66,50,bismarck_gun_380_x3,0.7375,0.79,0.66,,,,,,,,,,,
gun_12_x2_alt,,305,gun_12_x2_alt,,,agamemnon_gun_b_305_x2,1.136,1.217,0.82,,dreadnought_gun_305_x2,1.136,1.217,0.82,,spee_gun_280_x2_a,0.9908,1.0581,0.82,,trento_gun_203_x2,1.492,1.609,0.82,,bismarck_gun_380_x2,0.8,0.8525,0.82,,,,,,,,,,,
gun_12_x3_alt,,305,gun_12_x3_alt,,,agamemnon_gun_b_305_x3,1.136,1.217,0.66,,dreadnought_gun_305_x3,1.136,1.217,0.66,,spee_gun_280_x3_a,0.9908,1.0581,0.66,,trento_gun_203_x3,1.492,1.609,0.66,,bismarck_gun_380_x3,0.8,0.8525,0.66,,,,,,,,,,,
gun_13_x2_alt,,330,gun_13_x2_alt,,,agamemnon_gun_b_305_x2,1.227,1.308,0.88,,dreadnought_gun_305_x2,1.227,1.308,0.88,,hood_gun_380_x2,0.8954,0.9586,0.88,,bismarck_gun_380_short_x2,0.9928,1.0519,0.88,,iowa_gun_406_x2,0.745,0.79,0.88,,,,,,,,,,,
gun_13_x3_alt,,330,gun_13_x3_alt,,,agamemnon_gun_b_305_x3,1.227,1.308,0.705,,dreadnought_gun_305_x3,1.227,1.308,0.705,,hood_gun_380_x3,0.8954,0.9586,0.705,,bismarck_gun_380_short_x3,0.9928,1.0519,0.705,,iowa_gun_406_x3,0.745,0.79,0.705,,,,,,,,,,,
gun_14_x2_alt,,356,gun_14_x2_alt,,,agamemnon_gun_b_305_x2,1.318,1.399,0.88,,dreadnought_gun_305_x2,1.318,1.399,0.88,,hood_gun_380_x2,0.9636,1.0268,0.88,,bismarck_gun_380_short_x2,1.0619,1.121,0.88,,iowa_gun_406_x2,0.795,0.84,0.88,,,,,,,,,,,
gun_14_x3_alt,,356,gun_14_x3_alt,,,agamemnon_gun_b_305_x3,1.318,1.399,0.705,,dreadnought_gun_305_x3,1.318,1.399,0.705,,hood_gun_380_x3,0.9636,1.0268,0.705,,bismarck_gun_380_short_x3,1.0619,1.121,0.705,,iowa_gun_406_x3,0.795,0.84,0.705,,,,,,,,,,,
gun_15_x2_alt,,381,gun_15_x2_alt,,,agamemnon_gun_b_305_x2,1.409,1.49,0.9,,dreadnought_gun_305_x2,1.409,1.49,0.9,,hood_gun_380_x2,1.0318,1.095,0.9,,bismarck_gun_380_short_x2,1.131,1.1901,0.9,,iowa_gun_406_x2,0.845,0.89,0.9,,,,,,,,,,,
gun_15_x3_alt,,381,gun_15_x3_alt,,,agamemnon_gun_b_305_x3,1.409,1.49,0.72,,dreadnought_gun_305_x3,1.409,1.49,0.72,,hood_gun_380_x3,1.0318,1.095,0.72,,bismarck_gun_380_short_x3,1.131,1.1901,0.72,,iowa_gun_406_x3,0.845,0.89,0.72,,,,,,,,,,,
gun_16_x2_alt,,406,gun_16_x2_alt,,,agamemnon_gun_b_305_x2,1.5,1.581,0.93,,dreadnought_gun_305_x2,1.5,1.581,0.93,,hood_gun_380_x2,1.1,1.1632,0.93,,bismarck_gun_380_short_x2,1.2001,1.2592,0.93,,iowa_gun_406_x2,0.895,0.94,0.93,,,,,,,,,,,
gun_16_x3_alt,,406,gun_16_x3_alt,,,agamemnon_gun_b_305_x3,1.5,1.581,0.75,,dreadnought_gun_305_x3,1.5,1.581,0.75,,hood_gun_380_x3,1.1,1.1632,0.75,,bismarck_gun_380_short_x3,1.2001,1.2592,0.75,,iowa_gun_406_x3,0.895,0.94,0.75,,,,,,,,,,,
gun_17_x2_alt,,432,gun_17_x2_alt,,,agamemnon_gun_b_305_x2,1.591,1.672,0.95,,nelson_gun_406_x2,1.1682,1.2314,0.95,,litt_gun_381_x2,1.1682,1.2314,0.95,,kgeorge_gun_380_x2_b,1.1125,1.165,0.95,,yamato_gun_b_460_x2,0.945,0.99,0.95,,,,,,,,,,,
gun_17_x3_alt,,432,gun_17_x3_alt,,,agamemnon_gun_b_305_x3,1.591,1.672,0.775,,nelson_gun_406_x3,1.1682,1.2314,0.775,,litt_gun_381_x3,1.1682,1.2314,0.775,,kgeorge_gun_380_x3_c,1.1125,1.165,0.775,,yamato_gun_b_460_x3,0.945,0.99,0.775,,,,,,,,,,,
gun_18_x2_alt,,457,gun_18_x2_alt,,,agamemnon_gun_b_305_x2,1.682,1.763,0.985,,nelson_gun_406_x2,1.2364,1.2996,0.985,,litt_gun_381_x2,1.2364,1.2996,0.985,,kgeorge_gun_380_x2_b,1.175,1.2275,0.985,,yamato_gun_b_460_x2,0.995,1.04,0.985,,,,,,,,,,,
gun_18_x3_alt,,457,gun_18_x3_alt,,,agamemnon_gun_b_305_x3,1.682,1.763,0.81,,nelson_gun_406_x3,1.2364,1.2996,0.81,,litt_gun_381_x3,1.2364,1.2996,0.81,,kgeorge_gun_380_x3_c,1.175,1.2275,0.81,,yamato_gun_b_460_x3,0.995,1.04,0.81,,,,,,,,,,,
gun_19_x2_alt,,483,gun_19_x2_alt,,,agamemnon_gun_b_305_x2,1.773,1.854,0.95,40,nelson_gun_406_x2,1.3046,1.3678,0.95,45,litt_gun_381_x2,1.3046,1.3678,0.95,45,kgeorge_gun_380_x2_b,1.2375,1.29,0.95,45,yamato_gun_b_460_x2,1.045,1.09,0.95,50,,,,,,,,,,
gun_19_x3_alt,,483,gun_19_x3_alt,,,agamemnon_gun_b_305_x3,1.773,1.854,0.78,40,nelson_gun_406_x3,1.3046,1.3678,0.78,45,litt_gun_381_x3,1.3046,1.3678,0.78,45,kgeorge_gun_380_x3_c,1.2375,1.29,0.78,45,yamato_gun_b_460_x3,1.045,1.09,0.78,50,,,,,,,,,,
gun_20_x2_alt,,508,gun_20_x2_alt,,,agamemnon_gun_b_305_x2,1.864,1.945,0.85,40,nelson_gun_406_x2,1.3728,1.436,0.85,45,litt_gun_381_x2,1.3728,1.436,0.85,45,kgeorge_gun_380_x2_b,1.3,1.3525,0.85,45,yamato_gun_b_460_x2,1.095,1.14,0.85,50,,,,,,,,,,
gun_20_x3_alt,,508,gun_20_x3_alt,,,agamemnon_gun_b_305_x3,1.864,1.945,0.7,40,nelson_gun_406_x3,1.3728,1.436,0.7,45,litt_gun_381_x3,1.3728,1.436,0.7,45,kgeorge_gun_380_x3_c,1.3,1.3525,0.7,45,yamato_gun_b_460_x3,1.095,1.14,0.7,50,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt_germany,,51,gun_2_x1_alt,germany,,small_gun_f_51_x1,1.75,1.9,0.92,50,small_gun_g_51_x1,1.75,1.9,0.92,50,,,,0.92,55,,,,0.92,55,iowa_gun_127_x1,0.81,0.91,0.92,60,,,,,,,,,,
gun_2_x2_alt_germany,,51,gun_2_x2_alt,germany,,,,,0.7,50,,,,0.7,50,,,,0.7,55,,,,0.7,55,iowa_gun_127_x2,0.81,0.91,0.7,60,,,,,,,,,,
gun_2_x3_alt_germany,,51,gun_2_x3_alt,germany,,,,,0.55,50,,,,0.55,50,,,,0.55,55,,,,0.55,55,iowa_gun_127_x3,0.81,0.91,0.55,60,,,,,,,,,,
gun_2_x4_alt_germany,,51,gun_2_x4_alt,germany,,,,,0.5,50,,,,0.5,50,,,,0.5,55,,,,0.5,55,,,,0.5,60,,,,,,,,,,
gun_3_x1_alt_germany,,76,gun_3_x1_alt,germany,,,,,1,45,vw_gun_120_x1,0.9,1,1,50,vw_gun_120_x1,0.9,1,1,55,vw_gun_120_x1,0.9,1,1,55,vw_gun_120_x1,0.9,1,1,55,,,,,,,,,,
gun_3_x2_alt_germany,,76,gun_3_x2_alt,germany,,,,,1.08,45,vdt_gun_200_x2,0.6668,0.7668,1.08,50,spee_gun_150_x2,0.744,0.87,1.08,55,spee_gun_150_x2,0.744,0.87,1.08,55,spee_gun_150_x2,0.835,0.945,1.08,55,,,,,,,,,,
gun_3_x3_alt_germany,,76,gun_3_x3_alt,germany,,,,,0.83,45,,,,0.83,50,spee_gun_150_x3,0.744,0.87,0.83,55,spee_gun_150_x3,0.744,0.87,0.83,55,spee_gun_150_x3,0.835,0.945,0.83,55,,,,,,,,,,
gun_3_x4_alt_germany,,76,gun_3_x4_alt,germany,,,,,0.74,45,,,,0.74,50,,,,0.74,55,,,,0.74,55,,,,0.74,55,,,,,,,,,,
gun_4_x1_alt_germany,,102,gun_4_x1_alt,germany,,,,,1.1,45,vw_gun_120_x1,1,1.1,1.1,50,vw_gun_120_x1,1,1.1,1.1,55,vw_gun_120_x1,1,1.1,1.1,55,vw_gun_120_x1,1,1.1,1.1,55,,,,,,,,,,
gun_4_x2_alt_germany,,102,gun_4_x2_alt,germany,,,,,1.28,45,vdt_gun_200_x2,0.7632,0.8632,1.28,50,spee_gun_150_x2,0.874,1,1.28,55,spee_gun_150_x2,0.874,1,1.28,55,spee_gun_150_x2,0.874,1,1.28,55,,,,,,,,,,
gun_4_x3_alt_germany,,102,gun_4_x3_alt,germany,,,,,1,45,,,,1,50,spee_gun_150_x3,0.874,1,1,55,spee_gun_150_x3,0.874,1,1,55,spee_gun_150_x3,0.874,1,1,55,,,,,,,,,,
gun_5_x1_alt_germany_cl,,127,gun_5_x1_alt,germany,cl,,,,0.85,45,vw_gun_120_x1,1.1,1.2,0.85,50,vw_gun_120_x1,1.1,1.2,0.85,55,vw_gun_120_x1,1.1,1.2,0.85,55,spee_gun_150_x1,1.004,1.13,0.85,55,,,,,,,,,,
gun_5_x2_alt_germany_cl,,127,gun_5_x2_alt,germany,cl,,,,0.95,45,vdt_gun_200_x2,0.8746,0.9746,0.95,50,bismarck_gun_b_150_x2,0.8005,0.935,0.95,55,bismarck_gun_150_x2,0.8005,0.935,0.95,55,bismarck_gun_b_150_x2,0.8005,0.935,0.95,55,,,,,,,,,,
gun_5_x3_alt_germany_cl,,127,gun_5_x3_alt,germany,cl,,,,0.75,45,,,,0.75,50,bismarck_gun_b_150_x3,0.8005,0.935,0.75,55,bismarck_gun_150_x3,0.8005,0.935,0.75,55,bismarck_gun_b_150_x3,0.8005,0.935,0.75,55,,,,,,,,,,
gun_5_x1_alt_germany,,127,gun_5_x1_alt,germany,"tb, dd, ca, bc, bb",,,,0.85,45,vw_gun_120_x1,1.1,1.2,0.85,50,vw_gun_120_x1,1.1,1.2,0.85,55,vw_gun_120_x1,1.1,1.2,0.85,55,spee_gun_150_x1,1.004,1.13,0.85,55,,,,,,,,,,
gun_5_x2_alt_germany,,127,gun_5_x2_alt,germany,"tb, dd, ca, bc, bb",,,,0.95,45,vdt_gun_200_x2,0.8746,0.9746,0.95,50,nelson_gun_b_152_x2,0.7998,0.908,0.95,55,nelson_gun_b_152_x2,0.7998,0.908,0.95,55,bismarck_gun_b_150_x2,0.8005,0.935,0.95,55,,,,,,,,,,
gun_5_x3_alt_germany,,127,gun_5_x3_alt,germany,"tb, dd, ca, bc, bb",,,,0.75,45,,,,0.75,50,bismarck_gun_b_150_x3,0.8005,0.935,0.75,55,bismarck_gun_150_x3,0.8005,0.935,0.75,55,bismarck_gun_b_150_x3,0.8005,0.935,0.75,55,,,,,,,,,,
gun_6_x1_alt_germany,,151,gun_6_x1_alt,germany,,,,,0.75,45,,,,0.75,,,,,0.75,50,,,,0.75,50,,,,0.75,,,,,,,,,,,
gun_6_x2_alt_germany,,152,gun_6_x2_alt,germany,,,,,0.86,45,vdt_gun_200_x2,0.986,1.086,0.86,,nelson_gun_b_152_x2,0.918,1.0262,0.86,50,nelson_gun_b_152_x2,0.918,1.0262,0.86,50,bismarck_gun_b_150_x2,0.955,1.0895,0.86,,,,,,,,,,,
gun_6_x3_alt_germany,,152,gun_6_x3_alt,germany,,,,,0.66,45,,,,0.66,,bismarck_gun_150_x3,0.955,1.0895,0.66,50,bismarck_gun_150_x3,0.955,1.0895,0.66,50,bismarck_gun_b_150_x3,0.955,1.0895,0.66,,,,,,,,,,,
gun_7_x2_alt_germany,,178,gun_7_x2_alt,germany,,,,,0.9,45,vdt_gun_200_x2,1.0974,1.1974,0.9,,nelson_gun_b_152_x2,1.0362,1.1444,0.9,50,nelson_gun_b_152_x2,1.0362,1.1444,0.9,50,bismarck_gun_b_150_x2,1.1095,1.244,0.9,,,,,,,,,,,
gun_7_x3_alt_germany,,178,gun_7_x3_alt,germany,,,,,0.705,45,,,,0.705,,bismarck_gun_150_x3,1.1095,1.244,0.705,50,bismarck_gun_150_x3,1.1095,1.244,0.705,50,bismarck_gun_b_150_x3,1.1095,1.244,0.705,,,,,,,,,,,
gun_8_x2_alt_germany,,203,gun_8_x2_alt,germany,,,,,0.88,45,vdt_gun_280_x2,0.7622,0.8413,0.88,,spee_gun_280_x2_a,0.6816,0.7489,0.88,50,bismarck_gun_380_short_x2,0.6473,0.7064,0.88,50,spee_gun_280_x2_a,0.6816,0.7489,0.88,,,,,,,,,,,
gun_8_x3_alt_germany,,203,gun_8_x3_alt,germany,,,,,0.69,45,,,,0.69,,spee_gun_280_x3_a,0.6816,0.7489,0.69,50,bismarck_gun_380_short_x3,0.6473,0.7064,0.69,50,bismarck_gun_380_x3,0.5912,0.6448,0.69,,,,,,,,,,,
gun_9_x2_alt_germany,,229,gun_9_x2_alt,germany,,brandenburg_gun_279_x2,0.888,0.969,0.82,,vdt_gun_280_x2,0.8513,0.9304,0.82,,spee_gun_280_x2_a,0.7589,0.8262,0.82,,bismarck_gun_380_short_x2,0.7164,0.7755,0.82,50,spee_gun_280_x2_a,0.7589,0.8262,0.82,,,,,,,,,,,
gun_9_x3_alt_germany,,229,gun_9_x3_alt,germany,,brandenburg_gun_279_x3,0.888,0.969,0.64,,,,,0.64,,spee_gun_280_x3_a,0.7589,0.8262,0.64,,bismarck_gun_380_short_x3,0.7164,0.7755,0.64,50,bismarck_gun_380_x3,0.6548,0.7084,0.64,,,,,,,,,,,
gun_10_x2_alt_germany,,254,gun_10_x2_alt,germany,,friedrich_gun_228_x2,0.9958,1.074,0.9,,vdt_gun_200_x2,1.4316,1.5316,0.9,,spee_gun_280_x2_a,0.8362,0.9035,0.9,,bismarck_gun_380_short_x2,0.7855,0.8446,0.9,50,spee_gun_var_280_x2,0.8362,0.9035,0.9,,,,,,,,,,,
gun_10_x3_alt_germany,,254,gun_10_x3_alt,germany,,friedrich_gun_228_x3,0.9958,1.074,0.68,,,,,0.68,,spee_gun_280_x3_a,0.8362,0.9035,0.68,,bismarck_gun_380_short_x3,0.7855,0.8446,0.68,50,spee_gun_var_280_x3,0.8362,0.9035,0.68,,,,,,,,,,,
gun_11_x2_alt_germany,,279,gun_11_x2_alt,germany,,friedrich_gun_228_x2,1.084,1.1622,0.82,,vdt_gun_200_x2,1.543,1.643,0.82,,spee_gun_280_x2_a,0.9135,0.9808,0.82,,bismarck_gun_380_short_x2,0.8546,0.9137,0.82,50,spee_gun_280_x2_a,0.9135,0.9808,0.82,,,,,,,,,,,
gun_11_x3_alt_germany,,279,gun_11_x3_alt,germany,,friedrich_gun_228_x3,1.084,1.1622,0.66,,,,,0.66,,spee_gun_280_x3_a,0.9135,0.9808,0.66,,bismarck_gun_380_short_x3,0.8546,0.9137,0.66,50,bismarck_gun_380_x3,0.782,0.8356,0.66,,,,,,,,,,,
gun_12_x2_alt_germany,,305,gun_12_x2_alt,germany,,brandenburg_gun_279_x2,1.161,1.242,0.82,,vdt_gun_200_x2,1.6544,1.7544,0.82,,mackensen_gun_350_x2,0.9908,1.0581,0.82,,bismarck_gun_380_short_x2,0.9237,0.9828,0.82,45,spee_gun_280_x2_a,0.9908,1.0581,0.82,,,,,,,,,,,
gun_12_x3_alt_germany,,305,gun_12_x3_alt,germany,,brandenburg_gun_279_x3,1.161,1.242,0.66,,teg_gun_305_x3,1.1186,1.1977,0.66,,spee_gun_280_x3_a,0.9908,1.0581,0.66,,bismarck_gun_380_short_x3,0.9237,0.9828,0.66,45,bismarck_gun_380_x3,0.8456,0.8992,0.66,,,,,,,,,,,
gun_13_x2_alt_germany,,330,gun_13_x2_alt,germany,,brandenburg_gun_279_x2,1.252,1.333,0.88,,mackensen_gun_350_x2,1.0681,1.1354,0.88,,mackensen_gun_350_x2,1.0681,1.1354,0.88,,bismarck_gun_380_short_x2,0.9928,1.0519,0.88,45,spee_gun_280_x2_a,1.0681,1.1354,0.88,,,,,,,,,,,
gun_13_x3_alt_germany,,330,gun_13_x3_alt,germany,,brandenburg_gun_279_x3,1.252,1.333,0.705,,teg_gun_305_x3,1.2077,1.2868,0.705,,spee_gun_280_x3_a,1.0681,1.1354,0.705,,bismarck_gun_380_short_x3,0.9928,1.0519,0.705,45,bismarck_gun_380_x3,0.9092,0.9628,0.705,,,,,,,,,,,
gun_14_x2_alt_germany,,356,gun_14_x2_alt,germany,,brandenburg_gun_279_x2,1.343,1.424,0.88,,mackensen_gun_350_x2,1.1454,1.2127,0.88,,mackensen_gun_350_x2,1.1454,1.2127,0.88,,bismarck_gun_380_short_x2,1.0619,1.121,0.88,45,spee_gun_280_x2_a,1.1454,1.2127,0.88,,,,,,,,,,,
