# Index,Enabled,Part ID,Mount Rotation,Position,Mount Position Type,Valid Part Types,Min Caliber,Max Caliber,Min Barrel #,Max Barrel #,Collision Checks,Left Fire Angle Override,Right Fire Angle Override,Orient Fire Arc?,Rotate Same?,# Comment 1,# Comment 2
#,,,(0-360),"(x: +Starboard/-Port, y: +Up/-Down, z: Fore/Aft)","(any, center, side)",See Comment,"in, 0 = all","in, 0 = all",0 = all,0 = all,See Comment,See Comment,See Comment,fore/aft or starboard/port. No clue what it does.,1=true/0=false. No clue what it does.,,
@index,enabled,parent,rotation,position,mount_pos_type,accepts,caliber_min,caliber_max,barrels_min,barrels_max,collision,angle_left,angle_right,orientation,rotate_same,,
10,,hood_si_barbette_big,0,"(0.0000, 4.2100, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# hood_si_barbette_small,,,,,,,,,,,,,,,,,
10,,hood_si_barbette_small,0,"(0.0000, 4.1800, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# littorio_barbette_a,,,,,,,,,,,,,,,,,
14,,littorio_barbette_a,0,"(0.0000, 4.5100, -0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# littorio_barbette_b,,,,,,,,,,,,,,,,,
7,,littorio_barbette_b,0,"(0.0000, 2.0300, -0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# maine_barbette_a,,,,,,,,,,,,,,,,,
4,,maine_barbette_a,0,"(0.0000, 0.8900, -0.0200)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# maine_barbette_b,,,,,,,,,,,,,,,,,
4,,maine_barbette_b,0,"(0.0000, 2.4300, -0.0200)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# maine_barbette_c,,,,,,,,,,,,,,,,,
# moga_barbette,,,,,,,,,,,,,,,,,
7,,moga_barbette,0,"(0.0000, 3.8210, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# nelson_barbette_a,,,,,,,,,,,,,,,,,
17,,nelson_barbette_a,0,"(0.0000, 3.2300, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# nelson_barbette_b,,,,,,,,,,,,,,,,,
7,,nelson_barbette_b,0,"(0.0000, 0.9500, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# nelson_barbette_c,,,,,,,,,,,,,,,,,
13,,nelson_barbette_c,0,"(0.0000, 2.7000, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,1,,
# new_york_barbette_a,,,,,,,,,,,,,,,,,
# new_york_barbette_b,,,,,,,,,,,,,,,,,
9,,new_york_barbette_b,0,"(0.0000, 4.2300, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# ussr_barbette_a,,,,,,,,,,,,,,,,,
13,,ussr_barbette_a,0,"(0.0000, 4.0600, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# ussr_barbette_b,,,,,,,,,,,,,,,,,
7,,ussr_barbette_b,0,"(0.0000, 3.1400, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# yamato_si_barbette,,,,,,,,,,,,,,,,,
13,,yamato_si_barbette,0,"(0.0000, 4.0000, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# yamato_si_barbette_lesser,,,,,,,,,,,,,,,,,
7,,yamato_si_barbette_lesser,0,"(0.0000, 7.5200, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,1,,
# yamato_si_barbette_short,,,,,,,,,,,,,,,,,
6,,yamato_si_barbette_short,0,"(0.0000, 6.1700, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,1,,
# agamemnon_funnel_a,,,,,,,,,,,,,,,,,
# agamemnon_funnel_b,,,,,,,,,,,,,,,,,
# akizuki_funnel_a,,,,,,,,,,,,,,,,,
# akizuki_funnel_b,,,,,,,,,,,,,,,,,
# akizuki_funnel_b_var,,,,,,,,,,,,,,,,,
# akizuki_funnel_c,,,,,,,,,,,,,,,,,
1,,akizuki_funnel_c,0,"(4.0599, 4.1000, -8.2000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,180,,1,,
2,,akizuki_funnel_c,0,"(-4.0601, 4.1000, -8.2000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-180,1,,1,,
# akizuki_funnel_d,,,,,,,,,,,,,,,,,
# akizuki_funnel_e,,,,,,,,,,,,,,,,,
# akizuki_funnel_f,,,,,,,,,,,,,,,,,
1,,akizuki_funnel_f,335,"(-4.0600, 3.0200, -1.2500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-150,20,,1,,
2,,akizuki_funnel_f,25,"(4.0600, 3.0200, -1.2500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-20,170,,1,,
# arizona_funnel_a,,,,,,,,,,,,,,,,,
# arizona_funnel_b,,,,,,,,,,,,,,,,,
# arizona_funnel_c,,,,,,,,,,,,,,,,,
# atlanta_funnel_a,,,,,,,,,,,,,,,,,
# atlanta_funnel_b,,,,,,,,,,,,,,,,,
1,,atlanta_funnel_b,165,"(3.2718, 10.1000, -3.4242)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-135,17,,1,,
2,,atlanta_funnel_b,195,"(-3.2718, 10.1000, -3.4242)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-15,137,,1,,
3,,atlanta_funnel_b,180,"(5.7762, 4.1000, -3.2211)",side,barbette,,4,,,"ignore_parent,ignore_expand,ignore_collision_check",-135,1,,1,,
4,,atlanta_funnel_b,180,"(-5.7762, 4.1000, -3.2211)",side,barbette,,4,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,137,,1,,
# atlanta_funnel_c,,,,,,,,,,,,,,,,,
1,,atlanta_funnel_c,45,"(3.2718, 8.1000, -0.1244)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-45,147,,1,,
2,,atlanta_funnel_c,315,"(-3.2718, 8.1000, -0.1244)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-145,47,,1,,
# bismarck_funnel_a,,,,,,,,,,,,,,,,,
-1,,bismarck_funnel_a,90,"(5.2000, 6.1000, -4.6000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-80,80,,,,
-1,,bismarck_funnel_a,270,"(-5.2000, 6.1000, -4.6000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-80,80,,,,
# bismarck_funnel_a_narrow,,,,,,,,,,,,,,,,,
-1,,bismarck_funnel_a_narrow,90,"(5.2000, 6.1000, -4.6000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-80,80,,,,
-1,,bismarck_funnel_a_narrow,270,"(-5.2000, 6.1000, -4.6000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-80,80,,,,
# bouvet_funnel_a,,,,,,,,,,,,,,,,,
# bouvet_funnel_a_dualvar,,,,,,,,,,,,,,,,,
# bouvet_funnel_a_tall,,,,,,,,,,,,,,,,,
# bouvet_funnel_a_triplevar,,,,,,,,,,,,,,,,,
# brandenburg_funnel_a,,,,,,,,,,,,,,,,,
# brandenburg_funnel_b,,,,,,,,,,,,,,,,,
# brandenburg_funnel_b_dual,,,,,,,,,,,,,,,,,
# brandenburg_funnel_c,,,,,,,,,,,,,,,,,
# brandenburg_funnel_d,,,,,,,,,,,,,,,,,
# brandenburg_funnel_e,,,,,,,,,,,,,,,,,
# brooklyn_funnel_a,,,,,,,,,,,,,,,,,
# brooklyn_funnel_b,,,,,,,,,,,,,,,,,
1,,brooklyn_funnel_b,0,"(-2.7100, 7.2170, 1.0300)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-180,1,,1,,
2,,brooklyn_funnel_b,0,"(2.7100, 7.2170, -2.3300)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,160,,1,,
3,,brooklyn_funnel_b,0,"(-3.2700, 3.9700, -0.1200)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-160,1,,1,,
4,,brooklyn_funnel_b,0,"(3.2700, 3.9700, -0.1200)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,160,,1,,
# brooklyn_funnel_c,,,,,,,,,,,,,,,,,
# brooklyn_funnel_d,,,,,,,,,,,,,,,,,
# brooklyn_funnel_e,,,,,,,,,,,,,,,,,
-1,,brooklyn_funnel_e,0,"(-2.7700, 7.3700, 7.7900)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-160,1,,1,,
-1,,brooklyn_funnel_e,0,"(2.7700, 7.3700, 4.5400)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,160,,1,,
# brooklyn_funnel_f,,,,,,,,,,,,,,,,,
# cressy_funnel_a,,,,,,,,,,,,,,,,,
# cressy_funnel_a_modified,,,,,,,,,,,,,,,,,
# cressy_funnel_b,,,,,,,,,,,,,,,,,
# cressy_funnel_c,,,,,,,,,,,,,,,,,
# cressy_funnel_d,,,,,,,,,,,,,,,,,
# dante_funnel_a,,,,,,,,,,,,,,,,,
# dante_funnel_b,,,,,,,,,,,,,,,,,
# dante_funnel_c,,,,,,,,,,,,,,,,,
# dante_funnel_d,,,,,,,,,,,,,,,,,
# dante_funnel_e,,,,,,,,,,,,,,,,,
# dd_s_funnel,,,,,,,,,,,,,,,,,
# dd_s_funnel_big,,,,,,,,,,,,,,,,,
1,,dd_s_funnel_big,0,"(0.0000, 2.1000, -0.0000)",center,barbette,4,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,,,
# de_Ruyter_funnel_a,,,,,,,,,,,,,,,,,
# de_Ruyter_funnel_b,,,,,,,,,,,,,,,,,
# de_Ruyter_funnel_c,,,,,,,,,,,,,,,,,
1,,de_Ruyter_funnel_c,0,"(-4.7800, 0.0000, 2.9500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-160,1,,1,,
2,,de_Ruyter_funnel_c,0,"(4.7800, 0.0000, 2.9500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,160,,1,,
# de_Ruyter_funnel_d,,,,,,,,,,,,,,,,,
1,,de_Ruyter_funnel_d,180,"(-4.7800, 0.0000, -7.0000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,130,,1,,
2,,de_Ruyter_funnel_d,180,"(4.7800, 0.0000, -7.0000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-130,1,,1,,
3,,de_Ruyter_funnel_d,0,"(-4.7800, 0.0000, 2.9500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-130,1,,1,,
4,,de_Ruyter_funnel_d,0,"(4.7800, 0.0000, 2.9500)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,130,,1,,
# dido_funnel_a,,,,,,,,,,,,,,,,,
# dido_funnel_a_var,,,,,,,,,,,,,,,,,
1,,dido_funnel_a_var/Object2,0,"(1.4769, 4.0994, 2.4630)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-140,1,,1,,
1,,dido_funnel_a_var/Object1,0,"(-1.4769, 4.0994, 2.4630)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,140,,1,,
# dido_funnel_b,,,,,,,,,,,,,,,,,
# dido_funnel_c _var1,,,,,,,,,,,,,,,,,
1,,dido_funnel_c _var1/Object4,0,"(1.4672, 2.2524, 2.3722)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-140,1,,1,,
1,,dido_funnel_c _var1/Object3,0,"(-1.4672, 2.2524, 2.3722)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,140,,1,,
1,,dido_funnel_c _var1,180,"(-6.5500, 0.0000, 1.3000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,,,
2,,dido_funnel_c _var1,180,"(6.5500, 0.0000, 1.3000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,,,
# dido_funnel_c _var1_wide,,,,,,,,,,,,,,,,,
1,,dido_funnel_c _var1_wide/Object4,0,"(1.4672, 2.2524, 2.3722)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-140,1,,1,,
1,,dido_funnel_c _var1_wide/Object3,0,"(-1.4672, 2.2524, 2.3722)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,140,,1,,
1,,dido_funnel_c _var1_wide,180,"(-6.5500, 0.0000, 1.3000)",,,,,,,,,,,,,
2,,dido_funnel_c _var1_wide,180,"(6.5500, 0.0000, 1.3000)",,,,,,,,,,,,,
# dido_funnel_c _var2,,,,,,,,,,,,,,,,,
1,,dido_funnel_c _var2/Object2,0,"(1.4769, 4.0994, 2.4630)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-140,1,,1,,
1,,dido_funnel_c _var2/Object1,0,"(-1.4769, 4.0994, 2.4630)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-1,140,,1,,
1,,dido_funnel_c _var2,180,"(-6.5500, 0.0000, 1.3000)",side,barbette,,,,,,,,,,,
2,,dido_funnel_c _var2,180,"(6.5500, 0.0000, 1.3000)",side,barbette,,,,,,,,,,,
# dido_funnel_c,,,,,,,,,,,,,,,,,
1,,dido_funnel_c,180,"(-6.5500, 0.0000, 1.3000)",side,barbette,,,,,,,,,,,
2,,dido_funnel_c,180,"(6.5500, 0.0000, 1.3000)",side,barbette,,,,,,,,,,,
# dido_funnel_d,,,,,,,,,,,,,,,,,
# dido_funnel_e,,,,,,,,,,,,,,,,,
1,,dido_funnel_e,270,"(-3.0574, 4.1000, 2.7867)",side,barbette,,4,,,"ignore_parent,ignore_expand,ignore_collision_check",-45,87,,1,,
2,,dido_funnel_e,90,"(3.0574, 4.1000, 2.7867)",side,barbette,,4,,,"ignore_parent,ignore_expand,ignore_collision_check",-85,47,,1,,
# dido_funnel_f,,,,,,,,,,,,,,,,,
1,,dido_funnel_f,270,"(-6.0400, 0.0000, 2.1907)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
2,,dido_funnel_f,90,"(6.0400, 0.0000, 2.1907)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
3,,dido_funnel_f,270,"(-6.1700, 2.1000, -3.9200)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
4,,dido_funnel_f,90,"(6.1700, 2.1000, -3.9200)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
# dido_funnel_g,,,,,,,,,,,,,,,,,
1,,dido_funnel_g,0,"(-5.5500, 0.0000, -1.9416)",,si_barbette,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,,,
2,,dido_funnel_g,0,"(5.5500, 0.0000, -1.9416)",,si_barbette,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,,,
# dido_funnel_h,,,,,,,,,,,,,,,,,
# dido_funnel_i var,,,,,,,,,,,,,,,,,
# dido_funnel_i,,,,,,,,,,,,,,,,,
# dreadnought_funnel_a,,,,,,,,,,,,,,,,,
# dreadnought_funnel_b,,,,,,,,,,,,,,,,,
1,,dreadnought_funnel_b,90,"(3.8808, 3.1000, 0.0000)",,casemate,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
2,,dreadnought_funnel_b,270,"(-3.8808, 3.1000, 0.0000)",,casemate,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
# dreadnought_funnel_c,,,,,,,,,,,,,,,,,
# dreadnought_funnel_d,,,,,,,,,,,,,,,,,
# dreadnought_funnel_e,,,,,,,,,,,,,,,,,
# dreadnought_funnel_f,,,,,,,,,,,,,,,,,
# dreadnought_funnel_g,,,,,,,,,,,,,,,,,
1,,dreadnought_funnel_g,90,"(3.8808, 3.1000, 0.0000)",,casemate,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
2,,dreadnought_funnel_g,270,"(-3.8808, 3.1000, 0.0000)",,casemate,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,1,,
# emden_funnel_a,,,,,,,,,,,,,,,,,
