#id,"full human-readable ship's type, like ""Battleship""",similar classes (for names picks etc),relative power for various estimations,armor in mm,minimum belt armor (other armors zones can be zero) (-1 mean no limit),maximum belt armor (limits other zone too) (-1 mean no limit),speed min (estimation),speed limit (estimation),for ai fleet building: how large is part of this type in fleet?,"starting tonnage limit, before affect of techs, 0: can not build, -1: unlimited",optimal distance for shooting at enemy (ratio of max distance),controlled by ai always,hp = ... (see engine calculator),see before,see before,engine weight multiplier,main caliber range,seep prev,seconary caliber range,see prev,,,,stats requirements,additional params,,
cl,Light Cruiser,"dd, ca",16912500,2,0.5,6,17,40,29,3000,0.999,,1.059,2.25,0.001566,1.3,4,7,2,3,30,3.3,1.2,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","range_min(medium), smoke, gun_damage(-92.5), max_range(10000), range_min_modifier(0.5), armor_min_hint(6), , surv_min(Medium), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",0.34,0.306
dd,Destroyer,"cl, tb",5637500,1,0.1,1,26,45,34,850,0.999,,1.059,2.298,0.003306,1,3,5,2,2,27,1.5,1.05,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1), torpedo(1)","smoke, torpedo_damage(10), gun_damage(-85), max_range(8500), stat(fcap;-10000), range_min_modifier(0.5), armor_min_hint(1.05),  surv_min(Low), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",0.275,0.2475
tb,Torpedo Boat,"dd, cl",3946250,1,0.1,0.75,16,38,30,275,0.999,,1.059,2.298,0.003306,1,3,5,2,2,24,0.5,0.5,"tower_main(1;1), tower_sec(0;1), funnel(1), gun_main(1), torpedo(1)","smoke, torpedo_damage(10), gun_damage(-80), max_range(6500), range_min_modifier(0.5),  surv_min(Low), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",0,0
amc,Auxiliary Cruiser,,3946250,0,0,1,11,14,0,,,,,,,0,2,6,,,0,0,0,,no_build,0.941484375,0.847335938
tr,Transport,,2818750,0,0,0,11,14,0,,,+,0.6,3,0.0082,0.941484375,1,4,,,0,0,0,"tower_main(1;1), funnel(1)","random_tonnage_low, no_build, random_speed, random_range, random_surv, flee, protect, gun_damage(-50), torpedo_damage(+50), Special_Funnel, Special_Spec_Tower, max_range(9000), range_min_modifier(0.5)",0.67786875,0.610081875
ic,Ironclad,"bb, ca",20858750,4,1,5,5,10.5,0,,,,0.945,2.35,0.007,0.67786875,9,12,5,8,0,0,0,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","armor_min_hint(5.5), avoid_barrels(1), no_build,  gun_damage(-95), max_range(2200), range_min_modifier(0.5)",0.9,0.81
ss,Submarine,,,,,,,,15,,,,,,,,,,,,0,15,0,,no_build,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,engine calculator,,,,,,,,,,,,,,,,,,,,,,,,,,
#,name,val-1,val-2,comment,,,,,,,,,,,,,,,,,,,,,,,
#,speed,25,32,speed in knots,,,,,,,,,,,,,,,,,,,,,,,
#,tonnage,25000,45000,displacement,,,,,,,,,,,,,,,,,,,,,,,
#,hp=,2.44E+17,5.37E+18,hp = tonnage^shapeExpTonnage * speed^shapeExpSpeed * shapeMult,,,,,,,,,,,,,,,,,,,,,,,
#,weight=,2.22E+05,4.89E+06,weight = hp / hp_per_ton,,,,,,,,,,,,,,,,,,,,,,,
#,#shapeExpTonnage,#shapeExpSpeed,#shapeMult,#engineWeightMod,,,,,,,,,,,,,,,,,,,,,,,
#,1.08,2.6,0.00016,1.51,,,,,,,,,0.13,4.484,0.0053,1.11,,,,,,,,,,,
#,engine calculator 2,,,,,,,,,,,,,,,,,,,,,,,,,,
#,name,val-1,val-2,comment,,,,,,,,,,,,,,,,,,,,,,,
#,speed,25,32,speed in knots,,,,,,,,,,,,,,,,,,,,,,,
#,tonnage,25000,45000,displacement,,,,,,,,,,,,,,,,,,,,,,,
#,hp=,38773,138988,hp = tonnage^shapeExpTonnage * speed^shapeExpSpeed * shapeMult,,,,,,,,,,,,,,,,,,,,,,,
#,weight=,5321.24,19078.85,weight = hp / hp_per_ton,,,,,,,,,,,,,,,,,,,,,,,
