#id,enabled / disabled,name for ui,area id,who currently controls provice,,,,,,,original claim on province,is home province?,"type of province: home, country, colony (autogenerated)",position,position,url for google maps,economic development / value (0-10),port size (tonnage),population will be used for some military and economic calculations,,,,,,,,,The starting Defense Level of the province which will affect Naval Invasion Defense and Port Defense battles. When empty it is considered zero.,AI Nations that may trigger an attack mission on that province,Nations that may intervent to protect the province,If sea region is not properly supported the region may rebel according to this probability,Probability tha will be used for triggering the start of a battle,Minimum tonnage needed for supporting an attack to this province,If player attacks the province it may have a defending fleet autogenerated from this displacement value (Works only for neutral countries),comment,
@name,enabled,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,latitude,longitude,#posLink,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces,#Naval_Defense_Level,#Enemies,#Protectors,#Rebellion_Chance,#Naval_Invasion_Chance,#Min_Naval_Invasion_Displacement,#AverageFleetStrength,#comment,#comment2
british_antilles,,British Antilles,caribbean,antilles,antilles,antilles,antilles,antilles,antilles,antilles,antilles,,,13.268076,-62.171613,British Antilles,2.2,10000,115000,,,,,7,,,,,,,,,,,,
british_columbia,,British Columbia,alaska_gulf,canada,canada,canada,canada,canada,canada,canada,canada,,country,54.47343,-124.786656,British Columbia,2,25000,178657,,,,,,,,"northern_canada, central_usa, western_usa, canadian_prairies, southern_alaska",,,,,,,,,
british_east_africa,,British East Africa,indian_west,kenya,kenya,kenya,kenya,kenya,kenya,kenya,kenya,,,0.473046,37.938479,British East Africa,4,1000,1352000,,,,,,,,"italian_somaliland, ethiopia, south_sudan, uganda, tanganyika",,,,,,,,,
british_guiana,,British Guiana,caribbean,guyana,guyana,guyana,guyana,guyana,guyana,guyana,guyana,,,4.746782,-58.992483,British Guiana,4,3000,300000,,,,,7,,,"venezuela, suriname, north_brazil",,,,,,,,,
british_honduras,,Guatemala,s_am_west,british_honduras,british_honduras,british_honduras,british_honduras,british_honduras,british_honduras,british_honduras,british_honduras,,,15.49025241,-90.35360601,Guatemala,3.2,15000,1250000,,,,,7,,,"eastern_mexico, southwest_mexico, honduras, belize, el_salvador",,,,,,,,,
british_somaliland,,British Somaliland,arabian_sea,somalia,somalia,somalia,somalia,somalia,somalia,somalia,somalia,,,9.105611,46.50841,British Somaliland,2,12000,300000,1930,4,400,100,,,,"djibouti, italian_somaliland, ethiopia",,,,,,,,,
brunei,,Brunei,se_asia,brunei,brunei,brunei,brunei,brunei,brunei,brunei,brunei,,,4.14049,114.442649,Brunei,2.7,1000,22000,1897,10,600,500,,,,"sarawak, north_borneo",,,,,,,,,
bulgaria,,Bulgaria,b_sea,bulgaria,bulgaria,bulgaria,bulgaria,bulgaria,bulgaria,bulgaria,bulgaria,,country,43.246367,25.625711,Bulgaria,3.2,10000,4744300,1930,5,150,100,7,0.045,,"eastern_rumelia, romania, serbia, central_balkans",,,,,,,,,
burma,,Burma,benghal_sea,burma,burma,burma,burma,burma,burma,burma,burma,,,21.911151,96.023288,Burma,5,1000,14667001,1890,100,900,500,,,,"bangladesh, laos, southern_china, thailand, north-east_frontier, eastern_india",,,,,,,,,
burundi,,Burundi,indian_west,rwanda,rwanda,rwanda,rwanda,rwanda,rwanda,rwanda,rwanda,,,-3.289919734,29.93494241,Burundi,1.1,1000,775000,1930,1,100,70,,,,"rwanda, congo_free_state, tanganyika",,,,,,,,,
cambodia,,Cambodia,se_asia,cambodia,cambodia,cambodia,cambodia,cambodia,cambodia,cambodia,cambodia,,,12.668126,105.037111,Cambodia,4.5,15000,1103000,1925,1,200,100,7,,,"cochinchina, annam, thailand, laos",,,,,,,,,
cameroon,,Cameroon,w_africa,cameroon,cameroon,cameroon,cameroon,cameroon,cameroon,cameroon,cameroon,,,4.644885,12.662672,Cameroon,4,25000,3500000,1930,4,175,75,7,,,"equatorial_guinea, central_african_republic, chad, nigeria, middle_congo, gabon",,,,,,,,,
canadian_prairies,,Canadian Prairies,n_am_east,canada,canada,canada,canada,canada,canada,canada,canada,,country,52.27037292,-106.0367497,Canadian Prairies,2.5,100000,510000,1890,100,550,1200,,,,"central_usa, maine, british_columbia, central_canada, northern_canada",,,,,,,,,
canary_islands,,Canary Islands,n_atlantic,canary_islands,canary_islands,canary_islands,canary_islands,canary_islands,canary_islands,canary_islands,canary_islands,,,29.210293,-15.176735,Canary Islands,2.9,12000,364408,,,,,,,,,,,,,,,,,
cape_verde,,Cape Verde,c_atlantic,cape_verde,cape_verde,cape_verde,cape_verde,cape_verde,cape_verde,cape_verde,cape_verde,,,15.837768,-23.799824,Cape Verde,2,7500,140000,,,,,,,,,,,,,,,,,
caroline_islands,,Caroline Islands,oceania_north,caroline_islands,caroline_islands,caroline_islands,caroline_islands,caroline_islands,caroline_islands,caroline_islands,caroline_islands,,,7.122381,143.752726,Caroline Islands,2,15000,36000,1925,1,150,100,,,,,,,,,,,,,
cayman_islands,,Cayman Islands,caribbean,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,,,19.92635,-80.799475,Cayman Islands,0.2,10000,5000,,,,,7,,,,,,,,,,,,
central_african_republic,,Central African Republic,w_africa,central_african_republic,central_african_republic,central_african_republic,central_african_republic,central_african_republic,central_african_republic,central_african_republic,central_african_republic,,country,6.221066,20.683768,Central African Republic,2.2,0,559000,,,,,7,,,"chad, cameroon, congo_free_state, sudan, south_sudan, middle_congo",,,,,,,,,
central_balkans,,Central Balkans,adriatic,serbia,serbia,serbia,serbia,serbia,serbia,serbia,serbia,,,41.56,21.75232,Central Balkans,3.5,0,790000,,,,,7,0.02,2.5,"northern_greece, bulgaria, eastern_rumelia, serbia, albania, kosovo",,,,,,,,,
central_canada,,Central Canada,n_am_east,canada,canada,canada,canada,canada,canada,canada,canada,,country,53.56150359,-74.58722301,Central Canada,7.5,100000,3046049,,,,,,,,"central_usa, eastern_usa, maine, new_brunswick, new_foundland, canadian_prairies",,,,,,,,,
central_china,,Central China,east_asia,china,china,china,china,china,china,china,china,1,home,34.48837657,104.079865,Central China,10,0,36800000,1930,1,200,1000,7,0.015,,"northern_china, northeast_china, eastern_china, tibet, xinjiang, southern_china",,,,,,,,,
central_italy,,Central Italy,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,42.83508651,12.16721204,Central Italy,24,80000,10500000,,,,,7,0.03,,"northwest_italy, northeast_italy, southern_italy",,,,,,,,,
central_russia,,Central Russia,baltic,russia,russia,russia,russia,russia,russia,russia,russia,1,home,57.846953,44.563778,Central Russia,12,150000,26188040,1925,15,2500,2500,7,0.03,3,"southern_finland, esthonia, latvia, belarus, ukraine, southern_russia, siberian_russia, kazakhstan, northern_russia",,,,,,,,,
central_usa,,Central USA,n_am_west,usa,usa,usa,usa,usa,usa,usa,usa,1,home,38.701968,-97.933502,Central USA,9,0,10136222,1890,100,1000,500,7,,,"canadian_prairies, southeastern_seaboard, western_usa, gulf_coast, eastern_usa, british_columbia, central_canada",,,,,,,,,
ceylon,,Ceylon,benghal_sea,ceylon,ceylon,ceylon,ceylon,ceylon,ceylon,ceylon,ceylon,,,7.581089,80.763819,Ceylon,4.2,1000,3912000,,,,,,,,,,,,,,,,,
chad,,Chad,w_africa,chad,chad,chad,chad,chad,chad,chad,chad,,country,14.38658,18.606495,Chad,2.5,0,675000,,,,,7,,,"fezzan-ghadames, cyrenaica, niger, nigeria, cameroon, central_african_republic, sudan",,,,,,,,,
chile,,Chile,s_am_west,chile,chile,chile,chile,chile,chile,chile,chile,,country,-27.124404,-70.257107,Chile,6,4000,3110100,1925,2,200,100,7,0.03,,"argentina, bolivia, peru",,,,,,,,,
cochinchina,,Cochinchina,se_asia,south_vietnam,south_vietnam,south_vietnam,south_vietnam,south_vietnam,south_vietnam,south_vietnam,south_vietnam,,,10.353369,106.021253,Cochinchina,6,45000,2968500,1925,2,400,200,,,,"cambodia, annam",,,,,,,,,
comoros,,Comoros,indian_west,comoros,comoros,comoros,comoros,comoros,comoros,comoros,comoros,,,-13.583873,43.810785,Comoros,1.4,3000,112000,,,,,,,,,,,,,,,,,
congo_free_state,,Congo Free State,w_africa,zaire,zaire,zaire,zaire,zaire,zaire,zaire,zaire,,,-3.71532,23.676722,Congo Free State,6.7,5000,4103000,,,,,7,0.0013,,"central_african_republic, middle_congo, angola, northern_rhodesia, tanganyika, uganda, south_sudan, portuguese_congo, rwanda, burundi",,,,,,,,,
cook_islands,,Cook Islands,s_pacific,cook_islands,cook_islands,cook_islands,cook_islands,cook_islands,cook_islands,cook_islands,cook_islands,,,-21.701303,-159.296225,Cook Islands,0.5,10000,6000,,,,,,,,,,,,,,,,,
corsica,,Corsica,medit2,corsica,corsica,corsica,corsica,corsica,corsica,corsica,corsica,,,42.13862,9.070584,Corsica,2,4000,165000,,,,,,,,,,,,,,,,,
costa_rica,,Costa Rica,caribbean,costa_rica,costa_rica,costa_rica,costa_rica,costa_rica,costa_rica,costa_rica,costa_rica,,country,9.332035,-83.749223,Costa Rica,5,25000,341600,,,,,7,,,"panama, nicaragua",,,,,,,,,
crete,,Crete,aegean,greece,ottoman,greece,greece,greece,greece,greece,greece,,country,35.12040473,25.07349266,Crete,3,35000,215000,1930,2,200,100,33,0.06,8,,,,,,,,,,
crimaia,,Crimea,b_sea,russia,russia,russia,russia,ukraine,russia,russia,ukraine,1,home,45.452016,34.16650972,Crimea,5,90000,1145300,1930,1,900,200,7,0.03,,"ukraine, southern_russia",,,,,,,,,
croatia,,Croatia,adriatic,austria,austria,austria,austria,austria,austria,austria,croatia,1,home,44.90430851,15.18225804,Croatia,12.5,120000,3295100,,,,,7,0.05,,"hungary, slovenia, serbia, montenegro, bosnia_&_herzegovina",,,,,,,,,
cuba,,Cuba,caribbean,cuba,cuba,cuba,cuba,cuba,cuba,cuba,cuba,,,21.993051,-79.10099,Cuba,10,75000,1600000,,,,,7,,,guantanamo,,,,,,,,,
cyprus,,Cyprus,medit,cyprus,cyprus,cyprus,cyprus,cyprus,cyprus,cyprus,cyprus,,,35.143466,33.380997,Cyprus,3,25000,240000,,,,,6,,3,,,,,,,,,,
cyrenaica,,Cyrenaica,medit3,libya,libya,libya,libya,libya,libya,libya,libya,,,28.56369149,20.81886929,Cyrenaica,3.5,25000,425075,1925,10,1100,1000,15,0.03,1.5,"north_egypt, south_egypt, sudan, chad, tripolitania, fezzan-ghadames",,,,,,,,,
dahomey,,Dahomey,w_africa,dahomey,dahomey,dahomey,dahomey,dahomey,dahomey,dahomey,dahomey,,,9.22796,2.357078,Dahomey,4,7000,570000,,,,,7,,,"togoland, nigeria, upper_volta, niger",,,,,,,,,
dardanelles,,Dardanelles,aegean,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,,country,40.76443987,26.86240145,Dardanelles,2,80000,900000,,,,,,0.03,,"bosporus, western_turkey, northern_greece",,,,,,,,,
djibouti,,Djibouti,arabian_sea,djibouti,djibouti,djibouti,djibouti,djibouti,djibouti,djibouti,djibouti,,,12.320486,42.858115,Djibouti,4,1000,50000,1930,5,350,100,,,,"eritrea, ethiopia, british_somaliland",,,,,,,,,
dodecanese,,Dodecanese,aegean,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,greece,,,36.852821,27.456302,Dodecanese,2,20000,55000,,,,,,0.03,6,,,,,,,,,,
dominican_republic,,Dominican Republic,caribbean,dominican_republic,dominican_republic,dominican_republic,dominican_republic,dominican_republic,dominican_republic,dominican_republic,dominican_republic,,country,18.983051,-69.329663,Dominican Republic,6,15000,600000,,,,,7,,,haiti,,,,,,,,,
dutch_antilles,,Dutch Antilles,caribbean,antilles,antilles,antilles,antilles,antilles,antilles,antilles,antilles,,,12.635553,-69.056792,Dutch Antilles,3,15000,44000,,,,,,,,,,,,,,,,,
dutch_new_guinea,,Dutch New Guinea,oceania_north,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,dutch_new_guinea,,,-4.173979,137.132256,Dutch New Guinea,5,3000,333387,1930,5,600,500,,,,"territory_of_papua, german_new_guinea",,,,,,,,,
east_greenland,,East Greenland,denmark_strait,greenland,greenland,greenland,greenland,greenland,greenland,greenland,greenland,,,71.82901246,-32.58384083,East Greenland,0.5,7000,7000,1920,1,900,500,,,,west_greenland,,,,,,,,,
east_phillipinnes,,East Philippines,philip_sea,phillipinnes,phillipinnes,phillipinnes,phillipinnes,phillipinnes,phillipinnes,phillipinnes,phillipinnes,,,13.15335844,124.7477804,East Philippines,4,35000,10990030,1895,4,100,100,7,,,,,,,,,,,,
easter_island,,Easter Island,s_pacific,chile,chile,chile,chile,chile,chile,chile,chile,,country,-26.843536,-109.396183,Easter Island,0.1,6000,900,,,,,,,,,,,,,,,,,
eastern__samoa,,Eastern  Samoa,s_pacific,samoa,samoa,samoa,samoa,samoa,samoa,samoa,samoa,,country,-13.591072,-170.0965,Eastern  Samoa,0.7,5000,37000,,,,,,,,,,,,,,,,,
eastern_aleutians,,Eastern Aleutians,alaska_gulf,eastern_aleutians,eastern_aleutians,eastern_aleutians,eastern_aleutians,eastern_aleutians,eastern_aleutians,eastern_aleutians,eastern_aleutians,,,55.153152,-162.479952,Eastern Aleutians,1.5,20000,1200,1925,2,400,100,,,,southern_alaska,,,,,,,,,
eastern_australia,,Eastern Australia,oceania_south,australia,australia,australia,australia,australia,australia,australia,australia,1,home,-29.350863,145.969211,Eastern Australia,3,20000,1135710,1920,5,525,250,,,,"western_australia, northern_australia",,,,,,,,,
eastern_china,,Eastern China,east_asia,china,china,china,china,china,china,china,china,1,home,31.87044654,116.871696,Eastern China,25,120000,115200000,1890,100,2000,2000,7,0.015,,"northeast_china, central_china, southern_china",,,,,,,,,
eastern_denmark,,Eastern Denmark,baltic,denmark,denmark,denmark,denmark,denmark,denmark,denmark,denmark,,country,55.36119079,11.36124201,Eastern Denmark,5,40000,1430000,1925,2,200,100,5,0.03,4,"eastern_germany, western_denmark",,,,,,,,,
eastern_england,,Eastern England,n_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,52.37844802,0.403302374,Eastern England,17,120000,7442865,1890,100,550,500,7,0.03,,"north_west_england, wales, southern_england, north_east_england",,,,,,,,,
eastern_germany,,Eastern Germany,baltic,germany,germany,germany,germany,germany,germany,germany,germany,1,home,52.585946,12.054444,Eastern Germany,34,180000,12400780,1925,5,500,100,7,0.03,3,"western_germany, southern_germany, bohemia-moravia, poland, eastern_denmark, western_denmark",,,,,,,,,
eastern_gilbert_&_ellice_islands,,Eastern Gilbert & Ellice Islands,s_pacific,kiribati,kiribati,kiribati,kiribati,kiribati,kiribati,kiribati,kiribati,,,2.875893,-158.624186,Eastern Gilbert & Ellice Islands,1,5000,5000,,,,,,,,,,,,,,,,,
eastern_india,,Eastern India,benghal_sea,india,india,india,india,india,india,india,india,,,21.49078192,82.53696256,Eastern India,12,80000,86500000,1890,100,550,1000,15,,,"western_india, bangladesh, northern_india, north-east_frontier, nepal, burma, tibet, bhutan",,,,,,,,,
eastern_mexico,,Southeast Mexico,mex_coast,mexico,mexico,mexico,mexico,mexico,mexico,mexico,mexico,,country,18.91186548,-96.44896115,Southeast Mexico,6.5,25000,5000000,1925,5,900,500,7,,,"western_mexico, northeast_mexico, british_honduras, belize, southwest_mexico",,,,,,,,,
eastern_poland,,Eastern Poland,baltic,russia,russia,russia,russia,poland,poland,poland,poland,1,home,51.73203674,21.36168578,Eastern Poland,10,0,5575280,,,,,,0.03,,"poland, prussia, belarus, ukraine, galicia, bohemia-moravia, lithuania",,,,,,,,,
eastern_rumelia,,Eastern Rumelia,b_sea,ottoman,ottoman,ottoman,bulgaria,bulgaria,bulgaria,bulgaria,bulgaria,,,42,24.84827,Eastern Rumelia,3.3,10000,975030,,,,,7,0.045,,"bulgaria, central_balkans, northern_greece, bosporus",,,,,,,,,
eastern_siberia,,Eastern Siberia,bering_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,66.18572968,133.4147465,Eastern Siberia,0.4,0,35000,1930,1,1000,500,,,5,"kamchatka, siberian_russia, southern_siberia",,,,,,,,,
eastern_sicily,,Eastern Sicily,medit3,italy,italy,italy,italy,italy,italy,italy,italy,1,home,37.11674381,14.54117936,Eastern Sicily,7,45000,2300000,1930,2,100,60,,0.03,,western_sicily,,,,,,,,,
eastern_sweden,,Eastern Sweden,baltic,sweden,sweden,sweden,sweden,sweden,sweden,sweden,sweden,,country,61.882353,16.672607,Eastern Sweden,6,75000,1245500,,,,,7,0.039,3,"western_sweden, northern_norway, southern_norway, northern_finland",,,,,,,,,
eastern_turkey,,Eastern Turkey,b_sea,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,,country,39.72015569,39.63019097,Eastern Turkey,9,80000,1500000,1930,1,150,100,6,0.12,,"northern_turkey, southern_turkey, syria, georgia, armenia, persia, iraq",,,,,,,,,
eastern_usa,,Eastern USA,n_am_east,usa,usa,usa,usa,usa,usa,usa,usa,1,home,42.264602,-75.590955,Eastern USA,15.5,120000,22863660,1890,100,950,350,,0.03,,"maine, southeastern_seaboard, central_canada, central_usa",,,,,,,,,
ecuador,,Ecuador,s_am_west,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,,country,-1.487017,-78.526685,Ecuador,5.2,3000,1271900,1917,5,300,400,7,,,"peru, southern_colombia",,,,,,,,,
el_salvador,,El Salvador,s_am_west,salvador_c,salvador_c,salvador_c,salvador_c,salvador_c,salvador_c,salvador_c,salvador_c,,country,13.71863979,-88.85694571,El Salvador,1.4,15000,655000,,,,,7,,,"british_honduras, honduras",,,,,,,,,
equatorial_guinea,,Equatorial Guinea,w_africa,equatorial_guinea,equatorial_guinea,equatorial_guinea,equatorial_guinea,equatorial_guinea,equatorial_guinea,equatorial_guinea,equatorial_guinea,,,1.313373,10.651782,Equatorial Guinea,4,6000,150000,,,,,7,,,"cameroon, gabon",,,,,,,,,
eritrea,,Eritrea,red_sea,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,eritrea,,country,16.160361,37.217545,Eritrea,3,3000,220000,1930,5,400,100,,,,"djibouti, sudan, ethiopia",,,,,,,,,
esthonia,,Estonia,baltic,russia,russia,russia,russia,esthonia,esthonia,esthonia,esthonia,1,home,58.65361436,25.85405938,Estonia,2.5,120000,1058100,,,,,5,0.03,,"latvia, central_russia",,,,,,,,,
ethiopia,,Ethiopia,arabian_sea,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,ethiopia,,country,8.061822,39.379325,Ethiopia,5,0,12180600,,,,,7,,,"eritrea, djibouti, british_somaliland, italian_somaliland, british_east_africa, sudan, south_sudan",,,,,,,,,
falkland_islands,,Falkland Islands,s_am_east,argentina,argentina,argentina,argentina,argentina,argentina,argentina,argentina,,,-52.09796,-59.623232,Falkland Islands,0.2,30000,2300,1925,1,160,100,,,,,,,,,,,,,
faroe_islands,,Faroe Islands,n_sea,denmark,denmark,denmark,denmark,denmark,denmark,denmark,denmark,,,62.14601787,-6.983874157,Faroe Islands,0.25,10000,15000,,,,,0.01,0.03,4,,,,,,,,,,
fezzan-ghadames,,Fezzan-Ghadames,medit3,libya,libya,libya,libya,libya,libya,libya,libya,,,26.43145908,13.71920212,Fezzan-Ghadames,2,25000,125070,1925,7,750,1000,15,0.03,1.5,"tripolitania, cyrenaica, chad, niger, southern_algeria",,,,,,,,,
fiji,,Fiji,s_pacific,fiji,fiji,fiji,fiji,fiji,fiji,fiji,fiji,,,-17.166813,178.289681,Fiji,1.8,15000,125000,,,,,,,,,,,,,,,,,
formosa,,Formosa,east_asia,taiwan,taiwan,taiwan,taiwan,taiwan,taiwan,taiwan,taiwan,,,23.918049,121.180152,Formosa,7,17000,2758161,,,,,,,,,,,,,,,,,
