name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
engine_boiler_14,engine_boiler,,$technology_name_engine_boiler_14,1930,1,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_15,engine_boiler,,$technology_name_engine_boiler_15,1940,1,37,stat(fcap;5),,,$technology_desc_engine_boiler_10,,,
engine_boiler_16,engine_boiler,,$technology_name_engine_boiler_16,1891,,37,boiler(2.5),,,$technology_desc_engine_boiler_16,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_17,engine_boiler,,$technology_name_engine_boiler_17,1896,1,37,"boiler(2.5), fuel(2.5), fuel_eff(3)",,,$technology_desc_engine_boiler_17,"A device which saves energy by using the exhaust gases from the boiler to preheat the cold water. *Boilers weight -2.5%, Fuel consumption -2.5%*",,
engine_boiler_18,engine_boiler,,$technology_name_engine_boiler_18,1904,1,37,"boiler(2.5), fuel(2.5), fuel_eff(2)",,,$technology_desc_engine_boiler_18,"An improved economizer mechanism for boilers. *Boilers weight -2.5%, Fuel consumption -2.5%*",,
engine_boiler_19,engine_boiler,,$technology_name_engine_boiler_19,1905,1,37,"boiler(2.5), fuel(2.5)",,,$technology_desc_engine_boiler_19,"Improved boiler in which the water flows and becomes superheated steam, without recirculation. *Boilers weight -2.5%, Fuel consumption -2.5%*",,
engine_boiler_20,engine_boiler,,$technology_name_engine_boiler_20,1918,1,37,"boiler(2.5), fuel(2.5)",,,$technology_desc_engine_boiler_20,"New type of boilers that are lighter and more efficient. ""Boilers weight -2.5%, Fuel consumption -2.5""",,
engine_boiler_21,engine_boiler,,$technology_name_engine_boiler_21,1925,1,37,boiler(5),,,$technology_desc_engine_boiler_21,"Ship machinery of new technology reduces overall weight of compartments without affecting performance. ""Boilers weight -5%""",,
engine_boiler_22,engine_boiler,,$technology_name_engine_boiler_22,1930,1,37,"boiler(3), fuel(5)",,,$technology_desc_engine_boiler_22,"A pump is used to circulate water inside the boiler increasing its heat performance. *Boilers weight -3%, Fuel consumption -5%* ",,
engine_boiler_23,engine_boiler,,$technology_name_engine_boiler_23,1891,1,37,unlockpart(smallearlyfunnels_level_2),,,$technology_desc_engine_boiler_23,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_24,engine_boiler,,$technology_name_engine_boiler_24,1894,1,37,unlockpart(smallearlyfunnels_level_3),,,$technology_desc_engine_boiler_24,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_25,engine_boiler,,$technology_name_engine_boiler_25,1892,1,37,unlockpart(mediumearlyfunnels_level_2),,,$technology_desc_engine_boiler_25,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_26,engine_boiler,,$technology_name_engine_boiler_26,1896,1,37,unlockpart(mediumearlyfunnels_level_3),,,$technology_desc_engine_boiler_26,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_27,engine_boiler,,$technology_name_engine_boiler_27,1893,1,37,unlockpart(bigearlyfunnels_level_2),,,$technology_desc_engine_boiler_27,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_28,engine_boiler,,$technology_name_engine_boiler_28,1900,1,37,unlockpart(bigearlyfunnels_level_3),,,$technology_desc_engine_boiler_28,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_29,engine_boiler,,$technology_name_engine_boiler_29,1917,1,37,unlockpart(biglatefunnels_level_2),,,$technology_desc_engine_boiler_28,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_30,engine_boiler,,$technology_name_engine_boiler_30,1925,1,37,unlockpart(biglatefunnels_level_3),,,$technology_desc_engine_boiler_28,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_31,engine_boiler,,$technology_name_engine_boiler_31,1932,1,37,unlockpart(biglatefunnels_level_4),,,$technology_desc_engine_boiler_28,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_32,engine_boiler,,$technology_name_engine_boiler_32,1902,1,37,unlockpart(earlyDDfunnels_level_2),,,$technology_desc_engine_boiler_32,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_33,engine_boiler,,$technology_name_engine_boiler_33,1904,1,37,unlockpart(earlyDDfunnels_level_3),,,$technology_desc_engine_boiler_33,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_34,engine_boiler,,$technology_name_engine_boiler_34,1911,1,37,unlockpart(lateDDfunnels_level_2),,,$technology_desc_engine_boiler_33,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_35,engine_boiler,,$technology_name_engine_boiler_35,1919,1,37,unlockpart(lateDDfunnels_level_3),,,$technology_desc_engine_boiler_33,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_36,engine_boiler,,$technology_name_engine_boiler_36,1929,1,37,unlockpart(lateDDfunnels_level_4),,,$technology_desc_engine_boiler_33,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_37,engine_boiler,,$technology_name_engine_boiler_37,1902,1,37,unlockpart(earlydreadnoughtfunnels_level_2),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_38,engine_boiler,,$technology_name_engine_boiler_38,1905,1,37,unlockpart(earlydreadnoughtfunnels_level_3),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_39,engine_boiler,,$technology_name_engine_boiler_39,1909,1,37,unlockpart(earlydreadnoughtfunnels_level_4),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_40,engine_boiler,,$technology_name_engine_boiler_40,1916,1,37,unlockpart(late_BB_funnels_level_2),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_41,engine_boiler,,$technology_name_engine_boiler_41,1925,1,37,unlockpart(late_BB_funnels_level_3),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_42,engine_boiler,,$technology_name_engine_boiler_42,1934,1,37,unlockpart(late_BB_funnels_level_4),,,$technology_desc_engine_boiler_34,Boilers are made lighter without losing heat efficiency. *Boilers weight -2.5%*,,
engine_boiler_end,engine_boiler,,$technology_name_engine_boiler_end,1950,3,120,"end, boiler(0.5), fuel(1), stat(smoke;-1), fuel_eff(0.5), stat(fcap;0.5)",,,$technology_desc_engine_boiler_end,"A pump is used to circulate water inside the boiler increasing its heat performance. *Boilers weight -3%, Fuel consumption -5%* ",,
# $techType_name_engine_special,engine_special,,,,,,,,,,,,
engine_special_1,engine_special,,$technology_name_engine_special_1,1890,,63,"start, default_component",steering_gear_0,,$technology_desc_engine_special_1,,,
engine_special_2,engine_special,,$technology_name_engine_special_2,1897,1,63,"turning(6.5), turning_change(7.5), stat(turn;-2.5), hull(-1.25), engine_c(-12.5), cost(hull;-1.5)",steering_gear_1,,$technology_desc_engine_special_2,,,
engine_special_3,engine_special,,$technology_name_engine_special_3,1905,1,63,"turning(10.5), turning_change(13.5), stat(turn;-5), engine_c(-35),  hull(-0.5), module_repair(-5), pump(-5), gun_rotation(-5), module_repair_engine(-5), flaws(-2.5), cost(hull;-2)",steering_gear_2,,$technology_desc_engine_special_3,,,
engine_special_4,engine_special,,$technology_name_engine_special_4,1907,1,63,"turning(12.5), turning_change(16), stat(turn;-7.5), engine_c(-75),  hull(-4), flaws(-5), cost(hull;-2.5)",steering_gear_3,,$technology_desc_engine_special_4,,,
engine_special_5,engine_special,,$technology_name_engine_special_5,1915,1,63,"turning(15.5), turning_change(22.5), stat(turn;-10), engine_c(-125),  hull(-1.35), module_repair(-7.5), pump(-7.5), gun_rotation(-7.5), module_repair_engine(-7.5), flash(-5.5), flaws(-7.5), cost(hull;-3.5)",steering_gear_4,,$technology_desc_engine_special_5,,,
engine_special_6,engine_special,,$technology_name_engine_special_6,1921,1,63,"turning(11.5), turning_change(18.5), stat(turn;-8.5), engine_c(-170),  hull(-5), flaws(-10), cost(hull;-4.5)",steering_gear_5,,$technology_desc_engine_special_6,,,
engine_special_7,engine_special,,$technology_name_engine_special_7,1891,,63,engine(4),,,$technology_desc_engine_special_7,Lighter engine compartments produce the same power output. *Engine weight -4%*,,
engine_special_8,engine_special,,$technology_name_engine_special_8,1927,1,63,"accel(5), engine_r(5)",,,$technology_desc_engine_special_8,"Improved reduction gears make less probable the loss of ship's performance in harsh combat situations. ""Increases Acceleration +5%, Reduces impact of engine damage -10%*""",,
engine_special_9,engine_special,,$technology_name_engine_special_9,1930,1,63,"accel(5), engine_r(5)",,,$technology_desc_engine_special_9,,,
engine_special_10,engine_special,,$technology_name_engine_special_10,1903,1,63,"engine(-5), fuel(-2), engine_c(-50), module_repair(15), engine_r(10), pump(15), gun_rotation(2), turning(5), turning_change(5), module_repair_engine(10), engine_vibrations(-5), fuel_eff(-2.5), cost(hull;-2.5)",aux_engine_1,,$technology_desc_engine_special_10,"An auxiliary marine engine which uses petrol as fuel helps to keep the ship operational when main engine is down. *Reduces impact of engine damage -5%, Improves Water Pumping +10%, Improves Repairs +5%, Increases engine weight +2%*",,
engine_special_11,engine_special,,$technology_name_engine_special_11,1909,1,63,"engine(-10), fuel(-4), engine_c(-50), module_repair(25), engine_r(17.5), pump(20), gun_rotation(4), turning(7.5), turning_change(10), module_repair_engine(20), engine_vibrations(-10), fuel_eff(-3.5), cost(hull;-5)",aux_engine_2,,$technology_desc_engine_special_11,"Diesel engines can now be used in warships as auxiliary systems. *Reduces impact of engine damage -10%, Improves Water Pumping +10%, Improves Repairs +10%, Increases engine weight +4%*",,
engine_special_12,engine_special,,$technology_name_engine_special_12,1916,1,63,"engine(-25), hull(-1.25), cost(hull;-10), engine_c(-100), module_repair(40), engine_r(30), pump(30), accel(15), turning(15), turning_change(25), gun_rotation(7.5), module_repair_engine(50), flaws(-5), fuel_eff(5), cost(hull;-7.5)",aux_engine_3,,$technology_desc_engine_special_12,"The presence of turbo electric machinery improves fuel consumption and ship's maneuvrability while maintaining electrical systems operational even during engine failure. *Increases Acceleration +5%, Reduces impact of engine damage -20%, Improves Water Pumping +20%, Improves Repairs +20%, Increases engine weight +8%*",,
engine_special_13,engine_special,,$technology_name_engine_special_13,1925,1,63,"engine(-20), hull(-1.75), cost(hull;-15), engine_c(-120), module_repair(42.5), engine_r(33), pump(30), accel(20), turning(17.5), turning_change(27.5), gun_rotation(8), module_repair_engine(52.5), flaws(-7.5), fuel_eff(10), cost(hull;-10)",aux_engine_4,,$technology_desc_engine_special_13,"The presence of turbo electric machinery improves fuel consumption and ship's maneuvrability while maintaining electrical systems operational even during engine failure. *Increases Acceleration +5%, Reduces impact of engine damage -20%, Improves Water Pumping +20%, Improves Repairs +20%, Increases engine weight +8%*",,
engine_special_14,engine_special,,$technology_name_engine_special_14,1935,1,63,"engine(-30), hull(-2.5), cost(hull;-20), engine_c(-170), module_repair(55), engine_r(55), pump(34.5), accel(22.5), turning(19.5), turning_change(32.5), gun_rotation(10), module_repair_engine(60), flaws(-10), fuel_eff(2.5), cost(hull;-12.5)",aux_engine_5,,$technology_desc_engine_special_14,"The presence of turbo electric machinery improves fuel consumption and ship's maneuvrability while maintaining electrical systems operational even during engine failure. *Increases Acceleration +5%, Reduces impact of engine damage -20%, Improves Water Pumping +20%, Improves Repairs +20%, Increases engine weight +8%*",,
engine_special_23,engine_special,,Single Propeller,1890,,63,"start, accel(-5), engine_c(5), turning(5), engine_r(-10), hull(2), engine_vibrations(-2), module_repair_engine(-3)",prop_1,,"The ship is propelled by a single centerline propeller. This is the cheapest option, but means that any damage to the propeller can lead to a total loss of propulsion, and mounting a propeller on the centerline of a ship can lead to unintended problems.",,,
engine_special_24,engine_special,,Twin Propellers,1890,,63,"start, default_component",prop_2,,"The ship is propelled by two propellers, one on each side of the ship. This provides redundancy in the event that the ship receives damage to one of it's propellers.",,,
engine_special_25,engine_special,,Triple Propellers,1899,1,63,"accel(5), engine_c(-5), turning(5), engine_r(5), hull(-3), engine_vibrations(-5), module_repair_engine(3), flaws(-2)",prop_3,,"The ship is propelled by three propellers, one on each side of the ship and one on the centerline. This is the theoretically perfect shaft arrangement, but mounting a propeller on the centerline of a ship can lead to unintended problems.",,,
engine_special_26,engine_special,,Quadruple Propeller,1904,1,63,"accel(10), engine_c(-10), engine_r(10), hull(-5), module_repair_engine(5), stat(hull_form;2.5)",prop_4,,"The ship is propelled by four propellers, two on each side of the ship. This is the arrangement used for most large ships due to the high redundancy and high efficiency.",,,
engine_special_15,engine_special,,$technology_name_engine_special_15,1906,1,63,"engine(-3), hull(-1), cost(hull;-4), engine_c(-15), accel(5), turning(10), engine_r(10), module_repair_engine(5)",drive_shaft_1,,$technology_desc_engine_special_15,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +2.5%, Ship's Turning Speed +2.5%, Reduces impact of engine damage -5%, Increases engine weight +1%""",,
engine_special_16,engine_special,,$technology_name_engine_special_16,1912,1,63,"engine(-6), hull(-2), cost(hull;-6), engine_c(-30), accel(10), turning(15), engine_r(15), module_repair_engine(10)",drive_shaft_2,,$technology_desc_engine_special_15,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +5%, Ship's Turning Speed +5%, Reduces impact of engine damage -10%, Increases engine weight +2%""",,
engine_special_17,engine_special,,$technology_name_engine_special_17,1919,1,63,"engine(-10), hull(-2.5), cost(hull;-9),  engine_c(-40), accel(15), turning(20), engine_r(20), module_repair_engine(15), flaws(-4)",drive_shaft_3,,$technology_desc_engine_special_15,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_18,engine_special,,$technology_name_engine_special_18,1929,1,63,"engine(-15), hull(-3.5), cost(hull;-13), engine_c(-50), accel(20), turning(25), engine_r(30), module_repair_engine(20), flaws(-6)",drive_shaft_4,,$technology_desc_engine_special_15,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_19,engine_special,,$technology_name_engine_special_19,1939,1,63,"engine(-20), hull(-4.5), cost(hull;-18.5), engine_c(-60), accel(25), turning(30), engine_r(40), module_repair_engine(30), flaws(-8)",drive_shaft_5,,$technology_desc_engine_special_17,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_20,engine_special,,$component_name_short_boiler_4,1890,0,63,"start, engine(0.75), accel(2.5), turning(-15), turning_change(20), stat(turn;12.5), rudder_max(15)",rudder_0,,$technology_desc_engine_special_20,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_21,engine_special,,$component_name_short_rudder_1,1890,0,63,"start, default_component",rudder_1,,$technology_desc_engine_special_21,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_22,engine_special,,$component_name_short_rudder_2,1890,0,63,"start, engine(-0.75), accel(-2.5), turning(15), turning_change(-20), stat(turn;-12.5), rudder_max(-15)",rudder_2,,$technology_desc_engine_special_22,"A more durable drive shaft of better shape design benefits the propulsion system. *Ship acceleration +7.5%, Ship's Turning Speed +7.5%, Reduces impact of engine damage -15%, Increases engine weight +3%""",,
engine_special_end,engine_special,,$technology_name_engine_special_end,1950,,126,"end, accel(0.2), turning(1), turning_change(1), stat(turn;-0.5)",,,$technology_desc_engine_special_end,,,
# $techType_name_hull_strength,hull_strength,,,,,,,,,,,,
hull_strength_1,hull_strength,,$technology_name_hull_strength_1,1890,,64,"start, unlock(b_1_russia;b_1_italian_3mast;b_1_italian_Large_3mast;b_1_austria;b_1;b1_massena_var1;b1_massena_var2;b1_massena_var3;b1_brennus;b1_germany;b1_germanyexport;b1_russiaold;tb_lowbow;tb_highbow;tb_standard;b1_maine;b1_maine_varsides;b1_maine_varsmall;b1_maine_varsides;b1_maine_varsmall;b_1_usa_var;b1_3mast_spain;b1_inflex;bb_exp_iron1;bb_exp_iron2;bb_exp_iron3;ca_maine_varcoastal2;ca_maine_varcoastal;ca_maine_threemast;ca_1_3mast_usa;ca_1_3mast_russia;ca_1_joseph_3mast;ca_1_naniwa_3mast;ca_inflex_china;ca_1_small;ca_1_friedrich;ca_1_italian_small_3mast;ca_1_small_austria2;ca_1_rambow_france;cl_1_rambow_boat;cl_1_rambow_early;cl_1_straightbow_early;cl_maine_threemast;cl1_inflex_china;cl_1_rambow_3mast_ver3;cl_1_rambow_3mast_ver2;cl_1_rambow_3mast;cl_1_rambow_3mast_early;cl_1_3mast_usa;cl_1_austria_small;cl_1_3mast_armored;cl_1_austria_belted;cl_1_austrian;cl_1_rambow;cl_1_straightbow)",,,$technology_desc_hull_strength_1,"The ironclad era is superseded by a new class of warships. The latest developments bring new standards for Battleships, Armored Cruisers, Light Cruisers and Torpedo Boats.",,
hull_strength_2,hull_strength,,$technology_name_hull_strength_2,1891,,64,"hull(2.5), stat(hull_form;2.5), stat(endurance;2.5), unlock(b_1_usa;b1_tsesarevich_russia;b1_inflex_2)",,,$technology_desc_hull_strength_2,"Materials with better strength-to-weight ratio can produce bigger hulls. *Hull weight -2.5%, Hull Form +2.5%, Endurance +2.5%*",,
